,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Receiving,Receiving,Receiving,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Squad,# Pl,Cmp,PassAtt,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,3-Jan,PPA,CrsPA,Prog,Squad,# Pl,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Squad,# Pl,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Squad,# Pl,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Clr,Err,Squad,# Pl,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Squad,# Pl,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Liverpool,24,68,5,5,477,177,15,37.1,15.39,5.71,0.13,0.36,59.8,56,0.12,8.2,7,Liverpool,24,17000,20466,83.1,347162,101845,240,645,37.2,12231,13633,89.7,4529,6188,73.2,56,59.8,-3.8,351,1411,401,81,1733,Liverpool,24,20466,18948,1518,351,74,3241,720,714,202,52,94,8,13663,2986,3817,4522,13958,702,709,218,17000,42,316,258,455,Liverpool,24,733,23.65,541,61,62,35,32,112,3.61,75,9,12,7,7,2,Liverpool,24,518,323,192,222,104,191,525,36.4,334,4844,1544,31.9,1295,2029,1520,403,63,1,340,288,748,7,Liverpool,24,63.4,24024,1815,6171,12421,6880,1078,22521,359,581,61.8,398,24,16384,85041,46708,19644,17000,86.5,379,369,Liverpool,24,28,1,0,261,237,43,714,288,323,4,0,0,3229,530,466,53.2
Manchester City,23,76,5,9,567,195,21,34.4,18.9,6.5,0.13,0.36,71.5,64.9,0.12,4.5,6.1,Manchester City,23,18835,21543,87.4,364012,98125,231,627,36.8,14173,15466,91.6,4431,5450,81.3,56,71.5,-15.5,431,1493,461,78,1786,Manchester City,23,21543,20280,1263,271,82,3543,627,739,239,74,52,24,16245,2709,2589,7698,12248,548,563,224,18835,49,216,287,436,Manchester City,23,940,31.33,737,48,70,44,41,127,4.23,94,4,13,7,9,0,Manchester City,23,454,286,181,189,84,183,533,34.3,350,4115,1250,30.4,966,1801,1348,354,52,0,302,282,514,10,Manchester City,23,66.2,24628,1703,5642,12757,7943,1281,23382,419,637,65.8,436,15,17771,100979,60675,20832,18835,90.4,257,327,Manchester City,23,57,3,2,300,229,52,739,282,286,8,2,1,2732,411,364,53
Manchester Utd,28,47,7,11,443,165,27,37.2,14.29,5.32,0.09,0.24,48.3,40,0.09,-1.3,0,Manchester Utd,28,13844,16871,82.1,255985,77936,228,639,35.7,10745,12115,88.7,2871,4117,69.7,31,48.3,-17.3,335,1081,277,44,1431,Manchester Utd,28,16871,15348,1523,393,36,3105,482,537,169,63,58,14,11909,2316,2646,4564,10629,495,691,209,13844,41,262,280,463,Manchester Utd,28,745,24.03,579,45,46,24,49,73,2.35,53,3,6,1,8,2,Manchester Utd,28,515,303,243,200,72,178,528,33.7,350,5093,1445,28.4,1611,2303,1179,510,93,0,417,300,755,6,Manchester Utd,28,55.3,20619,1869,6007,10087,5925,792,19123,400,656,61,426,35,13991,85480,49268,16005,13844,86.5,368,397,Manchester Utd,28,58,0,0,348,356,43,537,300,303,10,1,1,2917,494,417,54.2
Newcastle Utd,27,29,0,1,323,103,12,31.9,10.42,3.32,0.09,0.28,27.6,26.8,0.09,1.4,2.2,Newcastle Utd,27,8295,11339,73.2,171598,66438,157,467,33.6,5967,7067,84.4,2171,3805,57.1,21,27.6,-6.6,237,627,160,57,936,Newcastle Utd,27,11339,9875,1464,377,20,2370,431,478,123,48,47,10,6271,1746,3322,3282,6298,564,599,161,8295,61,247,196,312,Newcastle Utd,27,474,15.29,336,48,37,26,27,44,1.42,30,5,2,5,2,0,Newcastle Utd,27,540,308,326,163,51,170,496,34.3,326,5155,1274,24.7,2233,2061,861,534,138,5,396,320,982,10,Newcastle Utd,27,37.7,15129,2089,6139,6204,3600,491,13709,362,566,64,386,15,8645,52277,28287,10452,8295,79.4,383,339,Newcastle Utd,27,56,3,0,300,336,66,478,320,308,0,0,1,2719,607,622,49.4
Norwich City,28,24,2,2,352,109,13,31,11.35,3.52,0.06,0.2,35,33.6,0.1,-11,-11.6,Norwich City,28,12031,15088,79.7,221162,72327,264,631,41.8,9252,10481,88.3,2515,3976,63.3,17,35,-18,257,728,199,36,1005,Norwich City,28,15088,13557,1531,390,36,3122,381,406,149,62,75,4,9913,2472,2703,4299,9058,544,647,239,12031,33,290,248,371,Norwich City,28,544,17.55,394,45,43,32,29,34,1.1,25,2,3,2,1,1,Norwich City,28,604,361,349,186,69,217,666,32.6,449,5585,1538,27.5,2249,2302,1034,603,167,5,436,322,872,9,Norwich City,28,50.2,19107,2620,7515,8297,4496,666,17628,385,632,60.9,413,26,12036,71264,38871,14262,12031,84.4,389,399,Norwich City,28,54,1,0,296,361,39,406,322,361,1,7,2,2788,435,533,44.9
Sheffield Utd,25,27,1,1,302,91,4,30.1,9.74,2.94,0.09,0.29,34.7,33.9,0.11,-7.7,-7.9,Sheffield Utd,25,10098,13644,74,203234,70527,203,597,34,7413,8661,85.6,2482,4386,56.6,18,34.7,-16.7,223,832,246,73,1170,Sheffield Utd,25,13644,12170,1474,291,17,2671,524,713,179,123,20,12,7394,2433,3817,4281,7203,759,718,160,10098,59,376,178,402,Sheffield Utd,25,461,14.87,335,54,30,25,14,44,1.42,31,1,4,4,1,3,Sheffield Utd,25,548,337,293,184,71,171,528,32.4,357,5342,1485,27.8,1795,2256,1291,501,109,2,392,346,1009,12,Sheffield Utd,25,43.9,17259,1883,5261,7475,5372,689,15815,306,454,67.4,323,18,10154,53926,27105,12645,10098,79.9,341,304,Sheffield Utd,25,54,2,1,333,238,64,713,346,337,1,2,0,3000,711,706,50.2
Southampton,24,38,1,2,394,132,20,33.5,13.13,4.4,0.09,0.28,41.5,39.9,0.1,-3.5,-2.9,Southampton,24,9229,12738,72.5,177955,65268,190,516,36.8,6967,8422,82.7,2072,3800,54.5,23,41.5,-18.5,267,738,230,56,1172,Southampton,24,12738,11177,1561,341,22,2526,363,549,167,73,62,23,6849,2258,3631,2277,8199,847,766,170,9229,42,332,192,345,Southampton,24,565,18.83,387,57,52,28,41,50,1.67,28,4,7,5,6,0,Southampton,24,651,392,319,249,83,247,728,33.9,481,5763,1761,30.6,1875,2459,1429,560,114,0,446,303,1024,16,Southampton,24,47.6,16882,1722,5039,8062,4685,685,15339,369,607,60.8,399,16,9375,56214,29863,11694,9229,78.9,435,347,Southampton,24,45,3,1,370,287,46,549,303,392,2,4,0,3161,632,708,47.2
Tottenham,29,47,3,4,372,132,16,35.5,12,4.26,0.12,0.33,40.6,37.5,0.1,6.4,6.5,Tottenham,29,13067,16296,80.2,251487,77324,207,568,36.4,9899,11188,88.5,2961,4540,65.2,32,40.6,-8.6,282,960,258,46,1283,Tottenham,29,16296,14797,1499,383,41,2804,393,521,160,72,45,13,10911,2426,2959,4394,10070,612,648,191,13067,52,211,277,384,Tottenham,29,596,19.23,463,34,45,24,28,72,2.32,45,2,12,8,3,2,Tottenham,29,581,372,288,242,51,181,582,31.1,401,5293,1501,28.4,1917,2350,1026,548,138,2,410,287,890,8,Tottenham,29,52.7,20164,2208,6553,9780,5043,692,18708,396,689,57.5,431,30,13104,74029,40105,15476,13067,84.4,328,395,Tottenham,29,67,3,1,325,347,56,521,287,372,4,7,2,2964,511,514,49.9
Watford,25,28,4,5,330,93,14,28.2,11,3.1,0.07,0.26,35.3,31.5,0.1,-7.3,-7.5,Watford,25,8962,12256,73.1,176826,66812,210,523,40.2,6589,7872,83.7,2163,3861,56,19,35.3,-16.3,235,728,207,63,1068,Watford,25,12256,10860,1396,308,20,2259,375,495,135,53,42,19,6589,2309,3358,3051,7279,656,633,159,8962,47,242,208,332,Watford,25,500,16.67,377,34,35,25,29,37,1.23,27,2,1,3,4,0,Watford,25,566,353,286,211,69,191,631,30.3,440,5550,1512,27.2,1899,2437,1214,498,118,4,380,325,931,8,Watford,25,42.3,15966,1822,5121,7335,4332,694,14591,294,512,57.4,314,12,9336,51792,28495,11309,8962,79.2,347,318,Watford,25,65,3,2,365,251,53,495,325,353,4,6,3,2918,596,598,49.9
West Ham,28,35,3,3,315,129,10,41,10.16,4.16,0.1,0.25,34.2,32,0.1,0.8,0,West Ham,28,10082,13443,75,195308,73867,238,654,36.4,7470,8825,84.6,2374,3964,59.9,26,34.2,-8.2,245,796,205,65,1139,West Ham,28,13443,11941,1502,360,31,2685,386,595,156,69,52,23,7541,2308,3594,3852,7613,621,667,188,10082,52,240,219,433,West Ham,28,498,16.06,361,56,32,19,30,59,1.9,38,4,6,3,8,0,West Ham,28,602,388,337,213,52,198,670,29.6,472,5620,1524,27.1,2091,2465,1064,534,105,1,429,351,766,11,West Ham,28,43.7,17035,1877,5271,8280,4487,661,15559,350,544,64.3,369,16,10285,62740,32744,12551,10082,80.3,337,337,West Ham,28,58,1,1,315,280,61,595,351,388,3,5,3,2890,635,651,49.4
Wolves,20,42,3,3,385,120,11,31.2,12.42,3.87,0.1,0.33,40.6,38.4,0.1,1.4,0.6,Wolves,20,11220,14326,78.3,237852,78486,167,524,31.9,7824,9111,85.9,3229,4691,68.8,30,40.6,-10.6,273,840,196,67,1168,Wolves,20,14326,12884,1442,322,27,2594,579,597,166,33,72,12,8064,2685,3577,3083,9285,670,661,199,11220,41,266,227,378,Wolves,20,576,18.58,405,51,57,29,32,71,2.29,43,7,7,6,6,2,Wolves,20,623,367,346,219,58,237,640,37,403,5414,1467,27.1,2032,2445,937,497,109,0,388,354,821,11,Wolves,20,47.5,18075,1749,5924,8737,4473,728,16661,440,695,63.3,475,28,11582,68133,40212,13426,11220,83.6,368,369,Wolves,20,53,2,2,334,288,43,597,354,367,3,2,1,2910,593,563,51.3
