"Team","Games","ShtF","ShtA","GF","GA","GD","xGF","xGA","xGD","GD-xGD","TSR","PDO","Pts","xPts","Gini18","Comp ($MM)"
"LAFC",34,13.441,7.118,1.941,0.794,1.147,1.617,0.74,0.876,0.271,0.654,1091,2.118,2.016,0.657,14.44
"NYC",34,11.5,8.206,1.559,0.735,0.824,1.203,0.799,0.403,0.42,0.584,1072,1.882,1.573,0.433,10.051
"ATL",34,11.029,8.441,1.206,1.029,0.176,1.12,0.929,0.191,-0.014,0.566,963,1.706,1.541,0.493,12.671
"SEA",34,9.118,10.794,1.206,1.029,0.176,1.069,1.176,-0.107,0.283,0.458,1078,1.647,1.359,0.448,12.621
"PHI",34,10.088,8.353,1.382,1.059,0.324,1.164,0.928,0.237,0.087,0.547,998,1.618,1.513,0.518,8.96
"MIN",34,10.824,10.676,1.088,0.853,0.235,1.065,0.956,0.109,0.126,0.503,1113,1.559,1.46,0.392,9.181
"RSL",34,9.882,9.206,0.941,0.882,0.059,0.796,0.825,-0.029,0.087,0.518,953,1.559,1.302,0.447,10.833
"LAG",34,10.265,13.471,1.265,1.294,-0.029,1.244,1.27,-0.026,-0.004,0.432,1055,1.5,1.417,0.633,18.514
"DCU",34,8.059,12.735,0.735,0.912,-0.176,0.714,1.198,-0.484,0.307,0.388,1085,1.471,1.131,0.53,10.572
"TOR",34,9.882,9.088,1.265,1,0.265,1.143,0.967,0.176,0.088,0.521,1012,1.471,1.478,0.724,22.194
"POR",34,12.324,10.441,1.059,1,0.059,1.161,1.184,-0.023,0.081,0.541,1009,1.441,1.379,0.477,11.786
"FCD",34,10.382,8.676,1.176,1,0.176,1.02,0.907,0.112,0.064,0.545,985,1.412,1.44,0.344,8.731
"NYRB",34,9.176,8.853,1.118,1.029,0.088,1.039,0.963,0.076,0.012,0.509,991,1.412,1.404,0.446,8.302
"NER",34,10.265,10.794,1.088,1.147,-0.059,1.102,1.415,-0.314,0.255,0.487,1047,1.324,1.147,0.49,8.93
"SJE",34,13.5,9.529,1.147,1.176,-0.029,1.303,1.029,0.274,-0.304,0.586,937,1.294,1.572,0.353,9.161
"CHI",34,10.441,8.206,1.088,1.059,0.029,1.295,0.881,0.414,-0.384,0.56,962,1.235,1.662,0.638,16.907
"COL",34,9.706,11.618,0.971,1.235,-0.265,0.978,1.361,-0.383,0.119,0.455,969,1.235,1.188,0.503,8.937
"MTL",34,8.294,8.176,0.912,1.147,-0.235,0.805,0.954,-0.149,-0.086,0.504,1019,1.206,1.317,0.624,12.139
"HOU",34,10.382,10.5,1.118,1.265,-0.147,1.105,1.023,0.083,-0.23,0.497,964,1.176,1.425,0.404,7.666
"CLB",34,8.735,9.5,0.824,0.971,-0.147,0.781,0.978,-0.198,0.051,0.479,983,1.118,1.184,0.409,10.401
"SKC",34,10.559,9.882,0.971,1.588,-0.618,1.116,1.045,0.072,-0.689,0.517,860,1.118,1.4,0.384,13.014
"ORL",34,8.235,10.676,0.941,1.294,-0.353,0.962,1,-0.038,-0.315,0.435,975,1.088,1.338,0.508,11.36
"VAN",34,7.912,15.294,0.706,1.176,-0.471,0.721,1.333,-0.612,0.141,0.341,992,1,0.904,0.369,8.001
"CIN",34,7.706,11.471,0.647,1.676,-1.029,0.68,1.343,-0.662,-0.367,0.402,809,0.706,0.908,0.426,10.312
