"First","Last","Player","Season","Team","Min","Pos","Passes","PassPct","xPassPct","Score","Per100","Distance","Vertical","Comp ($K)","Passes/96","PassPct/96","xPassPct/96","Score/96","Per100/96","Distance/96","Vertical/96","extreme1","extreme2","plotnames"
"Jonathan","dos Santos","Jonathan dos Santos",2019,"LAG",2721,"CDM",1312,0.939,0.874,85.1641509681939,6.49117004330746,19.0053503259928,3.65330357142857,2000,46.2888643880926,0.939024390243902,0.874112689810828,3.00468889854708,6.49117004330746,19.0053503259928,3.65330357142857,462,550,"Santos"
"Michael","Bradley","Michael Bradley",2019,"TOR",2544,"CDM",1345,0.904,0.849,73.5968997180463,5.47188845487333,20.958114411315,4.63612664473684,6500,50.7547169811321,0.904089219330855,0.849370334782122,2.7772414987942,5.47188845487333,20.958114411315,4.63612664473684,359,514,"Bradley"
"Eddie","Segura","Eddie Segura",2019,"LAFC",3187,"CB",1019,0.918,0.854,64.8370404466987,6.36281064246307,20.0313847097282,6.85313903743316,212,30.6946972074051,0.91756624141315,0.853938134988519,1.95304546058458,6.36281064246307,20.0313847097282,6.85313903743316,380,527,"Segura"
"Haris","Medunjanin","Haris Medunjanin",2019,"PHI",3310,"CDM",1665,0.865,0.828,62.917671918869,3.77883915428643,19.8653390483486,5.86332408049965,595.008,48.2900302114804,0.865465465465465,0.827677073922601,1.82480256924817,3.77883915428643,19.8653390483486,5.86332408049965,250,393,"Medunjanin"
"Diego","Chara","Diego Chara",2019,"POR",2853,"CDM",1171,0.923,0.87,61.8346597701311,5.28050040735535,20.7330180953128,6.2536170212766,572,39.4027339642482,0.923142613151153,0.870337609077599,2.08066152749127,5.28050040735535,20.7330180953128,6.2536170212766,449,534,"Chara"
"Osvaldo","Alonso","Osvaldo Alonso",2019,"MIN",2539,"CDM",1009,0.935,0.873,61.8247735649347,6.12733137412633,20.4603568112948,5.38170731707317,697.5,38.1504529342261,0.934588701684836,0.873315387943573,2.33760467201013,6.12733137412633,20.4603568112948,5.38170731707317,458,546,"Alonso"
"Matt","Hedges","Matt Hedges",2019,"FCD",3146,"CB",852,0.886,0.822,54.8984070569277,6.44347500668165,21.6358316704451,7.90209933774834,575.008,25.9987285441831,0.886150234741784,0.821715484674967,1.67522157579945,6.44347500668165,21.6358316704451,7.90209933774834,215,463,"Hedges"
"Tommy","Thompson","Tommy Thompson",2019,"SJE",2424,"FB/WB",769,0.925,0.856,52.7683867067098,6.86194885652923,16.4187655013791,1.12460618846695,175,30.4554455445545,0.924577373211964,0.855957884646671,2.08983709729544,6.86194885652923,16.4187655013791,1.12460618846695,394,536,"Thompson"
"Diego","Polenta","Diego Polenta",2019,"LAG",2714,"CB",704,0.827,0.753,52.0392633676529,7.39194081926887,21.1647354431597,7.7289089347079,777.276,24.9019896831245,0.826704545454545,0.752785137261857,1.84074034019701,7.39194081926887,21.1647354431597,7.7289089347079,31,253,"Polenta"
"Eduard","Atuesta","Eduard Atuesta",2019,"LAFC",2823,"CM",1527,0.89,0.856,51.9258900135756,3.40051670029965,19.090064705804,4.7258314937454,493,51.9277364505845,0.889980353634578,0.855975186631581,1.76581135008971,3.40051670029965,19.090064705804,4.7258314937454,395,475,"Atuesta"
"Reto","Ziegler","Reto Ziegler",2019,"FCD",3148,"CB",888,0.891,0.835,49.757466584444,5.60331830905901,22.4607291446858,7.24078381795196,870,27.0800508259212,0.890765765765766,0.834732582675176,1.51738144603133,5.60331830905901,22.4607291446858,7.24078381795196,284,479,"Ziegler"
