"First","Last","Player","Season","Team","Min","Pos","Passes","PassPct","xPassPct","Score","Per100","Distance","Vertical","Comp ($K)","Passes/96","PassPct/96","xPassPct/96","Score/96","Per100/96","Distance/96","Vertical/96","extreme1","extreme2","plotnames"
"Kamal","Miller","Kamal Miller",2019,"ORL",1077,"FB/WB",93,0.806,0.758,4.51421361044048,4.8539931295059,17.8164009525809,-3.11726666666666,56.25,8.28969359331476,0.806451612903226,0.757911681608167,0.402381157476589,4.8539931295059,17.8164009525809,-3.11726666666666,393,455,"Miller"
"Bojan","Bojan","Bojan",2019,"MTL",637,"CAM",112,0.795,0.755,4.46456464752555,3.98621843529067,16.2926017766676,2.96544943820225,NA,16.8791208791209,0.794642857142857,0.75478067278995,0.672838628198513,3.98621843529067,16.2926017766676,2.96544943820225,379,432,"Bojan"
"Cristian","Pavon","Cristian Pavon",2019,"LAG",1032,"Wing",249,0.691,0.673,4.45055680722,1.78737221173494,16.867356952843,0.15578488372093,NA,23.1627906976744,0.690763052208835,0.672889330091486,0.414005284392558,1.78737221173494,16.867356952843,0.15578488372093,156,211,"Pavon"
"Bryan","Acosta","Bryan Acosta",2019,"FCD",2144,"CM",176,0.699,0.674,4.42765103280543,2.515710814094,22.9236335693417,-1.33044715447154,650,7.88059701492537,0.698863636363636,0.673706528222696,0.198253031319646,2.515710814094,22.9236335693417,-1.33044715447154,158,230,"Acosta"
"Jack","Elliott","Jack Elliott",2019,"PHI",2437,"CB",59,0.712,0.637,4.42420215904712,7.49864772719851,15.2258599611009,3.28297619047619,265,2.32416906032007,0.711864406779661,0.636877929507676,0.174281250417942,7.49864772719851,15.2258599611009,3.28297619047619,90,256,"Elliott"
"Francisco","Calvo","Francisco Calvo",2019,"MIN,CHI",2448,"CB",122,0.697,0.661,4.297919687815,3.5228849900123,18.1625252425576,0.378823529411765,672.6,4.7843137254902,0.69672131147541,0.661492461575287,0.168545870110392,3.5228849900123,18.1625252425576,0.378823529411765,133,225,"Calvo"
"Lamine","Sane","Lamine Sane",2019,"ORL",1855,"CB",39,0.821,0.71,4.2940279841423,11.0103281644674,14.2836159722276,3.43921875,950,2.01832884097035,0.82051282051282,0.710409538868146,0.222224628828928,11.0103281644674,14.2836159722276,3.43921875,252,483,"Sane"
"Mohamed","El-Munir","Mohamed El-Munir",2019,"LAFC",620,"FB/WB",171,0.76,0.735,4.24478074163198,2.48232791908303,15.3985579408853,0.384807692307692,202.833,26.4774193548387,0.760233918128655,0.735410638937825,0.657256372897854,2.48232791908303,15.3985579408853,0.384807692307692,318,370,"El-Munir"
"Emerson","Hyndman","Emerson Hyndman",2019,"ATL",1059,"CM",183,0.809,0.786,4.24080489575863,2.31737972445827,14.5612011742047,-0.267297297297297,NA,16.5892351274788,0.808743169398907,0.785569372154324,0.384435571286901,2.31737972445827,14.5612011742047,-0.267297297297297,468,459,"Hyndman"
"Frankie","Amaya","Frankie Amaya",2019,"CIN",1313,"CM",165,0.727,0.702,4.23482996225358,2.56656361348702,18.5466835948884,0.709166666666666,172,12.0639756283321,0.727272727272727,0.701607091137857,0.309629608816712,2.56656361348702,18.5466835948884,0.709166666666666,229,291,"Amaya"
