"First","Last","Player","Season","Team","Min","Pos","Passes","PassPct","xPassPct","Score","Per100","Distance","Vertical","Touch%","Comp ($K)","Passes/96","PassPct/96","xPassPct/96","Score/96","Per100/96","Distance/96","Vertical/96","Touch%/96","extreme1","extreme2","plotnames"
"Jonathan","dos Santos","Jonathan dos Santos",2019,"LAG",2721,"CDM",2115,0.896,0.838,122.873450793326,5.80961942285229,18.7035838724839,3.57403744725738,0.140640081671979,2000,74.619625137817,0.89645390070922,0.838357706480697,4.33511623526618,5.80961942285229,18.7035838724839,3.57403744725738,0.140640081671979,470,546,"Santos"
"Reto","Ziegler","Reto Ziegler",2019,"FCD",3148,"CB",2088,0.881,0.825,117.917486466467,5.64738919858561,22.3867334575781,6.5083125,0.110812893775731,870,63.6747141041931,0.881226053639847,0.824752161653991,3.59595892655047,5.64738919858561,22.3867334575781,6.5083125,0.110812893775731,412,527,"Ziegler"
"Matt","Hedges","Matt Hedges",2019,"FCD",3146,"CB",1947,0.878,0.823,106.116220198572,5.45024243444129,21.8372636874467,6.90121123464014,0.107053076214284,575.008,59.4125874125874,0.877760657421674,0.823258233077262,3.23813005056036,5.45024243444129,21.8372636874467,6.90121123464014,0.107053076214284,405,521,"Hedges"
"Eddie","Segura","Eddie Segura",2019,"LAFC",3187,"CB",1993,0.895,0.843,104.155705152079,5.22607652544303,20.0072023205017,6.50375280269058,0.098829455390983,212,60.0338876686539,0.895132965378826,0.842872200124396,3.13741691076236,5.22607652544303,20.0072023205017,6.50375280269058,0.098829455390983,492,545,"Segura"
"Michael","Bradley","Michael Bradley",2019,"TOR",2544,"CDM",2126,0.882,0.836,97.3403080180287,4.5785657581387,20.2239004428253,4.487392,0.128497532755115,6500,80.2264150943396,0.881937911571025,0.836152253989638,3.67321917049165,4.5785657581387,20.2239004428253,4.487392,0.128497532755115,459,529,"Bradley"
"Bastian","Schweinsteiger","Bastian Schweinsteiger",2019,"CHI",2870,"CB",1881,0.869,0.819,93.3396487869323,4.96223544853441,22.0049014336687,6.78725214198286,0.123070438896689,5600,62.9184668989547,0.868686868686869,0.819064514201525,3.12216246813432,4.96223544853441,22.0049014336687,6.78725214198286,0.123070438896689,385,498,"Schweinsteiger"
"Haris","Medunjanin","Haris Medunjanin",2019,"PHI",3310,"CDM",2722,0.825,0.792,89.9458970353006,3.30440474045924,20.2002620410255,5.76781834372217,0.133140174802819,595.008,78.9462235649547,0.825128581925055,0.792084534520463,2.60870275389391,3.30440474045924,20.2002620410255,5.76781834372217,0.133140174802819,290,379,"Medunjanin"
"Diego","Chara","Diego Chara",2019,"POR",2853,"CDM",1763,0.91,0.86,89.6748135685921,5.08648970893886,20.1293446118535,6.04692211838006,0.112686747181862,572,59.322818086225,0.910380034032898,0.85951513694351,3.01744903700836,5.08648970893886,20.1293446118535,6.04692211838006,0.112686747181862,530,551,"Chara"
"Diego","Polenta","Diego Polenta",2019,"LAG",2714,"CB",1406,0.824,0.761,87.4705269951373,6.22123236096282,20.4502654587454,6.76593264248705,0.0973328219608039,777.276,49.7332350773766,0.823613086770982,0.761400763161353,3.09402011478747,6.22123236096282,20.4502654587454,6.76593264248705,0.0973328219608039,168,374,"Polenta"
"Osvaldo","Alonso","Osvaldo Alonso",2019,"MIN",2539,"CDM",1503,0.921,0.868,81.0142555460335,5.39017002967621,19.7323810516184,5.31449458483755,0.114864166854769,697.5,56.8286727057897,0.921490352628077,0.867588652331315,3.06316208445026,5.39017002967621,19.7323810516184,5.31449458483755,0.114864166854769,539,558,"Alonso"
"Tommy","Thompson","Tommy Thompson",2019,"SJE",2424,"FB/WB",1461,0.884,0.832,75.3780693402514,5.15934766189263,16.1086303492511,1.24335398915569,0.108221860480067,175,57.8613861386139,0.883641341546886,0.832047864927959,2.98527007288124,5.15934766189263,16.1086303492511,1.24335398915569,0.108221860480067,437,534,"Thompson"
"Keegan","Rosenberry","Keegan Rosenberry",2019,"COL",3316,"FB/WB",1541,0.799,0.752,72.3914986941964,4.69769621636576,18.704751629703,4.82430138099106,0.109023240390864,164.945,44.6127864897467,0.798831927319922,0.751854965156264,2.09577318294417,4.69769621636576,18.704751629703,4.82430138099106,0.109023240390864,133,303,"Rosenberry"
"Jack","Elliott","Jack Elliott",2019,"PHI",3310,"CB",1736,0.819,0.778,72.2168364836835,4.15995601864536,23.6169292426841,8.3879641350211,0.0950039770172162,265,50.3492447129909,0.819124423963134,0.77752486377668,2.09450643578055,4.15995601864536,23.6169292426841,8.3879641350211,0.0950039770172162,225,360,"Elliott"
"Darlington","Nagbe","Darlington Nagbe",2019,"ATL",3011,"CM",1713,0.926,0.884,70.9908803403377,4.1442428686712,18.2072920312736,1.40073770491803,0.0975232332560415,665.5,54.6157422783129,0.925861062463514,0.884418633776802,2.26340900454082,4.1442428686712,18.2072920312736,1.40073770491803,0.0975232332560415,558,560,"Nagbe"
"Auro","Auro","Auro",2019,"TOR",2000,"FB/WB",1372,0.859,0.807,70.7956072762608,5.16002968485866,16.9166563331413,1.06955857385399,0.115454620090342,276.667,65.856,0.858600583090379,0.807000286241792,3.39818914926052,5.16002968485866,16.9166563331413,1.06955857385399,0.115454620090342,336,474,"Auro"
