Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
28,Quincy Amarikwa/Quincy-Amarikwa,us USA,FW,D.C. United,31,1987,4.8,40.6,0.42,3.54,17.7,21.9,5.63,39,1.67,3.13,53.3,1.88,0,25,144.6,71.3,53.8,138,53.5,3.54,3.33,Matches
29,Frankie Amaya/Frankie-Amaya,us USA,MF,FC Cincinnati,18,2000,13.8,52.9,0.8,10.1,30.9,16.2,0.43,48.6,0.8,1.3,61.1,0.8,1,38.6,231.1,117.9,40.4,479,85.8,1.59,1.16,Matches
30,Mikey Ambrose/Mikey-Ambrose,us USA,DF,Atlanta,25,1993,3,68,1.67,20,30.7,20,0.33,58.3,1,2,50,1,0,36,161.7,73.7,39.3,110,93.2,1.33,0,Matches
31,Michael Amir Murillo/Michael-Amir-Murillo,pa PAN,DF,NY Red Bulls,22,1996,18.8,67.3,4.1,19.1,31.3,21.3,1.81,54.8,2.29,3.56,64.2,2.29,2,36.4,226.3,150.1,34.3,565,87.6,1.17,1.54,Matches
32,Sebastian Anderson/Sebastian-Anderson,us USA,DFFW,Colorado,16,2002,3.5,49.4,2.57,16.6,19.7,16.3,0.86,43.1,0.29,0.57,50,0.57,0,24,150.3,91.1,28.6,83,83,1.43,0.86,Matches
33,Jalil Anibaba/Jalil-Anibaba,us USA,DF,New England,30,1988,19.6,43.9,6.68,23.2,19.2,2.3,0.41,41.4,0.31,0.41,75,0.31,1,18.9,80.6,30.1,18.6,348,95.6,0.26,0.05,Matches
34,Uriel Antuna/Uriel-Antuna,mx MEX,FWMF,LA Galaxy,21,1997,26.8,41.8,0.49,4.37,15.5,26.3,4.59,40.9,1.49,2.99,50,1.75,1,32.3,282.2,160.2,43.5,824,70.6,2.46,1.53,Matches
35,Pablo Aránguiz/Pablo-Aranguiz,cl CHI,MFFW,FC Dallas,21,1997,6.2,61.9,0.32,7.1,30.5,27.7,1.77,58.9,1.29,2.9,44.4,1.45,2,47.6,268.1,140.3,56.9,303,85.8,1.77,1.13,Matches
36,Julian Araujo/Julian-Araujo,us USA,DFFW,LA Galaxy,17,2001,9.9,56.4,2.83,13.7,23.6,22.4,2.83,49.6,1.62,2.83,57.1,1.92,0,35.1,195.9,123.3,37.8,310,82.9,1.31,1.01,Matches
37,Joaquín Ardaiz/Joaquin-Ardaiz,uy URU,FW,Vancouver,20,1999,4.6,26.5,0.22,1.09,11.1,15,5.22,24.8,1.3,2.17,60,1.52,0,20.2,128.7,71.7,38.9,89,49.7,3.48,1.74,Matches
38,Luis Argudo/Luis-Argudo,us USA,FWMF,Columbus,23,1995,11.8,50.5,0.93,8.81,25,20.6,3.98,49.2,2.8,5,55.9,3.14,1,39.7,284,157.9,43.7,417,80.8,2.12,2.63,Matches
39,Xavier Arreaga/Xavier-Arreaga,ec ECU,DF,Seattle,24,1994,12.4,57.7,8.47,36.3,24.3,1.37,0.48,56.6,0.65,0.65,100,0.65,0,40.7,230.6,142.3,37.4,453,97.6,0.32,0.08,Matches
40,Luis Arriaga/Luis-Arriaga,us USA,DFMF,Real Salt Lake,18,2001,0.1,30,0,10,20,0,0,30,0,0,,0,0,20,0,0,20,2,100,0,0,Matches
41,Paul Arriola/Paul-Arriola,us USA,FWMF,D.C. United,23,1995,26.9,51.2,1.52,9.11,22.8,23.8,4.54,49.2,1.78,3.42,52.2,2.08,3,38.6,264.9,165.9,48.7,978,74.7,1.93,1.45,Matches
42,Artur/Artur,br BRA,MF,Columbus,22,1996,27.2,67.3,1.84,18.9,42.4,10.8,0.77,66.1,0.96,1.32,72.2,0.96,3,47.9,240.1,107.7,52.2,1324,93.2,0.63,0.81,Matches
43,Carlos Ascues/Carlos-Ascues,pe PER,MFDF,Orlando City,26,1992,12.3,46.2,3.82,13.7,23.2,11.4,2.11,45.6,1.63,2.03,80,1.87,1,31.8,150.1,57.5,33,346,85.2,1.06,1.14,Matches
44,Dairon Asprilla/Dairon-Asprilla,co COL,FWMF,Portland,26,1992,6.3,42.5,0.95,5.24,14.9,27,6.35,40.6,2.86,4.29,66.7,3.02,0,33.5,259.8,175.2,46,190,65.5,2.54,2.86,Matches
45,Jeff Attinella/Jeff-Attinella,us USA,GK,Portland,30,1988,10,35.6,32.7,35.6,0,0,0,24.2,0,0,,0,0,15.3,71.4,45.4,9,90,100,0,0,Matches
46,Francis Atuahene/Francis-Atuahene,gh GHA,FW,FC Dallas,22,1996,0.3,53.3,0,13.3,16.7,26.7,6.67,53.3,3.33,10,33.3,6.67,0,33.3,150,53.3,56.7,10,58.8,10,0,Matches
47,Eduard Atuesta/Eduard-Atuesta,co COL,MF,Los Angeles FC,21,1997,29.2,94.6,1.78,21.1,57.9,23,1.85,90.1,2.6,3.77,69.1,2.77,2,74.8,381.6,206.4,73.9,2047,94.9,1.4,1.54,Matches
48,Auro/Auro,br BRA,DF,Toronto FC,23,1996,20.9,76.5,2.87,19.9,36.1,24.8,2.25,65.6,1.44,2.3,62.5,1.48,4,51.9,261.9,145.5,51.3,979,91.2,1.34,0.81,Matches
49,Micheal Azira/Micheal-Azira,ug UGA,MF,Chicago,31,1987,2.4,46.3,2.5,18.3,25,6.25,1.25,45.8,0.83,1.25,66.7,0.83,0,28.8,139.6,60,29.2,61,87.1,1.25,0.42,Matches
50,Micheal Azira/Micheal-Azira,ug UGA,MF,Montreal,31,1987,16,49.9,1.5,9.75,32.1,11,0.56,49.2,0.56,0.94,60,0.63,0,35.6,185.8,66.6,39,538,86.2,0.94,0.94,Matches
51,Dominique Badji/Dominique-Badji,sn SEN,FW,FC Dallas,26,1992,22.5,31.9,0.98,4.04,13.6,16.5,3.73,31.1,1.2,1.64,73,1.2,0,24.1,150.1,79.6,38.9,536,61.2,1.42,2.27,Matches
52,Theo Bair/Theo-Bair,ca CAN,FWMF,Vancouver,19,1999,9.1,33.4,1.1,6.26,14.3,14.6,3.19,32.7,0.77,1.43,53.8,0.77,0,21,115.3,60.1,39,211,59.4,2.42,1.1,Matches
53,Corey Baird/Corey-Baird,us USA,FWMF,Real Salt Lake,23,1996,23.3,39.6,0.86,5.36,18.8,18.5,3.52,38.3,1.33,2.96,44.9,1.55,6,30.9,199,114.5,41.8,666,68.4,2.15,1.29,Matches
54,Lass Bangoura/Lass-Bangoura,gn GUI,FW,Vancouver,26,1992,7,48.3,0.86,8.43,22.6,24,3.71,47.4,3.57,6,59.5,3.57,0,41.3,382,254.7,48.7,262,76.8,2.71,1.71,Matches
55,Botond Baráth/Botond-Barath,hu HUN,DF,Sporting KC,26,1992,19.4,61.8,7.89,38.1,26,1.55,0.77,60.7,0.31,0.31,100,0.31,0,41.1,185.7,82.2,43,819,98.2,0.1,0.15,Matches
56,Ezequiel Barco/Ezequiel-Barco,ar ARG,FWMF,Atlanta,19,1999,10.8,58.1,0.28,4.07,28.6,31.1,4.63,53.6,1.48,2.41,61.5,1.57,0,45.3,390,225.7,57.3,486,78.5,2.78,1.39,Matches
57,Tom Barlow/Tom-Barlow,us USA,FW,NY Red Bulls,23,1995,6.7,28.1,0.9,2.39,11,14.9,4.78,27,0.3,0.45,66.7,0.3,0,13.6,69.7,25.8,49.9,140,41.9,2.69,1.64,Matches
58,Michael Barrios/Michael-Barrios,co COL,FW,FC Dallas,27,1991,30.3,46.6,0.4,4.32,14.7,30.9,6.77,41.9,1.49,3.33,44.6,1.72,8,34.4,233.3,152.8,45.3,972,70.8,1.85,1.55,Matches
59,Cole Bassett/Cole-Bassett,us USA,MF,Colorado,17,2001,11.8,52.6,1.02,7.54,30.3,18.5,1.86,49.7,1.27,2.03,62.5,1.27,1,38.8,207.6,111.2,44.6,432,82.1,1.36,1.86,Matches
60,Clement Bayiha/Clement-Bayiha,ca CAN,FWMF,Montreal,19,1999,5.3,47.9,0.19,7.74,18.9,25.1,2.83,47,3.21,5.09,63,3.4,0,40.8,312.6,202.8,47,184,73.9,3.21,3.4,Matches
61,DaMarcus Beasley/DaMarcus-Beasley,us USA,DF,Houston,36,1982,11.4,68.2,3.07,20.4,32.9,19.9,1.14,60.6,0.44,1.32,33.3,0.61,0,46.2,226.8,128.9,47.4,503,93.1,0.61,0.7,Matches
62,Kyle Beckerman/Kyle-Beckerman,us USA,MF,Real Salt Lake,36,1982,23.6,66.9,3.22,19.1,42.8,9.87,0.34,65.1,0.47,0.76,61.1,0.47,0,45.3,200,92.3,51.2,1129,93.5,0.47,0.42,Matches
63,Alejandro Bedoya/Alejandro-Bedoya,us USA,MF,Philadelphia,31,1987,31.5,61.6,1.81,10.1,33,22.6,2.54,59.6,0.57,0.89,64.3,0.73,2,44.2,251.9,135.6,49.7,1398,89.3,0.95,0.57,Matches
64,Dan Bedoya/Dan-Bedoya,co COL,FW,NYCFC,24,1994,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,Matches
65,Steven Beitashour/Steven-Beitashour,ir IRN,DF,Los Angeles FC,31,1987,20.8,65.8,3.41,19.9,31.9,17.5,1.59,57.4,0.38,0.63,61.5,0.38,3,38.7,177.7,86.8,41.5,801,92.8,0.24,0.38,Matches
66,Joe Bendik/Joe-Bendik,us USA,GK,Columbus,29,1989,6,32,28.8,31.7,0.33,0,0,21.3,0,0,,0,0,13.7,52.7,31,10.8,63,96.9,0,0,Matches
67,Nicolas Benezet/Nicolas-Benezet,fr FRA,FWMF,Toronto FC,27,1991,4.9,66.1,1.22,10.6,33.1,30.4,4.49,66.1,1.43,3.27,43.8,1.63,0,55.1,389.2,238.2,62.4,258,84.3,2.24,2.04,Matches
68,Leonardo Bertone/Leonardo-Bertone,ch SUI,MF,FC Cincinnati,24,1994,22.8,59.2,2.11,15.5,36.5,9.87,0.22,55.3,0.31,0.66,46.7,0.35,1,36.6,175.2,92.2,41.6,873,92.1,0.44,0.44,Matches
69,Matt Besler/Matt-Besler,us USA,DF,Sporting KC,31,1987,23.5,74.4,9.02,40.6,38.7,1.83,0.13,72.7,0.17,0.21,80,0.17,1,49.6,311.4,193.7,52.6,1230,99.5,0.21,0.04,Matches
70,Nick Besler/Nick-Besler,us USA,MF,Real Salt Lake,25,1993,8.2,54.4,1.59,15.7,33.5,7.8,0.61,53.5,0.49,0.61,80,0.49,0,35.1,117.3,52.1,35.6,266,91.1,0.98,0.73,Matches
71,Vincent Bezecourt/Vincent-Bezecourt,fr FRA,MF,NY Red Bulls,25,1993,5,42.4,0.4,4.8,16.6,23.8,3.2,39,0.8,1.6,50,0.8,0,27.8,148.8,83.4,44.8,135,60.3,1.4,2.6,Matches
72,David Bingham/David-Bingham,us USA,GK,LA Galaxy,29,1989,33,34.7,30.3,34.6,0.15,0.03,0,21.8,0,0,,0,0,12.4,67.1,37.8,9.94,328,100,0,0,Matches
73,Steve Birnbaum/Steve-Birnbaum,us USA,DF,D.C. United,28,1991,33.7,53.6,8.25,29.8,22.9,3.15,1.9,50.9,0.09,0.12,75,0.09,0,26.6,105.8,57.4,30.1,973,95.9,0.24,0.03,Matches
74,José Bizama/Jose-Bizama,cl CHI,DF,Houston,24,1994,3.9,61.3,4.36,21.5,30,16.2,1.03,50.5,2.31,3.85,60,2.56,1,38.5,273.8,175.4,35.9,133,95,1.03,1.54,Matches
75,Tristan Blackmon/Tristan-Blackmon,us USA,DF,Los Angeles FC,22,1996,15.3,75.6,5.29,28.8,37.5,14.1,1.9,70.8,0.98,1.5,65.2,1.05,0,49.6,226.3,136.5,50.4,753,97.7,0.59,0.39,Matches
76,Andre Blake/Andre-Blake,jm JAM,GK,Philadelphia,28,1990,25.6,29.8,27,29.6,0.12,0.04,0.04,21.3,0.04,0.04,100,0.04,0,15.2,79.9,37.6,11.1,284,99.6,0.04,0.04,Matches
77,Sebastián Blanco/Sebastian-Blanco,ar ARG,FWMF,Portland,30,1988,27.9,72.5,0.36,6.95,34.6,37.3,6.24,70.3,2.47,3.87,63.9,2.62,2,60.9,440.7,286.2,66.9,1651,88.4,2.37,1.68,Matches
78,Latif Blessing/Latif-Blessing,gh GHA,MF,Los Angeles FC,22,1996,29.9,67.6,1.34,12,37.3,24.5,3.78,66.4,3.04,4.72,64.5,3.11,5,55.3,348.5,182.5,53.6,1400,87.3,1.97,2.68,Matches
79,Johan Blomberg/Johan-Blomberg,se SWE,MFFW,Colorado,31,1987,1,50,2,15,15,23,2,49,1,2,50,1,0,26,144,79,34,30,88.2,3,0,Matches
80,Emmanuel Boateng/Emmanuel-Boateng,gh GHA,FWMF,LA Galaxy,25,1994,9.9,38.7,0.4,4.95,12.7,23.6,5.35,38.4,0.81,2.42,33.3,0.91,1,29.3,216.6,125.8,40.4,284,71,2.53,1.92,Matches
81,Emmanuel Boateng/Emmanuel-Boateng,gh GHA,FWMF,D.C. United,25,1994,0.6,41.7,0,6.67,10,26.7,3.33,40,3.33,5,66.7,3.33,0,36.7,178.3,88.3,45,19,70.4,3.33,1.67,Matches
82,Corben Bone/Corben-Bone,us USA,MFFW,FC Cincinnati,30,1988,2.1,57.1,0.95,8.57,31.9,21,0.95,53.8,0.95,1.9,50,0.95,0,40.5,243.8,109,49.5,83,79.8,2.38,1.43,Matches
83,Alex Bono/Alex-Bono,us USA,GK,Toronto FC,24,1994,6.2,29.7,26.3,29.7,0,0,0,20,0,0,,0,0,12.7,74.2,49.2,9.19,57,100,0,0,Matches
84,Jonathan Bornstein/Jonathan-Bornstein,us USA,DF,Chicago,34,1984,10.1,55.1,4.26,18.8,25.8,13.8,0.59,47,0.5,0.79,62.5,0.5,0,31.4,150.6,87.3,33.4,305,90.5,0.79,0.79,Matches
85,Gustavo Bou/Gustavo-Bou,ar ARG,FWMF,New England,28,1990,12.8,50.9,0,1.88,20,33,5.7,48,2.97,5.39,55.1,3.44,7,43.8,264.7,127.8,55.7,514,72.1,2.58,3.2,Matches
86,Michael Boxall/Michael-Boxall,nz NZL,DF,Minnesota,30,1988,28.6,45.2,6.89,27,19.3,1.96,0.49,43.6,0.17,0.17,100,0.17,0,24.2,129.8,76,24.1,678,98.4,0.24,0.17,Matches
87,Terrence Boyd/Terrence-Boyd,us USA,FWMF,Toronto FC,27,1991,3.8,37.4,1.58,3.95,17.4,17.4,5.26,36.1,0.53,1.32,40,0.53,0,23.9,106.1,41.1,47.4,105,58.3,2.63,2.89,Matches
88,Michael Bradley/Michael-Bradley,us USA,MF,Toronto FC,31,1987,26.4,87.7,3.26,23.7,55.9,14.4,0.45,81.2,0.72,1.02,70.4,0.83,0,62.4,304.3,141.9,67.6,1711,95.9,0.64,0.76,Matches
89,Zachary Brault-Guillard/Zachary-Brault-Guillard,ca CAN,DF,Montreal,20,1998,9.7,68.7,2.78,19.8,30.5,21.5,1.96,56.8,1.03,2.06,50,1.24,1,40.4,221.2,141,42.8,366,88.2,1.34,1.55,Matches
90,Bressan/Bressan,br BRA,DF,FC Dallas,26,1993,12.4,71.3,5.24,32.5,32.6,9.84,0.81,65.2,0.32,0.73,44.4,0.4,1,47.3,201.4,129.8,47.3,569,97.1,0.24,0.4,Matches
91,Shaft Brewer/Shaft-Brewer,us USA,DF,Los Angeles FC,19,1999,1,84,1,24,45,20,0,71,1,2,50,1,0,60,326,205,60,55,91.7,4,1,Matches
92,Frédéric Brillant/Frederic-Brillant,fr FRA,DF,D.C. United,33,1985,32.9,52.1,8.72,32.2,20.2,2.71,1.43,49.1,0.09,0.12,75,0.09,0,27.8,156.9,90.2,29.6,941,96.5,0.21,0.18,Matches
93,Brandt Bronico/Brandt-Bronico,us USA,MFDF,Chicago,23,1995,20.7,54,1.64,11.6,26.1,19.8,1.64,49.8,0.92,1.59,57.6,1.01,1,36.6,181.2,97.8,38.9,737,91.4,0.72,0.43,Matches
94,Omar Browne/Omar-Browne,pa PAN,FWMF,Montreal,24,1994,6.3,56.2,0,3.97,24.9,33.7,3.02,52.1,3.49,6.03,57.9,3.65,2,46.5,351,190.6,50.8,254,79.4,2.86,3.33,Matches
95,Will Bruin/Will-Bruin,us USA,FW,Seattle,29,1989,4.8,29.6,0.63,2.71,13.1,15,5.63,29,0.21,0.42,50,0.21,0,19.6,63.5,23.3,45.4,112,51.4,2.08,2.29,Matches
96,Tajon Buchanan/Tajon-Buchanan,ca CAN,MF,New England,19,1999,4.4,31.1,1.14,4.09,8.86,20.5,7.27,30,2.05,4.09,50,2.27,1,22.7,186.1,118,36.1,95,59.7,2.5,2.05,Matches
97,Rece Buckmaster/Rece-Buckmaster,us USA,DF,NY Red Bulls,22,1996,6,58.5,3.67,17.7,27.3,16,0.83,48,0.67,1.17,57.1,0.67,1,27.5,112.2,69.5,26.8,147,91.3,0.5,0.17,Matches
98,Teal Bunbury/Teal-Bunbury,us USA,FWMF,New England,28,1990,24.3,38.7,1.11,3.79,15.8,21.5,5.43,37.9,1.36,2.39,56.9,1.4,0,27.7,143.2,67.8,46.4,677,60,3.79,1.93,Matches
99,Cory Burke/Cory-Burke,jm JAM,FW,Philadelphia,27,1991,5.4,29.1,0.74,1.67,13,17,5.56,28.3,1.3,1.85,70,1.3,0,20.4,141.5,67,41.9,119,52.7,2.59,1.85,Matches
100,Evan Bush/Evan-Bush,us USA,GK,Montreal,32,1986,32,33.1,28.8,33,0.13,0,0,23.7,0,0,,0,0,16.1,84.9,46.6,13.1,416,99,0.03,0,Matches
101,Gianluca Busio/Gianluca-Busio,us USA,MF,Sporting KC,16,2002,10.3,52.5,0.97,8.25,24.2,23.5,3.69,50.3,0.78,1.55,50,1.07,2,37.1,213.7,124.8,46.2,383,80.5,1.84,2.33,Matches
102,Handwalla Bwana/Handwalla-Bwana,ae UAE,FW,Seattle,21,1997,6.4,45,1.09,7.19,15.8,26.1,4.84,43.3,2.81,4.38,64.3,2.97,0,33.8,270.8,183.8,44.1,205,72.7,1.72,2.03,Matches
103,Brandon Bye/Brandon-Bye,us USA,DF,New England,23,1995,29.5,57.8,4.31,15.9,25.3,19,1.59,47.6,0.71,1.8,39.6,0.78,3,28.5,158.5,95.1,33,816,83.9,1.08,1.19,Matches
104,Víctor Cabrera/Victor-Cabrera,ar ARG,DF,Montreal,25,1993,13.1,72.5,6.72,38.5,35,3.28,0.61,69.5,0.53,0.92,58.3,0.69,0,47.6,240.2,130.5,48.2,621,98.3,0.31,0.23,Matches
105,Luís Caicedo/Luis-Caicedo,co COL,MF,New England,22,1996,26.2,49.4,3.7,16,29.4,6.6,0.92,47.9,0.23,0.42,54.5,0.31,1,28.2,164.7,86.3,27.9,669,91.4,0.69,0.69,Matches
106,Scott Caldwell/Scott-Caldwell,us USA,MF,New England,27,1991,12,55.4,2.92,12.9,34.1,12.1,1.33,52.9,0.17,0.92,18.2,0.17,0,35.9,177.9,71.7,38.9,415,88.9,1,0.75,Matches
107,Alexander Callens/Alexander-Callens,pe PER,DF,NYCFC,26,1992,24,67.9,7.17,41.2,27.9,3.29,0.83,65.3,0.17,0.21,80,0.17,0,44.4,225.5,118.8,45.2,1065,98.2,0.21,0.33,Matches
108,Eric Calvillo/Eric-Calvillo,us USA,MFDF,San Jose,21,1998,0.8,61.3,1.25,13.8,31.3,23.8,0,57.5,0,1.25,0,1.25,0,41.3,266.3,92.5,58.8,35,74.5,1.25,1.25,Matches
109,Francisco Calvo/Francisco-Calvo,cr CRC,DF,Chicago,26,1992,21.5,69.8,8.23,37.1,31.9,6.14,1.53,66.4,0.93,1.3,71.4,0.98,0,48.8,294.5,177.9,48.1,1000,96.7,0.6,0.98,Matches
110,Francisco Calvo/Francisco-Calvo,cr CRC,DF,Minnesota,26,1992,7,55.7,5,21.3,27.1,11.1,2.29,46.7,2.57,3.71,69.2,3,2,31.1,153,87.4,29.6,184,88.9,0.57,0.86,Matches
111,Rudy Camacho/Rudy-Camacho,fr FRA,DF,Montreal,27,1991,16.3,71.1,6.32,36.4,36.9,3.25,0.86,69.6,0.61,0.61,100,0.61,0,46.9,281.4,148.5,49.7,786,97,0.37,0.12,Matches
112,Jonathan Campbell/Jonathan-Campbell,us USA,DF,Seattle,25,1993,4,62,11.3,41.3,22.8,1.5,0.5,61.5,0,0,,0,0,40,210,102,43,171,99.4,0.25,0.25,Matches
113,Diego Campos/Diego-Campos,cr CRC,DF,Chicago,23,1995,4.9,46.9,2.24,12,22.4,16.1,1.84,38.4,0.41,0.41,100,0.41,0,27.8,158.4,90.8,30,132,89.8,1.22,0.2,Matches
114,Reggie Cannon/Reggie-Cannon,us USA,DF,FC Dallas,20,1998,25.2,64,3.73,20.8,29.2,18.6,1.75,55.1,0.79,1.71,46.5,0.91,3,41.5,233.6,138.1,43.3,987,90.4,1.07,1.51,Matches
115,Russell Canouse/Russell-Canouse,us USA,MFDF,D.C. United,23,1995,23.8,62.9,4.16,18.8,38.7,8.32,0.59,60,0.42,0.8,52.6,0.42,0,41,172.5,86.7,42.5,920,90.9,0.59,1.22,Matches
116,Andrew Carleton/Andrew-Carleton,us USA,MFFW,Atlanta,18,2000,0.7,72.9,0,14.3,25.7,37.1,5.71,65.7,1.43,1.43,100,1.43,0,47.1,294.3,125.7,62.9,31,70.5,5.71,2.86,Matches
