Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
1,Brenden Aaronson/Brenden-Aaronson,us USA,MFFW,Philadelphia,18,2000,19,47.1,0.32,4.79,18.9,26.5,3.95,45.1,1.21,2.53,47.9,1.32,1,35.7,212.2,115.4,44.5,635,75.1,2.42,2.26,Matches
2,Saad Abdul-Salaam/Saad-Abdul-Salaam,us USA,DF,Seattle,27,1991,11.9,56.6,3.87,19.4,26,13.6,1.93,48.2,1.09,1.34,81.3,1.09,0,32.8,167,82.5,36.4,389,89.8,1.6,0.42,Matches
3,Lalas Abubakar/Lalas-Abubakar,gh GHA,DF,Colorado,24,1994,22,44.6,9.14,28.5,16,2,0.77,43.8,0.05,0.09,50,0.05,0,22.9,97,45.6,23,482,95.1,0.09,0.18,Matches
4,Lalas Abubakar/Lalas-Abubakar,gh GHA,DF,Columbus,24,1994,1,70,11,47,22,4,3,69,0,0,,0,0,43,182,106,42,42,100,1,1,Matches
5,David Accam/David-Accam,gh GHA,FW,Philadelphia,28,1990,3.8,35.8,0.26,5.53,9.47,23.2,9.21,35.5,1.58,3.16,50,1.58,0,28.4,205.8,129.2,42.9,98,60.1,2.63,2.89,Matches
6,David Accam/David-Accam,gh GHA,FWMF,Columbus,28,1990,7.4,35.1,0.27,4.86,15.1,19.3,5.54,33.6,3.51,6.62,53.1,4.19,7,28.9,246.6,178.2,32.6,174,72.2,2.57,1.35,Matches
7,Bryan Acosta/Bryan-Acosta,hn HON,MF,FC Dallas,25,1993,23,82,2.35,23.7,50.7,13.4,0.61,76,1.04,1.61,64.9,1.13,0,59.9,305,142.1,61.2,1352,96.1,0.7,0.83,Matches
8,Danilo Acosta/Danilo-Acosta,us USA,DF,Orlando City,21,1997,7.4,55.8,3.65,17.4,23.6,18,0.54,47.4,1.08,2.03,53.3,1.35,3,37.8,199.7,111.9,37.4,255,92.1,0.41,1.49,Matches
9,Kellyn Acosta/Kellyn-Acosta,us USA,MF,Colorado,23,1995,29.1,44.9,1.31,9.55,25.5,13.1,1.34,42.9,1,1.58,63,1.07,1,30.7,179.5,95.7,34.8,868,85.7,1.1,1.24,Matches
10,Luciano Acosta/Luciano-Acosta,ar ARG,MFFW,D.C. United,24,1994,23.6,74.2,0.47,7.58,40.5,32.2,3.6,70.8,2.88,6.06,47.6,3.05,8,62.8,364.8,204.7,69.7,1366,83,3.09,2.92,Matches
11,Mo Adams/Mo-Adams,eng ENG,DFMF,Atlanta,22,1996,1,78,5,21,41,23,6,74,1,6,16.7,1,0,55,295,150,49,46,93.9,1,1,Matches
12,Mo Adams/Mo-Adams,eng ENG,MF,Chicago,22,1996,5.4,46.9,2.04,15.4,28.5,6.11,0.19,45.9,0.37,0.74,50,0.56,0,31.7,147.6,63.3,30,151,93.2,0.93,1.11,Matches
13,Fanendo Adi/Fanendo-Adi,ng NGA,FW,FC Cincinnati,28,1990,7.8,34.1,1.28,2.44,15.5,16.8,5.38,31.2,1.03,1.41,72.7,1.28,1,20,90.1,29.7,52.9,200,48.4,4.74,1.54,Matches
14,Ali Adnan Kadhim/Ali-Adnan-Kadhim,iq IRQ,DF,Vancouver,25,1993,26.8,70.1,6.23,25.6,29,19.5,1.79,60.2,2.57,3.84,67,2.87,4,43.5,236.4,158.3,44.8,1074,89.4,1.53,1.31,Matches
15,François Affolter/Francois-Affolter,ch SUI,DF,San Jose,27,1991,1,57,1,33,29,0,0,55,0,0,,0,0,41,170,100,40,40,100,0,0,Matches
16,Harrison Afful/Harrison-Afful,gh GHA,DF,Columbus,32,1986,21.1,65.7,4.08,23.3,28.5,18.1,0.9,55.9,0.85,1.42,60,0.9,1,41.1,205.9,109.7,41.9,800,90.5,0.52,0.9,Matches
17,Juan Agudelo/Juan-Agudelo,us USA,MFFW,New England,26,1992,21.7,52.8,1.84,9.26,26.3,22.2,4.33,51.7,2.49,4.33,57.4,2.63,3,40.8,262.4,145,48.8,765,72.2,2.35,2.95,Matches
18,Tesho Akindele/Tesho-Akindele,ca CAN,FW,Orlando City,26,1992,20.8,38.8,1.35,4.66,16.1,19.8,4.28,37.6,0.87,1.73,50,0.96,2,26.1,132.3,62.2,49.7,586,56.7,2.31,1.44,Matches
19,Ayo Akinola/Ayo-Akinola,us USA,FWMF,Toronto FC,19,2000,2.9,34.5,0.69,1.38,10.7,23.1,6.55,33.1,0.69,1.38,50,0.69,0,26.9,144.1,60.3,40.7,76,64.4,1.38,4.83,Matches
20,Fatai Alashe/Fatai-Alashe,us USA,MFDF,FC Cincinnati,25,1993,4.9,39.8,1.43,8.16,22.4,11.4,2.65,38.4,0.41,1.02,40,0.41,0,23.5,122.7,61,34.7,128,75.3,1.63,1.02,Matches
21,Nazmi Albadawi/Nazmi-Albadawi,ps PLE,MF,FC Cincinnati,27,1991,0.1,90,0,0,80,10,0,80,0,0,,0,0,60,340,20,50,5,100,0,0,Matches
22,Romain Alessandrini/Romain-Alessandrini,fr FRA,FW,LA Galaxy,29,1989,3.1,80,0.32,8.06,25.8,53.2,6.77,70,2.26,3.55,63.6,2.26,0,63.2,355.2,187.1,72.6,190,84.4,3.87,3.55,Matches
23,Eric Alexander/Eric-Alexander,us USA,MFFW,FC Cincinnati,30,1988,3.5,48.9,2.29,9.14,31.7,9.71,0.86,47.7,0.57,0.86,66.7,0.86,0,36,151.4,67.7,37.1,117,90,2,1.14,Matches
24,Osvaldo Alonso/Osvaldo-Alonso,cu CUB,MF,Minnesota,33,1985,26.3,65.6,3.27,19.8,43.3,8.52,0.3,63.8,1.29,1.86,69.4,1.33,2,48.8,332.7,160.2,48.9,1245,96.9,0.53,0.57,Matches
25,Jozy Altidore/Jozy-Altidore,us USA,FW,Toronto FC,29,1989,18.8,36.9,0.59,1.22,15.4,21.6,6.7,35.6,0.8,1.76,45.5,0.96,0,27.1,97.2,45.1,51.2,575,59.7,2.5,1.44,Matches
26,Efrain Alvarez/Efrain-Alvarez,mx MEX,MFFW,LA Galaxy,16,2002,5.8,57.4,0.52,6.9,26,27.6,2.93,52.6,1.9,2.93,64.7,1.9,2,44.8,214.8,112.2,49.7,246,85.4,1.55,2.07,Matches
27,Fabio Álvarez/Fabio-Alvarez,ar ARG,MFFW,LA Galaxy,26,1993,14,59.4,1,8.07,31.1,24.9,3.43,58.8,1.21,1.86,65.4,1.29,2,47.7,244.4,125.5,52.7,643,87.1,1.71,1.71,Matches
