Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,3-Jan,PPA,CrsPA,Prog,Matches
554,Dillon Serna/Dillon-Serna,us USA,DFMF,Colorado,24,1994,6.5,34.3,46.8,73.4,651.1,285.2,0,0.62,0,26.2,31.5,82.9,8.15,14.6,55.8,0,0.05,-0.05,0.92,1.54,1.23,0.77,5.08,Matches
555,Brandon Servania/Brandon-Servania,us USA,MF,FC Dallas,19,1999,12.4,39.7,47.8,83,730.5,168.1,0.56,1.37,41.2,31,35.1,88.5,8.06,11.4,70.9,0.08,0.05,0.03,0.97,2.58,0.89,0.16,3.31,Matches
556,Jacob Shaffelburg/Jacob-Shaffelburg,ca CAN,MFFW,Toronto FC,19,1999,7.4,14.9,24.5,60.8,243.1,68,0.27,1.89,14.3,12.7,17.4,72.9,1.89,5.14,36.8,0.14,0.14,0,1.62,0.68,1.35,1.08,2.43,Matches
557,Brek Shea/Brek-Shea,us USA,DF,Atlanta,28,1990,10.1,46.7,58,80.5,860.5,271.4,0.4,1.98,20,37.6,42.8,88,8.71,13.3,65.7,0.1,0.25,-0.15,1.68,2.97,0.79,0.2,6.83,Matches
558,Andre Shinyashiki/Andre-Shinyashiki,br BRA,FWMF,Colorado,23,1995,18.6,19.5,28.4,68.4,325.9,103.3,0.38,2.04,18.4,16.1,20.9,77.1,2.96,5.48,53.9,0.16,0.18,-0.02,1.56,1.34,1.34,0.32,3.01,Matches
559,Harry Shipp/Harry-Shipp,us USA,FWMF,Seattle,27,1991,15.4,39.6,48.2,82.2,680.1,211.4,0.32,1.43,22.7,33.1,37.5,88.4,6.17,9.29,66.4,0.06,0.07,-0.01,0.97,3.57,1.1,0,4.61,Matches
560,Shamit Shome/Shamit-Shome,ca CAN,MF,Montreal,21,1997,18.1,29.4,35,84.1,525.5,142.9,0.11,0.5,22.2,23.8,27.2,87.2,5.58,7.29,76.5,0.06,0.05,0.01,0.5,3.43,0.66,0,3.54,Matches
561,Danilo da Silva/Danilo-da-Silva,br BRA,DF,Los Angeles FC,32,1986,2.5,40.8,49.6,82.3,852.4,325.2,0,0,,29.6,34,87.1,11.2,15.6,71.8,0,0.08,-0.08,0.4,4.8,0,0,3.2,Matches
562,Luis Silva/Luis-Silva,us USA,FWMF,Seattle,30,1988,2.2,18.6,23.2,80.4,283.2,22.7,0.91,1.36,66.7,15.9,18.6,85.4,1.82,3.18,57.1,0,0,0,0.45,2.27,0,0,0.91,Matches
563,Marcelo Silva/Marcelo-Silva,uy URU,DF,Real Salt Lake,29,1989,14.9,32.6,37.5,86.9,734.8,219.9,0.13,0.2,66.7,20.5,22.2,92.4,11.9,15.1,79.1,0,0.01,-0.01,0.2,1.68,0,0,1.74,Matches
