Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,3-Jan,PPA,CrsPA,Prog,Matches
617,Akeem Ward/Akeem-Ward,us USA,DF,D.C. United,23,1996,0.5,10,14,71.4,134,80,0,0,,10,14,71.4,0,0,,0,0,0,0,0,0,0,2,Matches
618,Kendall Waston/Kendall-Waston,cr CRC,DF,FC Cincinnati,31,1988,24.2,38.1,47.6,80,910.4,345,0.08,0.45,18.2,22.6,25.3,89.4,15.4,21.8,70.5,0,0,0,0.12,2.44,0.08,0,3.02,Matches
619,Quentin Westberg/Quentin-Westberg,us USA,GK,Toronto FC,32,1986,27.8,27.9,37.2,75,855.6,542.8,0.07,0.14,50,13.2,13.3,98.9,14.7,23.8,61.7,0,0,0,0,0.22,0,0,0,Matches
620,Brian White/Brian-White,us USA,FW,NY Red Bulls,22,1996,14.8,14,22,63.5,175.9,31,0.68,2.03,33.3,12.5,18.2,68.5,0.81,1.76,46.2,0.07,0.07,-0.01,0.81,0.68,0.2,0,1.01,Matches
621,JJ Williams/JJ-Williams,us USA,FW,Columbus,21,1998,3.6,9.17,16.4,55.9,108.6,10,0.28,1.11,25,8.61,15,57.4,0.28,0.28,100,0,0.03,-0.03,0.56,0.28,0,0,0.28,Matches
622,Josh Williams/Josh-Williams,us USA,DF,Columbus,30,1988,14.2,43.5,50.6,86.1,931.3,373.6,0.21,0.42,50,29.8,33.5,88.9,13.5,16.6,81.4,0,0,0,0.14,3.45,0.28,0.07,3.66,Matches
623,Romario Williams/Romario-Williams,jm JAM,FWMF,Columbus,24,1994,1.4,8.57,14.3,60,192.9,70.7,0.71,2.14,33.3,3.57,7.14,50,4.29,5,85.7,0,0.21,-0.21,2.14,2.14,0.71,0,2.14,Matches
624,Romario Williams/Romario-Williams,jm JAM,FWDF,Atlanta,24,1994,0.4,20,45,44.4,230,55,0,2.5,0,20,37.5,53.3,0,5,0,0,0.5,-0.5,2.5,0,2.5,0,2.5,Matches
625,Eryk Williamson/Eryk-Williamson,us USA,MFFW,Portland,21,1997,2.6,31.9,40,79.8,609.2,192.7,0,0.77,0,26.9,32.3,83.3,5,6.92,72.2,0,0,0,0,3.46,0.38,0,3.85,Matches
626,Joe Willis/Joe-Willis,us USA,GK,Houston,30,1988,27,18.8,29.5,63.6,625.3,398.4,0.07,0.11,66.7,7.78,7.89,98.6,10.9,21.5,50.8,0,0.01,-0.01,0.07,0.44,0.04,0,0,Matches
627,Danny Wilson/Danny-Wilson,sco SCO,MFDF,Colorado,27,1991,14.8,25.1,33.5,75,588,201.8,0.2,0.81,25,16.3,19.1,85.2,8.65,13.6,63.7,0.07,0.03,0.04,0.34,3.11,0.34,0,3.11,Matches
628,Henry Wingo/Henry-Wingo,us USA,FW,Seattle,23,1995,2.2,25,33.6,74.3,404.5,80.9,0,2.27,0,21.4,25.9,82.5,3.64,5.45,66.7,0,0.18,-0.18,1.36,0.91,0.91,0,1.82,Matches
629,Chris Wondolowski/Chris-Wondolowski,us USA,FW,San Jose,36,1983,22,13.2,17.3,76.4,205.4,31,0.82,1.5,54.5,10.5,13.2,79.3,1.95,2.64,74.1,0.09,0.09,0,1.18,0.86,0.5,0.09,1.09,Matches
630,Andrew Wooten/Andrew-Wooten,us USA,FW,Philadelphia,29,1989,3.9,19.7,25.1,78.6,300.3,33.1,0.77,1.54,50,16.9,20.3,83.5,2.05,3.33,61.5,0,0.08,-0.08,0.77,0.51,1.03,0,1.28,Matches
631,Brian Wright/Brian-Wright,ca CAN,FWMF,New England,23,1995,0.1,10,10,100,70,0,0,0,,10,10,100,0,0,,0,0,0,0,0,0,0,0,Matches
632,Bradley Wright-Phillips/Bradley-Wright-Phillips,eng ENG,FW,NY Red Bulls,33,1985,12.3,17.6,26.5,66.6,250.7,57.1,0.65,2.11,30.8,15.4,21.7,71.2,1.54,2.68,57.6,0.08,0.15,-0.07,1.06,1.14,0.65,0.08,2.28,Matches
633,Deklan Wynne/Deklan-Wynne,nz NZL,DF,Colorado,23,1995,10.2,29.5,37.2,79.4,626.1,276.9,0.1,0.69,14.3,20.5,23.4,87.4,8.92,13,68.4,0,0.02,-0.02,0.2,2.25,0.29,0.1,2.75,Matches
634,Griffin Yow/Griffin-Yow,us USA,FW,D.C. United,16,2002,0.6,11.7,13.3,87.5,206.7,25,0,0,,10,11.7,85.7,1.67,1.67,100,0,0,0,0,0,0,0,1.67,Matches
635,Jackson Yueill/Jackson-Yueill,us USA,MF,San Jose,21,1997,29.7,59.9,68.7,87.1,1232.5,334.2,0.47,1.01,46.7,43.2,46.7,92.6,16.2,21,77,0.13,0.11,0.02,1.72,7.51,0.77,0.07,6.94,Matches
636,Wilfried Zahibo/Wilfried-Zahibo,cf CTA,MF,New England,25,1993,16.7,39,49.2,79.3,755.1,267.8,0.54,0.96,56.3,29.8,35,85.3,8.62,13.2,65.2,0.06,0.02,0.04,0.54,5.21,0.6,0,5.99,Matches
637,Renzo Zambrano/Renzo-Zambrano,ve VEN,MF,Portland,24,1994,8.7,48.7,54.4,89.6,1080.6,229,0.69,1.15,60,32.8,35.4,92.5,15.3,17.8,85.8,0,0.03,-0.03,0.57,6.44,0.34,0,4.94,Matches
638,Gyasi Zardes/Gyasi-Zardes,us USA,FW,Columbus,27,1991,27.5,13.2,17.6,75,175.6,26,0.47,1.38,34.2,11.8,14.5,81.4,0.95,1.75,54.2,0.07,0.07,0,0.95,0.47,0.25,0,0.73,Matches
639,Eriq Zavaleta/Eriq-Zavaleta,us USA,DF,Toronto FC,26,1992,11.3,51.2,56.5,90.8,1090.8,303.5,0.27,1.06,25,37.5,39.3,95.5,13.5,16.1,83.5,0,0.01,-0.01,0.18,3.27,0.27,0.09,3.01,Matches
640,Gedion Zelalem/Gedion-Zelalem,us USA,MF,Sporting KC,22,1997,4.8,43.3,48.8,88.9,791.3,250.4,0.42,0.83,50,33.8,35.8,94.2,9.17,12.1,75.9,0,0.02,-0.02,1.04,8.13,0.42,0,7.5,Matches
641,Rodolfo Zelaya/Rodolfo-Zelaya,sv SLV,FW,Los Angeles FC,30,1988,1.3,13.8,21.5,64.3,266.9,93.8,0,1.54,0,10,13.8,72.2,3.85,6.15,62.5,0,0.08,-0.08,1.54,0.77,1.54,0.77,5.38,Matches
642,Adrian Zendejas/Adrian-Zendejas,mx MEX,GK,Sporting KC,23,1995,1,38,44,86.4,856,415,0,0,,28,28,100,10,16,62.5,0,0,0,0,0,0,0,0,Matches
643,Reto Ziegler/Reto-Ziegler,ch SUI,DF,FC Dallas,33,1986,32,56.6,63.8,88.7,1303.7,459.5,0.28,0.5,56.3,35.6,37.5,95,20.7,25.8,80.2,0,0.01,-0.01,0.25,3.63,0.22,0.03,3.56,Matches
644,Walker Zimmerman/Walker-Zimmerman,us USA,DF,Los Angeles FC,25,1993,24.1,47.3,54.5,86.8,987.3,409,0.29,0.5,58.3,34,36.9,92.1,13,17.1,76,0,0.01,-0.01,0.21,3.57,0.08,0,4.94,Matches
645,Ethan Zubak/Ethan-Zubak,us USA,MFFW,LA Galaxy,20,1998,0.5,12,18,66.7,222,30,0,0,,10,12,83.3,2,6,33.3,0,0.2,-0.2,2,0,0,0,2,Matches
646,Graham Zusi/Graham-Zusi,us USA,DF,Sporting KC,32,1986,26.1,54.6,66.1,82.6,1089.3,380.9,0.73,1.76,41.3,40.3,44.9,89.7,13.6,19.4,69.8,0.04,0.15,-0.11,0.96,5.21,1.49,0.5,8.28,Matches
