"Team","Season","Games","PassF","PctF","xPctF","ScoreF","Per100F","VertF","PassA","PctA","xPctA","VertA","ScoreA","Per100A","ScoreDiff","VertDiff","Gini18","Comp"
"NYC",2019,34,6245,0.81,0.8,60.257,0.965,7.025,3866,0.701,0.714,10.623,-51.438,-1.331,111.695,-3.599,0.433,10051253
"LAFC",2019,34,4544,0.834,0.818,73.149,1.61,7.84,4955,0.753,0.757,9.732,-21.477,-0.433,94.626,-1.892,0.657,14439693
"FCD",2019,34,6054,0.842,0.828,85.803,1.417,6.264,4392,0.783,0.784,8.209,-3.577,-0.081,89.38,-1.944,0.344,8730844
"ATL",2019,34,4670,0.805,0.797,34.823,0.746,8.138,4115,0.743,0.75,9.386,-29.502,-0.717,64.324,-1.247,0.493,12670769
"SKC",2019,34,4962,0.829,0.817,60.401,1.217,7.403,4827,0.773,0.773,8.917,1.308,0.027,59.093,-1.514,0.384,13013585
"LAG",2019,34,4128,0.786,0.757,118.055,2.86,10.763,4436,0.796,0.782,9.483,61.862,1.395,56.193,1.28,0.633,18514139
"NER",2019,34,3547,0.723,0.707,56.463,1.592,12.992,5459,0.775,0.773,8.147,14.192,0.26,42.271,4.845,0.49,8930469
"CHI",2019,34,4416,0.786,0.775,47.47,1.075,8.344,4687,0.77,0.769,8.854,5.586,0.119,41.885,-0.51,0.638,16907430
"PHI",2019,34,4040,0.765,0.754,41.744,1.033,10.286,5135,0.796,0.792,8.399,24.603,0.479,17.141,1.887,0.518,8959605
"TOR",2019,34,5111,0.829,0.809,103.995,2.035,7.991,4987,0.813,0.795,7.88,91.234,1.829,12.761,0.111,0.724,22193619
"NYRB",2019,34,3415,0.617,0.652,-119.929,-3.512,12.187,5383,0.71,0.735,9.261,-132.446,-2.46,12.516,2.925,0.446,8301854
"SJE",2019,34,5373,0.83,0.816,74.663,1.39,6.942,4002,0.768,0.752,10.559,62.405,1.559,12.258,-3.617,0.353,9161431
"MIN",2019,34,4263,0.745,0.745,-0.488,-0.011,10.157,4798,0.796,0.794,7.778,10.054,0.21,-10.542,2.379,0.392,9180564
"COL",2019,34,3986,0.723,0.715,32.681,0.82,11.491,4656,0.804,0.792,8.357,54.629,1.173,-21.948,3.134,0.503,8937176
"POR",2019,34,4066,0.781,0.771,40.54,0.997,10.811,4810,0.794,0.781,9.375,64.327,1.337,-23.788,1.436,0.477,11786333
"CLB",2019,34,5086,0.785,0.785,-2.759,-0.054,7.701,5138,0.801,0.796,7.974,30.209,0.588,-32.968,-0.273,0.409,10400782
"RSL",2019,34,4612,0.763,0.754,44.924,0.974,9.574,4314,0.799,0.78,8.463,82.555,1.914,-37.631,1.11,0.447,10832522
"SEA",2019,34,4711,0.791,0.785,27.515,0.584,8.815,4325,0.79,0.774,8.971,65.931,1.524,-38.416,-0.157,0.448,12621163
"ORL",2019,34,4196,0.75,0.755,-18.05,-0.43,10.32,4487,0.785,0.779,8.778,29.129,0.649,-47.179,1.542,0.508,11359974
"CIN",2019,34,4827,0.755,0.761,-26.692,-0.553,8.18,4717,0.788,0.783,7.86,26.304,0.558,-52.997,0.321,0.426,10312162
"DCU",2019,34,4149,0.729,0.743,-57.1,-1.376,9.867,4090,0.758,0.758,8.838,-2.342,-0.057,-54.757,1.029,0.53,10571569
"MTL",2019,34,4501,0.77,0.775,-21.585,-0.48,8.314,4380,0.789,0.78,8.41,40.081,0.915,-61.666,-0.096,0.624,12139404
"HOU",2019,34,4390,0.77,0.77,1.386,0.032,8.187,4677,0.811,0.794,8.33,76.142,1.628,-74.756,-0.143,0.404,7665634
"VAN",2019,34,5581,0.788,0.788,-0.462,-0.008,7.839,4237,0.824,0.787,8.818,157.034,3.706,-157.496,-0.978,0.369,8000713
