"","Var.1","Var.2","Var.3","Playing Time","Playing Time","Playing Time","Performance","Performance","Performance","Performance","Performance","Performance","Per 90 Minutes","Per 90 Minutes","Per 90 Minutes","Per 90 Minutes","Per 90 Minutes","Expected","Expected","Expected","Per 90 Minutes","Per 90 Minutes","Per 90 Minutes","Per 90 Minutes","Per 90 Minutes","Var.26","Var.27","Playing Time","Playing Time","Playing Time","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Penalty Kicks","Penalty Kicks","Penalty Kicks","Penalty Kicks","Var.45","Var.46","Var.47","Goals","Goals","Goals","Goals","Goals","Expected","Expected","Expected","Expected","Launched","Launched","Launched","Passes","Passes","Passes","Passes","Goal Kicks","Goal Kicks","Goal Kicks","Crosses","Crosses","Crosses","Sweeper","Sweeper","Sweeper","Var.73","Var.74","Standard","Standard","Standard","Standard","Standard","Standard","Standard","Standard","Standard","Standard","Standard","Expected","Expected","Expected","Expected","Expected","Var.91","Var.92","Total","Total","Total","Total","Total","Short","Short","Short","Medium","Medium","Medium","Long","Long","Long","Var.107","Var.108","Var.109","Var.110","Var.111","Var.112","Var.113","Var.114","Var.115","Var.116","Var.117","Pass Types","Pass Types","Pass Types","Pass Types","Pass Types","Pass Types","Pass Types","Pass Types","Corner Kicks","Corner Kicks","Corner Kicks","Height","Height","Height","Body Parts","Body Parts","Body Parts","Body Parts","Body Parts","Outcomes","Outcomes","Outcomes","Outcomes","Outcomes","Var.142","Var.143","SCA","SCA","SCA Types","SCA Types","SCA Types","SCA Types","SCA Types","GCA","GCA","GCA Types","GCA Types","GCA Types","GCA Types","GCA Types","GCA Types","Var.159","Var.160","Tackles","Tackles","Tackles","Tackles","Tackles","Vs Dribbles","Vs Dribbles","Vs Dribbles","Vs Dribbles","Pressures","Pressures","Pressures","Pressures","Pressures","Pressures","Blocks","Blocks","Blocks","Blocks","Var.180","Var.181","Var.182","Var.183","Var.184","Var.185","Touches","Touches","Touches","Touches","Touches","Touches","Touches","Dribbles","Dribbles","Dribbles","Dribbles","Dribbles","Carries","Carries","Carries","Receiving","Receiving","Receiving","Var.204","Var.205","Var.206","Var.207","Playing Time","Playing Time","Playing Time","Playing Time","Starts","Starts","Subs","Subs","Subs","Team Success","Team Success","Team Success","Team Success","Team Success","Team Success (xG)","Team Success (xG)","Team Success (xG)","Team Success (xG)","Var.226","Var.227","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Aerial Duels","Aerial Duels","Aerial Duels","League"
"11","Leverkusen","21","59.9","34","374","3,060","68","51","4","5","50","1","2.00","1.50","3.50","1.88","3.38","60.6","56.9","41.4","1.78","1.22","3.00","1.67","2.89","Leverkusen","2","34","34","3,060","54","1.59","137","91",".635","18","4","12","9","26.5","6","4","2","0","Leverkusen","2","34.0","54","4","2","11","2","45.1","0.30","-4.9","-0.14","252","549","45.9","1221","167","35.6","35.5","205","55.6","45.6","249","22","8.8","29","0.85","16.0","Leverkusen","21","68","4","5","512","188","25","36.7","15.06","5.53","0.13","0.34","60.6","56.9","0.12","+7.4","+7.1","Leverkusen","21","18327","22030","83.2","347484","111744","297","723","41.1","13941","15708","88.8","4089","5599","73.0","51","41.4","+9.6","370","1261","367","93","1926","Leverkusen","21","22030","20388","1642","444","62","3388","587","643","188","24","28","6","16124","2523","3383","6404","13517","835","720","262","18327","58","311","340","483","Leverkusen","21","775","22.79","609","52","39","42","32","117","3.44","92","6","2","9","7","1","Leverkusen","21","564","371","305","202","57","181","546","33.2","365","5021","1580","31.5","1579","2327","1115","548","98","2","450","382","705","4","Leverkusen","21","59.9","26110","2147","7622","13652","6459","977","24498","376","604","62.3","401","16","18453","97298","50933","20774","18327","88.2","495","405","Leverkusen","21","34","3,060","90","100","374","85","93","22","144","1.71","69","52","+17","+0.50","60.6","42.9","+17.7","+0.52","Leverkusen","21","50","1","0","377","387","69","643","382","371","3","6","3","3494","404","375","51.9","Bundesliga"
"12","M'gladbach","22","53.1","34","374","3,060","53","43","4","7","43","0","1.56","1.26","2.82","1.44","2.71","50.3","45.0","34.5","1.48","1.01","2.49","1.32","2.34","M'gladbach","1","34","34","3,060","43","1.26","154","115",".740","16","7","11","13","38.2","3","3","0","0","M'gladbach","1","34.0","43","3","0","3","0","50.0","0.32","+8.0","+0.23","225","539","41.7","1334","190","31.6","33.6","262","45.0","42.2","290","25","8.6","26","0.76","14.6","M'gladbach","22","53","4","7","440","146","16","33.2","12.94","4.29","0.11","0.34","50.3","45.0","0.11","+2.7","+4.0","M'gladbach","22","15778","19034","82.9","326244","98844","139","447","31.1","11379","12790","89.0","4260","5797","73.5","43","34.5","+8.5","329","1144","308","70","1641","M'gladbach","22","19034","17440","1594","412","20","2945","607","570","188","11","31","7","14076","2038","2920","4320","12919","643","659","253","15778","64","328","306","382","M'gladbach","22","711","20.91","533","58","38","46","34","98","2.88","72","5","7","6","6","2","M'gladbach","22","512","322","252","209","51","158","479","33.0","321","5171","1268","24.5","1628","2515","1028","509","98","1","411","332","620","10","M'gladbach","22","53.1","22563","2297","7639","11461","5186","818","21025","323","519","62.2","346","6","16402","100207","56828","17820","15778","88.5","401","349","M'gladbach","22","34","3,060","90","100","374","84","102","20","136","1.62","55","42","+13","+0.38","50.3","49.6","+0.7","+0.02","M'gladbach","22","43","0","0","334","365","71","570","332","322","4","2","0","2869","294","392","42.9","Bundesliga"
"13","Mainz 05","28","46.1","34","374","3,060","44","30","3","3","56","0","1.29","0.88","2.18","1.21","2.09","47.8","45.5","32.2","1.41","0.95","2.35","1.34","2.29","Mainz 05","2","34","34","3,060","57","1.68","169","115",".680","12","7","15","7","20.6","4","3","0","1","Mainz 05","2","34.0","57","3","1","8","0","55.6","0.33","-1.4","-0.04","227","639","35.5","877","158","46.2","40.7","298","78.5","60.1","337","22","6.5","27","0.79","15.3","Mainz 05","28","44","3","3","482","145","17","30.1","14.18","4.26","0.09","0.28","47.8","45.5","0.10","-3.8","-4.5","Mainz 05","28","11555","15264","75.7","241905","88492","138","453","30.5","8157","9674","84.3","3260","5137","63.5","30","32.2","-2.2","343","981","289","89","1522","Mainz 05","28","15264","13567","1697","393","45","2232","517","654","149","9","28","5","9404","2149","3711","4796","8336","766","768","260","11555","74","263","247","418","Mainz 05","28","728","21.41","547","56","53","35","35","72","2.12","49","2","14","2","3","2","Mainz 05","28","519","300","247","211","61","157","512","30.7","355","5542","1374","24.8","1666","2541","1335","539","122","3","417","435","756","10","Mainz 05","28","46.1","19316","2120","6239","9105","5178","750","17657","353","604","58.4","385","14","12540","72942","40164","13944","11555","82.9","423","407","Mainz 05","28","34","3,060","90","100","374","85","102","20","136","1.26","46","57","-11","-0.32","47.8","55.2","-7.4","-0.22","Mainz 05","28","56","0","0","439","366","83","654","435","300","3","4","0","3464","427","416","50.7","Bundesliga"
"14","Nürnberg","27","42.3","34","374","3,060","25","16","2","6","58","4","0.74","0.47","1.21","0.68","1.15","33.4","29.0","18.6","0.98","0.55","1.53","0.85","1.40","Nürnberg","2","34","34","3,060","68","2.00","176","107",".625","3","10","21","4","11.8","4","2","1","1","Nürnberg","2","34.0","68","2","1","8","2","60.2","0.33","-5.8","-0.17","256","706","36.3","1028","137","47.4","41.1","333","65.8","54.7","415","41","9.9","12","0.35","12.4","Nürnberg","27","25","2","6","346","102","18","29.5","10.18","3.00","0.07","0.23","33.4","29.0","0.09","-8.4","-6.0","Nürnberg","27","10596","14077","75.3","220760","80833","133","407","32.7","7649","9019","84.8","2814","4651","60.5","16","18.6","-2.6","229","763","177","44","1211","Nürnberg","27","14077","12413","1664","410","17","2189","466","510","148","11","30","2","8734","1877","3466","4218","7846","808","674","203","10596","45","311","247","352","Nürnberg","27","495","14.56","342","59","22","31","41","38","1.12","23","4","0","8","3","0","Nürnberg","27","563","363","341","179","43","212","564","37.6","352","5416","1256","23.2","2204","2327","885","511","122","2","389","378","877","5","Nürnberg","27","42.3","17960","2496","7413","7899","3838","556","16330","299","498","60.0","321","22","11301","67300","36981","12800","10595","82.8","403","318","Nürnberg","27","34","3,060","90","100","374","84","96","20","141","0.56","26","68","-42","-1.24","33.4","54.4","-21.0","-0.62","Nürnberg","27","58","4","1","396","390","56","510","378","363","5","2","2","2966","409","468","46.6","Bundesliga"
"15","RB Leipzig","23","49.3","34","374","3,060","63","41","5","7","61","1","1.85","1.21","3.06","1.71","2.91","60.2","54.9","41.3","1.77","1.22","2.99","1.61","2.83","RB Leipzig","2","34","34","3,060","30","0.88","111","88",".775","19","9","6","16","47.1","6","5","0","1","RB Leipzig","2","34.0","30","5","1","4","1","35.5","0.29","+7.5","+0.22","262","633","41.4","817","128","54.0","44.1","224","85.7","61.2","253","15","5.9","42","1.24","16.9","RB Leipzig","23","63","5","7","487","172","18","35.3","14.32","5.06","0.12","0.34","60.2","54.9","0.12","+2.8","+3.1","RB Leipzig","23","12507","16647","75.1","231627","95135","246","600","41.0","9664","11670","82.8","2597","4377","59.3","41","41.3","-0.3","372","1121","365","87","1859","RB Leipzig","23","16647","14814","1833","515","61","2579","361","615","187","16","38","5","10308","2671","3668","3280","10739","1092","848","252","12507","81","333","311","457","RB Leipzig","23","783","23.03","593","68","50","37","35","100","2.94","71","2","15","8","4","0","RB Leipzig","23","649","394","304","270","75","224","613","36.5","389","5668","1830","32.3","1548","2747","1373","563","78","6","485","441","832","7","RB Leipzig","23","49.3","21007","1699","5575","10516","6204","907","19200","365","594","61.4","385","16","13066","74878","42019","15206","12507","82.3","516","408","RB Leipzig","23","34","3,060","90","100","374","86","100","15","138","1.94","63","29","+34","+1.00","60.2","34.7","+25.5","+0.75","RB Leipzig","23","61","1","0","470","401","89","615","441","394","3","6","1","3778","515","417","55.3","Bundesliga"
"16","Schalke 04","32","45.4","34","374","3,060","37","23","7","9","72","5","1.09","0.68","1.76","0.88","1.56","42.8","36.0","25.3","1.26","0.74","2.00","1.06","1.80","Schalke 04","2","34","34","3,057","55","1.62","157","106",".682","8","9","17","7","20.6","6","5","1","0","Schalke 04","2","34.0","55","5","1","4","1","54.1","0.33","+0.1","0.00","243","553","43.9","790","125","47.1","40.8","251","72.1","53.9","283","22","7.8","20","0.59","15.6","Schalke 04","32","37","7","9","407","121","18","29.7","11.97","3.56","0.07","0.25","42.8","36.0","0.09","-5.8","-6.0","Schalke 04","32","10900","14430","75.5","229525","82400","146","432","33.8","7577","9050","83.7","3177","4948","64.2","23","25.3","-2.3","297","832","240","53","1432","Schalke 04","32","14430","12770","1660","442","18","2148","449","533","154","5","39","6","8926","2063","3441","4369","7977","826","726","214","10900","69","311","251","372","Schalke 04","32","616","18.12","397","90","34","38","56","58","1.71","32","5","6","7","7","1","Schalke 04","32","627","384","283","270","74","207","634","32.6","427","5723","1529","26.7","1735","2727","1261","577","118","0","459","433","749","4","Schalke 04","32","45.4","18471","1918","6198","9236","4347","750","16869","381","619","61.6","425","20","11936","75371","43508","13093","10900","83.3","463","410","Schalke 04","32","34","3,060","90","100","374","84","97","21","141","0.97","37","55","-18","-0.53","42.8","48.7","-6.0","-0.18","Schalke 04","32","72","5","1","461","403","86","533","433","384","7","6","1","3202","407","395","50.7","Bundesliga"
"17","Stuttgart","26","45.9","34","374","3,060","32","26","1","1","64","5","0.94","0.76","1.71","0.91","1.68","39.5","38.8","28.9","1.16","0.85","2.01","1.14","1.99","Stuttgart","1","34","34","3,060","70","2.06","178","114",".618","7","7","20","6","17.6","3","2","0","1","Stuttgart","1","34.0","70","2","2","6","5","59.1","0.33","-5.9","-0.17","246","746","33.0","908","124","58.6","45.2","300","71.3","57.6","310","13","4.2","34","1.00","16.0","Stuttgart","26","32","1","1","404","118","16","29.2","11.88","3.47","0.08","0.26","39.5","38.8","0.10","-7.5","-7.8","Stuttgart","26","11309","15160","74.6","230295","83888","145","477","30.4","8187","9742","84.0","2977","4941","60.3","26","28.9","-2.9","304","834","251","94","1386","Stuttgart","26","15160","13403","1757","466","25","2305","449","746","169","23","20","7","9098","2347","3715","4812","8058","964","720","206","11309","57","340","212","411","Stuttgart","26","612","18.00","448","66","39","27","32","50","1.47","36","5","4","4","1","0","Stuttgart","26","605","382","343","201","61","161","503","32.0","342","5351","1439","26.9","1930","2387","1034","551","122","2","429","423","892","7","Stuttgart","26","45.9","19237","2198","6765","9090","4566","666","17526","272","454","59.9","296","13","11649","66549","36120","13604","11309","83.1","434","340","Stuttgart","26","34","3,060","90","100","374","84","101","23","137","0.82","32","70","-38","-1.12","39.5","57.3","-17.8","-0.52","Stuttgart","26","64","5","2","380","409","69","746","423","382","0","3","4","3366","503","455","52.5","Bundesliga"
"18","Werder Bremen","24","52.2","34","374","3,060","57","38","4","4","61","3","1.68","1.12","2.79","1.56","2.68","49.3","46.4","33.6","1.45","0.99","2.44","1.36","2.35","Werder Bremen","3","34","34","3,060","49","1.44","156","110",".712","14","11","9","5","14.7","5","4","0","1","Werder Bremen","3","34.0","49","4","2","5","0","46.9","0.28","-2.1","-0.06","259","570","45.4","936","166","42.6","38.2","308","55.5","45.9","316","18","5.7","16","0.47","14.0","Werder Bremen","24","57","4","4","453","171","11","37.7","13.32","5.03","0.12","0.31","49.3","46.4","0.11","+7.7","+6.6","Werder Bremen","24","14502","18267","79.4","290361","101443","184","557","33.0","10539","12279","85.8","3779","5431","69.6","38","33.6","+4.4","332","1194","330","97","1807","Werder Bremen","24","18267","16548","1719","445","35","2749","548","679","166","27","15","2","12204","2612","3451","6369","9677","910","720","261","14502","35","326","318","494","Werder Bremen","24","694","20.41","544","48","41","34","26","90","2.65","63","2","9","8","7","1","Werder Bremen","24","540","337","260","212","68","173","558","31.0","385","5510","1470","26.7","1730","2677","1103","534","112","1","422","418","855","7","Werder Bremen","24","52.2","22243","2258","6778","10967","5881","804","20566","271","431","62.9","292","12","14819","81151","44268","16968","14502","85.5","427","372","Werder Bremen","24","34","3,060","90","100","374","84","101","22","137","1.56","58","49","+9","+0.26","49.3","53.9","-4.6","-0.14","Werder Bremen","24","61","3","3","445","354","42","679","418","337","4","5","0","3298","421","459","47.8","Bundesliga"
"19","Wolfsburg","25","53.3","34","374","3,060","59","38","5","5","62","0","1.74","1.12","2.85","1.59","2.71","45.1","41.5","30.8","1.33","0.91","2.23","1.22","2.13","Wolfsburg","2","34","34","3,060","50","1.47","162","115",".716","16","7","11","9","26.5","6","4","1","1","Wolfsburg","2","34.0","50","4","3","3","0","56.2","0.33","+6.2","+0.18","297","640","46.4","1265","187","38.0","37.9","273","58.2","50.9","330","34","10.3","25","0.74","14.2","Wolfsburg","25","59","5","5","409","157","15","38.4","12.03","4.62","0.13","0.34","45.1","41.5","0.11","+13.9","+12.5","Wolfsburg","25","13200","17041","77.5","300330","97902","128","491","26.1","8470","10143","83.5","4602","6407","71.8","38","30.8","+7.2","292","985","298","85","1625","Wolfsburg","25","17041","15295","1746","480","31","2693","822","678","173","19","26","4","10756","2356","3929","6483","8291","905","737","285","13200","58","419","284","450","Wolfsburg","25","626","18.41","459","66","31","28","40","100","2.94","63","10","7","12","6","2","Wolfsburg","25","589","397","303","217","69","209","572","36.5","363","5501","1519","27.6","1778","2415","1308","542","95","1","447","460","815","5","Wolfsburg","25","53.3","20958","2451","7628","9789","4850","747","19271","290","477","60.8","321","21","13763","80549","44707","15703","13200","84.1","379","390","Wolfsburg","25","34","3,060","90","100","374","86","97","16","140","1.62","62","50","+12","+0.35","45.1","46.5","-1.4","-0.04","Wolfsburg","25","62","0","0","368","444","69","678","460","397","3","6","0","3304","429","418","50.6","Bundesliga"
"22","Arsenal","28","58.0","38","418","3,420","69","52","4","5","73","2","1.82","1.37","3.18","1.71","3.08","56.5","52.6","42.8","1.49","1.13","2.61","1.38","2.51","Arsenal","2","38","38","3,420","51","1.34","175","132",".749","21","7","10","8","21.1","7","7","0","0","Arsenal","2","38.0","51","7","1","5","2","58.4","0.31","+9.4","+0.25","153","520","29.4","1079","213","33.1","35.4","265","61.5","50.7","318","25","7.9","22","0.58","15.2","Arsenal","28","69","4","5","464","158","11","34.1","12.21","4.16","0.14","0.41","56.5","52.6","0.12","+12.5","+12.4","Arsenal","28","18309","22238","82.3","350027","109920","257","711","36.1","13840","15608","88.7","4212","5919","71.2","52","42.8","+9.2","357","1277","434","71","1839","Arsenal","28","22238","20351","1887","519","81","3500","534","615","208","17","26","3","16232","2659","3347","6584","13397","860","808","287","18309","79","340","396","568","Arsenal","28","758","19.95","609","46","47","31","22","121","3.18","95","6","5","5","7","3","Arsenal","28","600","393","302","227","71","200","580","34.5","380","6149","1641","26.7","1999","2852","1298","538","124","2","414","399","858","9","Arsenal","28","58.0","26528","2664","8528","12815","6859","1109","24712","366","579","63.2","385","22","18955","104368","56667","21172","18309","86.5","482","445","Arsenal","28","38","3,420","90","100","418","83","113","26","153","1.84","73","51","+22","+0.58","56.5","55.7","+0.8","+0.02","Arsenal","28","73","2","1","414","460","93","615","399","393","4","6","2","3404","418","483","46.4","Premier-League"
"31","Bournemouth","28","46.8","38","418","3,420","55","43","7","9","60","1","1.45","1.13","2.58","1.26","2.39","53.6","46.8","37.2","1.41","0.98","2.39","1.23","2.21","Bournemouth","3","38","38","3,420","70","1.84","166","103",".608","13","6","19","10","26.3","5","5","0","0","Bournemouth","3","38.0","70","5","2","8","3","57.2","0.33","-9.8","-0.26","211","541","39.0","740","193","44.7","39.8","300","70.0","54.6","360","24","6.7","18","0.47","13.9","Bournemouth","28","55","7","9","434","152","14","35.0","11.42","4.00","0.11","0.32","53.6","46.8","0.11","+1.4","+1.2","Bournemouth","28","13459","17433","77.2","264694","98646","157","553","28.4","10050","11858","84.8","3252","5022","64.8","43","37.2","+5.8","318","1017","358","78","1656","Bournemouth","28","17433","15517","1916","502","29","2691","411","619","188","10","15","4","11503","2311","3619","5090","9977","908","817","280","13459","53","393","347","500","Bournemouth","28","659","17.34","484","63","40","28","43","95","2.50","64","7","7","6","10","1","Bournemouth","28","492","303","271","170","51","139","457","30.4","318","6740","1545","22.9","2551","2948","1241","595","152","4","443","383","1065","6","Bournemouth","28","46.8","21928","2539","8028","9574","5665","959","20074","322","546","59.0","352","17","14012","79887","42981","16105","13459","83.6","501","451","Bournemouth","28","38","3,420","90","100","418","86","104","17","162","1.18","56","70","-14","-0.37","53.6","54.7","-1.1","-0.03","Bournemouth","28","60","1","0","342","441","58","619","383","303","8","5","3","3567","524","527","49.9","Premier-League"
"41","Brighton","21","42.6","38","418","3,420","35","24","5","6","61","4","0.92","0.63","1.55","0.79","1.42","34.8","30.2","23.7","0.92","0.62","1.54","0.80","1.42","Brighton","2","38","38","3,420","60","1.58","155","105",".677","9","9","20","7","18.4","10","10","0","0","Brighton","2","38.0","60","10","1","6","0","58.3","0.32","-1.7","-0.05","353","859","41.1","765","109","68.0","49.1","360","94.2","64.8","354","19","5.4","7","0.18","12.7","Brighton","21","35","5","6","369","99","11","26.8","9.71","2.61","0.08","0.30","34.8","30.2","0.08","+0.2","-0.2","Brighton","21","11577","15706","73.7","245953","91441","199","561","35.5","8144","9813","83.0","3234","5332","60.7","24","23.7","+0.3","282","893","221","80","1300","Brighton","21","15706","13909","1797","325","19","2517","682","642","154","21","21","1","9094","2238","4374","3678","9460","1013","860","201","11577","87","403","294","422","Brighton","21","582","15.32","397","77","34","34","40","54","1.42","29","9","2","7","7","0","Brighton","21","685","432","384","224","77","193","594","32.5","401","6874","1568","22.8","2735","2959","1180","653","192","3","461","470","1065","6","Brighton","21","42.6","20144","2564","7662","8773","4840","667","18379","304","511","59.5","346","13","12102","68466","35133","14400","11577","80.4","497","388","Brighton","21","38","3,420","90","100","418","84","99","22","167","0.95","35","60","-25","-0.66","34.8","55.1","-20.3","-0.54","Brighton","21","61","4","1","468","308","92","642","470","432","4","9","0","3500","583","551","51.4","Premier-League"
"51","Burnley","23","41.2","38","418","3,420","43","32","2","2","75","1","1.13","0.84","1.97","1.08","1.92","41.4","39.9","27.1","1.09","0.71","1.80","1.05","1.76","Burnley","2","38","38","3,420","68","1.79","199","137",".668","11","7","20","8","21.1","3","2","1","0","Burnley","2","38.0","68","2","2","10","4","60.7","0.30","-3.3","-0.09","354","959","36.9","827","88","78.1","55.8","339","92.3","69.0","429","22","5.1","26","0.68","14.6","Burnley","23","43","2","2","360","114","15","31.7","9.47","3.00","0.11","0.36","41.4","39.9","0.12","+1.6","+1.1","Burnley","23","10145","14648","69.3","214793","88798","143","486","29.4","7226","8931","80.9","2776","5231","53.1","32","27.1","+4.9","251","891","255","86","1335","Burnley","23","14648","12801","1847","385","29","2720","480","697","138","34","5","5","7406","2200","5042","4370","7419","1207","879","171","10145","102","450","198","417","Burnley","23","521","13.71","346","79","17","39","38","66","1.74","42","10","1","9","2","2","Burnley","23","590","342","302","232","56","210","579","36.3","369","6288","1478","23.5","2152","2751","1385","744","241","12","503","344","1149","15","Burnley","23","41.2","19071","2583","6307","8925","4806","722","17257","231","401","57.6","251","5","10637","59774","29331","13162","10145","77.1","477","343","Burnley","23","38","3,420","90","100","418","86","86","18","180","1.05","45","68","-23","-0.61","41.4","63.0","-21.5","-0.57","Burnley","23","75","1","0","365","358","108","697","344","342","1","3","4","3728","706","749","48.5","Premier-League"
"61","Cardiff City","25","35.6","38","418","3,420","33","20","3","4","66","1","0.87","0.53","1.39","0.79","1.32","39.6","36.6","22.8","1.04","0.60","1.64","0.96","1.56","Cardiff City","1","38","38","3,420","69","1.82","201","135",".677","10","4","24","10","26.3","7","4","3","0","Cardiff City","1","38.0","69","4","1","12","0","68.3","0.32","-0.7","-0.02","333","1103","30.2","869","49","90.4","61.6","319","99.4","70.6","299","22","7.4","38","1.00","16.2","Cardiff City","25","33","3","4","409","113","13","27.6","10.76","2.97","0.07","0.27","39.6","36.6","0.09","-6.6","-6.6","Cardiff City","25","7243","11745","61.7","154712","71766","116","469","24.7","5110","6810","75.0","2017","4466","45.2","20","22.8","-2.8","267","757","191","59","1245","Cardiff City","25","11745","9943","1802","421","24","2243","341","570","167","24","17","4","5420","1764","4561","2700","6370","1057","788","113","7243","71","434","250","378","Cardiff City","25","566","14.89","376","77","35","40","37","52","1.37","35","4","3","7","2","1","Cardiff City","25","666","402","361","237","68","195","612","31.9","417","7121","1769","24.8","2640","3270","1211","707","154","5","553","517","917","10","Cardiff City","25","35.6","16127","2300","5352","6807","4689","759","14351","305","501","60.9","334","14","8260","49069","25485","10335","7243","70.1","420","408","Cardiff City","25","38","3,420","90","100","418","85","109","18","157","0.89","34","69","-35","-0.92","39.6","61.7","-22.1","-0.58","Cardiff City","25","66","1","0","380","394","80","570","517","402","2","6","0","3796","743","737","50.2","Premier-League"
"71","Chelsea","24","62.8","38","418","3,420","61","52","5","5","49","0","1.61","1.37","2.97","1.47","2.84","57.9","54.1","44.9","1.52","1.18","2.71","1.42","2.61","Chelsea","2","38","38","3,420","39","1.03","120","81",".683","21","9","8","16","42.1","2","1","1","0","Chelsea","2","38.0","39","1","0","6","0","34.8","0.28","-4.2","-0.11","189","339","55.8","935","173","22.8","29.1","264","47.7","41.9","268","23","8.6","23","0.61","15.8","Chelsea","24","61","5","5","597","189","30","31.7","15.71","4.97","0.09","0.30","57.9","54.1","0.09","+3.1","+1.9","Chelsea","24","22803","26497","86.1","412143","126634","328","728","45.1","18106","19966","90.7","4369","5803","75.3","52","44.9","+7.1","471","1767","468","81","2150","Chelsea","24","26497","24759","1738","443","60","4157","653","695","214","25","30","8","20332","2696","3469","4990","19475","776","740","281","22803","76","332","432","517","Chelsea","24","1005","26.45","801","57","55","39","52","114","3.00","81","7","10","7","8","1","Chelsea","24","620","411","293","236","91","171","509","33.6","338","6254","1795","28.7","1950","2667","1637","499","83","5","416","352","589","5","Chelsea","24","62.8","30655","2275","8246","15083","9489","1189","28975","435","659","66.0","462","16","23213","121777","71143","25586","22803","89.1","448","527","Chelsea","24","38","3,420","90","100","418","85","113","20","153","1.89","63","39","+24","+0.63","57.9","34.8","+23.1","+0.61","Chelsea","24","49","0","0","341","426","83","695","352","411","5","2","0","3609","376","352","51.6","Premier-League"
"81","Crystal Palace","26","45.0","38","418","3,420","48","33","10","11","58","2","1.26","0.87","2.13","1.00","1.87","50.7","42.8","32.2","1.33","0.85","2.18","1.13","1.97","Crystal Palace","3","38","38","3,420","53","1.39","156","107",".686","14","7","17","12","31.6","5","4","1","0","Crystal Palace","3","38.0","53","4","1","8","1","50.8","0.30","-1.2","-0.03","261","790","33.0","779","144","62.6","48.7","337","89.6","66.1","396","27","6.8","17","0.45","13.7","Crystal Palace","26","48","10","11","489","137","16","28.0","12.87","3.61","0.08","0.28","50.7","42.8","0.09","-2.7","-4.8","Crystal Palace","26","12729","16683","76.3","238091","93739","217","612","35.5","9878","11575","85.3","2634","4496","58.6","33","32.2","+0.8","355","1002","292","67","1528","Crystal Palace","26","16683","14827","1856","425","45","2750","409","582","203","16","19","8","10917","2046","3720","5325","9184","708","801","240","12729","67","335","378","480","Crystal Palace","26","766","20.16","542","68","63","46","44","87","2.29","51","6","6","8","13","3","Crystal Palace","26","758","457","415","264","79","242","629","38.5","387","7161","1735","24.2","3073","2935","1153","732","173","1","559","462","1042","15","Crystal Palace","26","45.0","21675","2398","7396","9875","5788","1044","19841","491","756","64.9","520","19","14055","84017","46439","15428","12729","82.5","465","541","Crystal Palace","26","38","3,420","90","100","418","87","92","14","174","1.29","51","53","-2","-0.05","50.7","48.1","+2.5","+0.07","Crystal Palace","26","58","2","1","390","394","82","582","462","457","9","5","1","3578","528","569","48.1","Premier-League"
"91","Everton","23","51.5","38","418","3,420","53","34","2","5","56","4","1.39","0.89","2.29","1.34","2.24","47.4","43.5","30.2","1.25","0.80","2.04","1.14","1.94","Everton","1","38","38","3,420","46","1.21","128","86",".656","15","9","14","14","36.8","5","2","3","0","Everton","1","38.0","46","2","2","11","2","44.9","0.33","+0.9","+0.02","281","764","36.8","968","150","58.4","48.3","282","70.6","60.5","282","25","8.9","35","0.92","16.0","Everton","23","53","2","5","494","159","20","32.2","13.00","4.18","0.10","0.32","47.4","43.5","0.09","+5.6","+7.5","Everton","23","13878","18260","76.0","278138","101942","169","581","29.1","10234","12107","84.5","3475","5572","62.4","34","30.2","+3.8","341","1198","310","91","1733","Everton","23","18260","16279","1981","480","36","3614","579","817","217","14","36","8","11622","2330","4308","4711","10804","1064","918","228","13878","68","472","389","507","Everton","23","724","19.05","486","83","52","51","51","81","2.13","55","4","10","9","2","1","Everton","23","711","453","359","270","82","183","517","35.4","334","6597","1899","28.8","2277","2906","1414","595","104","1","491","455","912","11","Everton","23","51.5","23004","2288","7228","10852","6316","938","21065","339","600","56.5","379","18","14825","85032","43834","17031","13878","81.5","572","499","Everton","23","38","3,420","90","100","418","85","111","16","155","1.42","54","46","+8","+0.21","47.4","44.5","+2.9","+0.08","Everton","23","56","4","1","436","422","71","817","455","453","4","4","2","3955","688","662","51.0","Premier-League"
