"Date","Day","Comp","Round","Venue","Result","Squad","Opponent","Start","Pos","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Press","Tkl","Int","Blocks","xG","npxG","xA","SCA","GCA","PassesCmp","PassesAtt","PassesCmp%","PassesPrgDist","Carries","CarriesPrgDist","DribblesSucc","DribblesAtt","Match Report","2017-2018"
"2018-12-08","Sat","Bundesliga","Matchweek 14","Away","W 2–1","Dortmund","Schalke 04","N","RW","2","0","0","0","0","0","0","0","0","3","1","1","0","0","0.0","0.0","0.0","0","0","1","2","50.0","0","1","0","0","0","Match Report","2018-2019"
"2018-12-11","Tue","Champions Lg","Group stage","Away","W 2–0","de Dortmund","fr Monaco","Y","RW,LW","90","0","0","0","0","0","0","0","0","67","17","1","1","1","0.0","0.0","0.0","2","1","45","58","77.6","200","61","352","5","7","Match Report","2018-2019"
"2018-12-15","Sat","Bundesliga","Matchweek 15","Home","W 2–1","Dortmund","Werder Bremen","N","CM","2","0","0","0","0","0","0","0","0","3","0","0","0","0","0.0","0.0","0.0","0","0","0","2","0.0","0","3","21","1","1","Match Report","2018-2019"
"2018-12-18","Tue","Bundesliga","Matchweek 16","Away","L 1–2","Dortmund","Düsseldorf","Y","CM","90","0","0","0","0","0","0","1","0","81","13","0","0","1","0.0","0.0","0.0","3","0","48","61","78.7","82","77","207","6","7","Match Report","2018-2019"
"2018-12-21","Fri","Bundesliga","Matchweek 17","Home","W 2–1","Dortmund","M'gladbach","N","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","Match Report","2018-2019"
"2019-01-19","Sat","Bundesliga","Matchweek 18","Away","W 1–0","Dortmund","RB Leipzig","N","LW","15","0","0","0","0","0","0","0","0","15","10","0","0","2","0.0","0.0","0.0","1","0","8","9","88.9","28","15","56","2","2","Match Report","2018-2019"
"2019-01-26","Sat","Bundesliga","Matchweek 19","Home","W 5–1","Dortmund","Hannover 96","N","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","Match Report","2018-2019"
"2019-02-02","Sat","Bundesliga","Matchweek 20","Away","D 1–1","Dortmund","Eint Frankfurt","N","RW","26","0","0","0","0","0","0","0","0","18","10","2","0","1","0.0","0.0","0.0","0","0","7","11","63.6","27","16","67","3","5","Match Report","2018-2019"
"2019-02-05","Tue","DFB-Pokal","Round of 16","Home","L 3 (2)–3 (4)","Dortmund","Werder Bremen","Y","AM","120","1","0","0","0","2","1","0","0","","","","0","","","","","","","","","","","","","","","Match Report","2018-2019"
"2019-02-09","Sat","Bundesliga","Matchweek 21","Home","D 3–3","Dortmund","Hoffenheim","N","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","Match Report","2018-2019"
"2019-02-13","Wed","Champions Lg","Round of 16","Away","L 0–3","de Dortmund","eng Tottenham","Y","LW","86","0","0","0","0","1","1","0","0","49","44","0","1","2","0.1","0.1","0.0","2","0","31","35","88.6","113","44","201","3","6","Match Report","2018-2019"
"2019-03-05","Tue","Champions Lg","Round of 16","Home","L 0–1","de Dortmund","eng Tottenham","N","WB,CM","29","0","0","0","0","1","0","0","0","38","14","1","0","4","0.1","0.1","0.0","1","0","23","30","76.7","30","25","159","0","0","Match Report","2018-2019"
"2019-03-09","Sat","Bundesliga","Matchweek 25","Home","W 3–1","Dortmund","Stuttgart","N","CM","12","1","1","0","0","2","1","0","0","12","2","0","0","0","0.3","0.3","0.2","2","2","4","7","57.1","7","10","10","1","1","Match Report","2018-2019"
"2019-03-16","Sat","Bundesliga","Matchweek 26","Away","W 3–2","Dortmund","Hertha BSC","Y","RW,LW","90","0","0","0","0","7","1","0","0","74","24","2","1","1","1.0","1.0","0.0","8","1","34","47","72.3","112","59","291","4","10","Match Report","2018-2019"
"2019-03-21","Thu","Friendlies (M)","Friendlies (M)","Home","W 1–0","us United States","ec Ecuador","Y","CM","61","0","0","0","0","","","0","0","","","","","","","","","","","","","","","","","","","Match Report","2018-2019"
"2019-03-26","Tue","Friendlies (M)","Friendlies (M)","Home","D 1–1","us United States","cl Chile","Y","AM","35","1","0","0","0","","","0","0","","","","","","","","","","","","","","","","","","","Match Report","2018-2019"
"2019-04-21","Sun","Bundesliga","Matchweek 30","Away","W 4–0","Dortmund","Freiburg","N","RW","20","0","0","0","0","1","1","0","0","16","8","0","0","0","0.1","0.1","0.0","2","1","13","14","92.9","60","12","71","2","2","Match Report","2018-2019"
