"Team","Season","Games","PassF","PctF","xPctF","ScoreF","Per100F","VertF","PassA","PctA","xPctA","VertA","ScoreA","Per100A","ScoreDiff","VertDiff","Gini18","Comp"
"ATL",2018,34,4305,0.747,0.727,85.882,1.995,-0.628,3575,0.7,0.711,-0.323,-38.318,-1.072,124.2,-0.305,0.505,11606330.49
"CLB",2018,34,4030,0.703,0.693,43.069,1.069,-0.798,3151,0.689,0.706,-1.256,-53.805,-1.708,96.874,0.459,0.424,7715954.14
"SKC",2018,34,5093,0.753,0.737,78.114,1.534,-1.252,2860,0.707,0.703,-1.113,10.363,0.362,67.751,-0.139,0.401,11883112.05
"LAFC",2018,34,4139,0.753,0.731,89.059,2.152,-0.735,3373,0.708,0.699,-0.688,29.846,0.885,59.213,-0.047,0.616,15395802.66
"NYC",2018,34,4014,0.703,0.695,32.71,0.815,0.058,3178,0.673,0.679,-0.437,-19.76,-0.622,52.47,0.495,0.585,14824390.78
"PHI",2018,34,3993,0.728,0.715,52.417,1.313,-1.317,3357,0.709,0.706,-0.415,10.354,0.308,42.064,-0.903,0.529,8983487.84
"TOR",2018,34,4540,0.75,0.735,67.937,1.496,-0.919,3643,0.721,0.712,-0.642,29.503,0.81,38.434,-0.277,0.703,26741007.07
"SEA",2018,34,4348,0.724,0.708,69.957,1.609,-0.588,4024,0.719,0.709,-0.382,40.891,1.016,29.066,-0.206,0.478,12379964.96
"SJE",2018,34,3435,0.702,0.682,70.032,2.039,-0.409,4289,0.711,0.701,-0.56,42.813,0.998,27.219,0.151,0.385,8308343.41
"MTL",2018,34,3556,0.73,0.728,7.198,0.202,-1.106,3609,0.702,0.707,-1.056,-16.861,-0.467,24.059,-0.05,0.591,13023119.1
"FCD",2018,34,3844,0.714,0.707,26.171,0.681,-1.353,3812,0.708,0.706,-0.685,10.268,0.269,15.903,-0.668,0.302,10476946.52
"RSL",2018,34,3461,0.746,0.747,-3.221,-0.093,-1.374,2981,0.664,0.67,0.001,-16.831,-0.565,13.611,-1.375,0.383,9294915.56
"ORL",2018,34,3906,0.726,0.715,43.11,1.104,-0.544,4123,0.714,0.706,-0.216,31.432,0.762,11.678,-0.327,0.442,8873899.44
"POR",2018,34,3505,0.711,0.7,40.153,1.146,-0.822,4393,0.703,0.693,-0.59,44.313,1.009,-4.16,-0.233,0.493,10994792.96
"NYRB",2018,34,4166,0.659,0.673,-58.336,-1.4,1.224,3151,0.661,0.675,0.478,-45.784,-1.453,-12.553,0.746,0.487,8134914.02
"HOU",2018,34,3482,0.715,0.703,43.562,1.251,-1.433,3609,0.727,0.709,-0.505,65.199,1.807,-21.637,-0.928,0.229,6020471.67
"LAG",2018,34,3623,0.687,0.678,33.885,0.935,-0.286,3779,0.724,0.708,-0.657,60.098,1.59,-26.213,0.371,0.631,17574508.3
"CHI",2018,34,2943,0.678,0.686,-21.849,-0.742,-1.339,4062,0.711,0.705,-0.747,22.731,0.56,-44.579,-0.593,0.696,15990696
"VAN",2018,34,2959,0.659,0.657,7.094,0.24,-0.522,4824,0.733,0.717,-0.556,74.597,1.546,-67.503,0.034,0.352,8575278.29
"MIN",2018,34,3193,0.669,0.678,-30.388,-0.952,0.451,4680,0.735,0.724,-0.816,53.426,1.142,-83.814,1.267,0.349,8736377.37
"DCU",2018,34,3546,0.715,0.712,10.393,0.293,0.063,4650,0.725,0.703,-0.428,98.95,2.128,-88.557,0.49,0.514,9689537.84
"NER",2018,34,3898,0.653,0.673,-80.92,-2.076,0.186,3040,0.688,0.681,-0.529,22.088,0.727,-103.008,0.715,0.436,7471669.49
"COL",2018,34,2628,0.655,0.668,-33.001,-1.256,0.049,4444,0.759,0.732,-1.55,117.517,2.644,-150.518,1.599,0.513,11269956.46
