"First","Last","Player","Season","Team","Min","Pos","Passes","PassPct","xPassPct","Score","Per100","Distance","Vertical","Comp ($K)","Passes/96","PassPct/96","xPassPct/96","Score/96","Per100/96","Distance/96","Vertical/96","extreme1","extreme2","plotnames"
"Nicolas","Lodeiro","Nicolas Lodeiro",2018,"SEA",2592,"CAM",825,0.72,0.668,42.7507639061659,5.18191077650496,19.9258425288043,0.843914141414142,2302.5,30.5555555555556,0.72,0.66818089223495,1.58336162615429,5.18191077650496,19.9258425288043,0.843914141414142,150,287,"Lodeiro"
"Alejandro","Bedoya","Alejandro Bedoya",2018,"PHI",2949,"CDM",402,0.828,0.754,29.7395021170377,7.39788609876561,15.214478080063,0.836426426426426,1266.25,13.0864699898271,0.828358208955224,0.754379347967568,0.968122144196549,7.39788609876561,15.214478080063,0.836426426426426,398,479,"Bedoya"
"Sacha","Kljestan","Sacha Kljestan",2018,"ORL",2672,"CAM",657,0.801,0.763,24.5316754207015,3.73389275809763,16.6654143251997,-0.194144486692015,1100.00004,23.6047904191617,0.800608828006088,0.763269900425112,0.881377560025202,3.73389275809763,16.6654143251997,-0.194144486692015,426,445,"Kljestan"
"Graham","Zusi","Graham Zusi",2018,"SKC",3301,"FB/WB",787,0.706,0.678,22.530992290005,2.86289609784054,19.1261338200158,-1.88653776978417,782.10227,22.8876098152075,0.706480304955527,0.677851343977122,0.655248488288544,2.86289609784054,19.1261338200158,-1.88653776978417,172,258,"Zusi"
"Jonathan","Osorio","Jonathan Osorio",2018,"TOR",2736,"CM",468,0.848,0.8,22.4143992960453,4.78940155898404,14.5716593277316,-0.820062972292192,209.82525,16.4210526315789,0.848290598290598,0.800396582700758,0.786470150738432,4.78940155898404,14.5716593277316,-0.820062972292192,499,495,"Osorio"
"Miguel","Ibarra","Miguel Ibarra",2018,"MIN",2896,"Wing",484,0.754,0.708,22.4070355258882,4.629552794605,15.4868071725649,-0.338068493150685,332.322,16.0441988950276,0.754132231404959,0.707836703458909,0.742774658316735,4.629552794605,15.4868071725649,-0.338068493150685,255,359,"Ibarra"
"Ismael","Tajouri","Ismael Tajouri",2018,"NYC",1587,"Wing",404,0.735,0.68,22.1762102935463,5.48916096374908,17.1278313868671,-0.569966329966329,350.50004,24.4385633270321,0.735148514851485,0.680256905213994,1.34147207824855,5.48916096374908,17.1278313868671,-0.569966329966329,176,321,"Tajouri"
"Osvaldo","Alonso","Osvaldo Alonso",2018,"SEA",1933,"CDM",205,0.907,0.803,21.4217932485044,10.4496552431729,19.6229916883803,4.26489247311828,1141.66704,10.1810657009829,0.907317073170732,0.802820520739003,1.06388626583364,10.4496552431729,19.6229916883803,4.26489247311828,502,523,"Alonso"
"Valeri","Qazaishvili","Valeri Qazaishvili",2018,"SJE",2863,"Wing",491,0.76,0.717,20.948142953217,4.26642422672444,15.5251405006245,0.198243967828418,1454.04236,16.4638491093259,0.759674134419552,0.717009892152307,0.702417647051636,4.26642422672444,15.5251405006245,0.198243967828418,285,368,"Qazaishvili"
"Chris","McCann","Chris McCann",2018,"ATL",1847,"FB/WB",288,0.799,0.727,20.6276542916894,7.16237996239215,17.2259551808554,-1.4075,588,14.9691391445587,0.798611111111111,0.72698731148719,1.07214662263248,7.16237996239215,17.2259551808554,-1.4075,315,434,"McCann"
