Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,3-Jan,PPA,CrsPA,Prog,Matches
81,Latif Blessing/Latif-Blessing,gh GHA,FWMF,Los Angeles FC,21,1996,20.1,20.7,25.9,80.2,339.8,71.9,0.2,0.95,21.1,18.8,22.2,84.6,1.74,2.69,64.8,0.3,0.16,0.14,1.29,0.75,0.9,0,2.74,Matches
82,Johan Blomberg/Johan-Blomberg,se SWE,MFDF,Colorado,30,1987,18.3,30.8,41.1,75,563.7,140.8,0.38,1.64,23.3,24.5,28.7,85.5,5.9,10.8,54.8,0.16,0.13,0.03,0.77,1.8,0.66,0.27,3.5,Matches
83,Anthony Blondell/Anthony-Blondell,ve VEN,FW,Vancouver,23,1994,7.2,12.2,19.9,61.5,225,52.1,0.14,0.69,20,9.17,14.9,61.7,2.92,4.31,67.7,0.14,0.15,-0.01,0.83,1.11,0.97,0.14,2.22,Matches
84,Emmanuel Boateng/Emmanuel-Boateng,gh GHA,FW,LA Galaxy,24,1994,13.2,23,31.7,72.6,377.1,103.3,0.3,1.67,18.2,19.4,24.2,80,3.33,5.83,57.1,0.38,0.16,0.22,1.89,1.06,0.98,0.45,2.88,Matches
85,Fernando Bob/Fernando-Bob,br BRA,MF,Minnesota,30,1988,6.8,55,61.2,89.9,1264.7,351.3,0.15,0.29,50,34.9,37.2,93.7,20,23.7,84.5,0,0.03,-0.03,0.15,4.71,0.15,0,5.29,Matches
86,Yannick Boli/Yannick-Boli,ci CIV,FW,Colorado,30,1988,8.5,10.5,16,65.4,148,30.8,0.35,1.41,25,8.94,12.6,71,1.18,2,58.8,0,0.02,-0.02,0.59,0.59,0.59,0,1.18,Matches
87,Alex Bono/Alex-Bono,us USA,GK,Toronto FC,23,1994,27,21,33.6,62.4,681,486.1,0.07,0.11,66.7,10.2,10.4,98.2,10.7,23.1,46.2,0,0,0,0.04,0.48,0.04,0,0,Matches
88,Stefano Bonomo/Stefano-Bonomo,us USA,FW,NY Red Bulls,25,1993,0,2,2,100,14,6,0,0,,2,2,100,0,0,,0,0,0,1,0,0,0,0,Matches
89,Michael Boxall/Michael-Boxall,nz NZL,DF,Minnesota,29,1988,32,32.7,38.3,85.3,701.8,263.1,0.13,0.44,28.6,22.6,24.7,91.4,10,13.2,75.8,0,0.02,-0.02,0.09,1.28,0.06,0,1.91,Matches
90,Michael Bradley/Michael-Bradley,us USA,MFDF,Toronto FC,30,1987,31.7,74.3,84.9,87.5,1530.5,512.2,0.35,0.79,44,54,58.7,92,20,25.4,78.5,0.06,0.06,0,1.07,8.64,0.66,0,9.12,Matches
91,Shaft Brewer/Shaft-Brewer,us USA,FW,Los Angeles FC,18,1999,0.4,45,45,100,745,205,2.5,2.5,100,37.5,37.5,100,5,5,100,0,0.5,-0.5,2.5,0,2.5,2.5,7.5,Matches
92,Frédéric Brillant/Frederic-Brillant,fr FRA,DF,D.C. United,32,1985,24.2,32.3,38.6,83.6,726.7,275.3,0.45,0.83,55,21.2,23.7,89.2,10.7,14,75.9,0.04,0.02,0.02,0.17,1.03,0.04,0,1.57,Matches
93,Brandt Bronico/Brandt-Bronico,us USA,MF,Chicago,22,1995,17,39.2,46.2,84.8,720.3,161.8,0.53,1.12,47.4,31.4,35.5,88.4,7.24,9.53,75.9,0.24,0.07,0.16,0.82,2.94,0.76,0.06,3.82,Matches
94,Will Bruin/Will-Bruin,us USA,FW,Seattle,28,1989,20,16.2,22.1,73.5,210.6,33.2,0.85,1.8,47.2,14.2,18.1,78.5,1.15,2.15,53.5,0.25,0.15,0.1,1.25,0.6,0.5,0.05,1.25,Matches
95,Teal Bunbury/Teal-Bunbury,us USA,FW,New England,27,1990,28.4,16.7,23.7,70.2,242.8,40.1,0.49,1.34,36.8,14.4,19.5,74,1.76,2.92,60.2,0.07,0.07,0,1.13,0.77,0.6,0.21,1.44,Matches
96,Marc Burch/Marc-Burch,us USA,DF,Minnesota,33,1984,4.5,49.6,69.6,71.2,973.3,402,0.67,1.33,50,38,47.6,79.9,10.9,20.7,52.7,0,0.07,-0.07,0.89,4.44,1.33,0.67,8.89,Matches
97,Cory Burke/Cory-Burke,jm JAM,FW,Philadelphia,26,1991,15.9,9.94,15.5,64.2,141.1,25.7,0.25,0.82,30.8,8.81,12.6,70,0.88,2.08,42.4,0.06,0.07,-0.01,0.57,0.94,0.31,0,1.07,Matches
98,Evan Bush/Evan-Bush,us USA,GK,Montreal,31,1986,34,21.8,32.6,66.8,759.9,484.9,0,0.03,0,8.06,8.24,97.9,13.7,24.4,56.4,0,0,0,0.06,0.29,0,0,0,Matches
99,Gianluca Busio/Gianluca-Busio,us USA,MF,Sporting KC,15,2002,1.8,47.2,55,85.9,854.4,188.3,0.56,1.11,50,37.2,42.2,88.2,9.44,11.7,81,0.56,0.17,0.39,1.67,4.44,3.33,0,6.11,Matches
100,Handwalla Bwana/Handwalla-Bwana,ae UAE,FWMF,Seattle,20,1997,5.4,28.3,37.6,75.4,470.9,133.3,0.19,1.3,14.3,24.4,30.9,79,3.7,5.37,69,0.19,0.09,0.09,0.37,2.22,1.11,0.37,3.52,Matches
101,Brandon Bye/Brandon-Bye,us USA,DF,New England,22,1995,16.4,31.8,48.9,65.1,565.5,281.5,0.49,1.71,28.6,26.3,35.6,74,5,11.6,43.2,0.06,0.01,0.05,0.49,2.68,0.55,0.24,8.05,Matches
102,Víctor Cabrera/Victor-Cabrera,ar ARG,DF,Montreal,24,1993,10.2,37.6,46.5,81,954.5,404.9,0.2,0.39,50,20.2,23.8,84.8,17.3,22.3,77.5,0,0,0,0.1,2.84,0,0,2.25,Matches
103,Luís Caicedo/Luis-Caicedo,co COL,MF,New England,21,1996,28.8,29.3,36.4,80.6,594.1,164.7,0.35,1.08,32.3,20.9,24.9,84,8.09,10.4,77.7,0.1,0.05,0.05,0.63,4.34,0.56,0.14,4.24,Matches
104,Scott Caldwell/Scott-Caldwell,us USA,MF,New England,26,1991,16.8,35.7,44.1,81,708.9,185.2,0.48,1.25,38.1,26,31,84,9.23,11.9,77.5,0,0.06,-0.06,1.07,5.18,0.65,0,4.94,Matches
105,Alexander Callens/Alexander-Callens,pe PER,DF,NYCFC,25,1992,30.5,57.8,66.2,87.4,1165.7,447.3,0.36,1.21,29.7,42.7,45.3,94.1,14.8,19.7,75.3,0,0.01,-0.01,0.07,3.7,0.1,0.03,3.84,Matches
106,Caleb Calvert/Caleb-Calvert,us USA,FW,Colorado,21,1996,0.4,15,20,75,292.5,27.5,0,0,,12.5,15,83.3,2.5,5,50,0,0,0,2.5,0,0,0,0,Matches
107,Eric Calvillo/Eric-Calvillo,us USA,MF,San Jose,20,1998,1.8,60.6,71.7,84.5,1280,363.3,0,1.11,0,41.7,45.6,91.5,18.9,25,75.6,0,0.11,-0.11,2.22,6.11,1.11,0,9.44,Matches
108,Francisco Calvo/Francisco-Calvo,cr CRC,DF,Minnesota,25,1992,26,39,49.9,78.1,922.8,403.9,0.19,0.65,29.4,23.7,27,87.5,15.2,22.2,68.2,0.08,0.06,0.02,0.54,3.62,0.31,0.08,4.35,Matches
