Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,3-Jan,PPA,CrsPA,Prog,Matches
1,Saad Abdul-Salaam/Saad-Abdul-Salaam,us USA,DF,NYCFC,26,1991,3,51,60,85,874.7,318.3,0,0.67,0,44,50.3,87.4,7,9,77.8,0.33,0.33,0,1,3,1.33,0.33,5.33,Matches
2,Mohammed Abu/Mohammed-Abu,gh GHA,MFDF,Columbus,26,1991,1.1,68.2,83.6,81.5,1314.5,380.9,0.91,1.82,50,53.6,58.2,92.2,13.6,23.6,57.7,0,0.09,-0.09,3.64,6.36,3.64,1.82,10.9,Matches
3,Lalas Abubakar/Lalas-Abubakar,gh GHA,DF,Columbus,23,1994,19.7,46,51.3,89.6,971.9,314,0.25,0.46,55.6,31.7,34.7,91.2,14.1,16.1,87.1,0,0.01,-0.01,0.15,1.52,0.05,0,1.78,Matches
4,David Accam/David-Accam,gh GHA,FWMF,Philadelphia,27,1990,13.5,18.5,25,74.2,314.2,71.6,0.07,0.96,7.7,15.9,20,79.3,2.59,4,64.8,0,0.07,-0.07,0.81,0.67,0.81,0.07,2.37,Matches
5,Danilo Acosta/Danilo-Acosta,us USA,DF,Real Salt Lake,20,1997,10,40,50.2,79.7,737.2,256.9,0.2,1.4,14.3,32.5,37.6,86.4,7.3,11.2,65.2,0.1,0.04,0.06,0.5,2.7,0.3,0.1,5,Matches
6,Kellyn Acosta/Kellyn-Acosta,us USA,MFFW,FC Dallas,22,1995,7.5,33.1,39.6,83.5,613.3,159.2,0.4,0.8,50,26.1,29.9,87.5,6.53,8.93,73.1,0.13,0.11,0.03,1.07,2,0.53,0,3.07,Matches
7,Kellyn Acosta/Kellyn-Acosta,us USA,MFFW,Colorado,22,1995,11.5,39.3,50.5,77.8,781,213.8,0.26,0.96,27.3,29.3,34.2,85.8,9.74,15.4,63.3,0.17,0.09,0.09,1.39,3.3,0.7,0.17,5.65,Matches
8,Luciano Acosta/Luciano-Acosta,ar ARG,MF,D.C. United,23,1994,30.5,44.6,57.9,77.1,713.3,275.8,0.79,2.43,32.4,38.3,45.7,83.9,5.51,9.77,56.4,0.49,0.28,0.22,2,5.48,2.03,0.23,8.85,Matches
9,Mo Adams/Mo-Adams,eng ENG,MF,Chicago,21,1996,9.8,34.2,40.5,84.4,634.5,154.5,0.41,1.12,36.4,26.4,29.8,88.7,7.35,9.59,76.6,0,0,0,0.1,2.24,0.1,0,1.73,Matches
10,Tyler Adams/Tyler-Adams,us USA,MF,NY Red Bulls,18,1999,25.9,40.7,52.7,77.2,695.8,252.7,0.62,1.7,36.4,34,41.1,82.8,6.06,9.96,60.9,0.12,0.08,0.03,0.54,5.1,0.69,0.08,6.06,Matches
11,Fanendo Adi/Fanendo-Adi,ng NGA,FW,Portland,27,1990,9.1,17.9,23.7,75.5,256,36.9,0.22,0.66,33.3,16.4,20.8,78.8,1.32,2.31,57.1,0.22,0.08,0.14,1.21,0.66,0.66,0.11,1.32,Matches
12,Bismark Adjei-Boateng/Bismark-Adjei-Boateng,gh GHA,MFDF,Colorado,23,1994,13.7,41.5,52.2,79.4,809.2,228.2,0.29,1.09,26.7,31.1,36.2,85.9,10.1,14.9,67.6,0,0.06,-0.06,0.58,2.92,0.44,0.07,5.69,Matches
13,François Affolter/Francois-Affolter,ch SUI,DF,San Jose,26,1991,7.5,31.6,38.4,82.3,660.7,248,0.27,0.67,40,22.3,25.2,88.4,9.07,12.5,72.3,0,0,0,0,1.2,0,0,2.53,Matches
14,Harrison Afful/Harrison-Afful,gh GHA,DF,Columbus,31,1986,31.8,52.4,64.3,81.4,993.8,349.8,0.53,1.51,35.4,40.9,47.1,86.9,10.9,15.7,69.4,0.09,0.13,-0.03,1.35,4.03,1.54,0.38,7.17,Matches
15,Juan Agudelo/Juan-Agudelo,us USA,FWMF,New England,25,1992,16.7,30.7,38.4,80,513.6,119.1,0.84,1.8,46.7,25.6,30.5,83.9,4.31,6.11,70.6,0.18,0.08,0.1,1.08,2.51,0.84,0.12,3.71,Matches
16,Abel Aguilar/Abel-Aguilar,co COL,MF,FC Dallas,33,1985,1.5,50.7,64,79.2,978,310.7,0,1.33,0,37.3,46,81.2,13.3,16.7,80,0,0,0,0,6.67,0,0,5.33,Matches
17,Stefan Aigner/Stefan-Aigner,de GER,FW,Colorado,30,1987,0.1,0,10,0,0,0,0,0,,0,10,0,0,0,,0,0,0,0,0,0,0,0,Matches
18,José Aja/Jose-Aja,uy URU,DF,Vancouver,24,1993,16.8,31.4,38.9,80.7,730.8,262.6,0.24,0.65,36.4,19,21.3,89.4,12.1,17,71.6,0,0.02,-0.02,0.24,1.61,0,0,1.13,Matches
19,Ager Aketxe/Ager-Aketxe,es ESP,MF,Toronto FC,24,1993,8.1,56.7,68.3,83,948,268.3,1.11,2.47,45,47.7,52,91.7,7.9,13.8,57.1,0.12,0.16,-0.04,1.98,6.3,1.48,0,6.67,Matches
20,Tesho Akindele/Tesho-Akindele,ca CAN,FWMF,FC Dallas,25,1992,6.5,22.8,33.2,68.5,368.3,87.2,0.77,1.69,45.5,18.9,25.8,73.2,3.08,5.69,54.1,0,0.11,-0.11,1.23,2.62,1.08,0.62,2.92,Matches
21,Ayo Akinola/Ayo-Akinola,us USA,FWMF,Toronto FC,18,2000,0.5,38,44,86.4,788,146,0,0,,26,30,86.7,12,14,85.7,2,0.6,1.4,4,6,2,0,6,Matches
22,Fatai Alashe/Fatai-Alashe,us USA,MF,San Jose,24,1993,4,37.8,49,77,815.5,239.5,0.25,1,25,26,31.3,83.2,11.5,16.8,68.7,0,0.05,-0.05,0.25,4,0.25,0.25,3,Matches
23,Romain Alessandrini/Romain-Alessandrini,fr FRA,FWMF,LA Galaxy,28,1989,21.2,28.8,43.7,65.9,508.3,197.1,0.71,1.7,41.7,22.8,29.3,77.8,5.28,12.7,41.6,0.38,0.29,0.09,2.08,2.03,1.79,0.8,6.32,Matches
24,Eric Alexander/Eric-Alexander,us USA,MF,Houston,29,1988,18.4,37.9,44.1,86,777,175.4,0.43,0.92,47.1,27.3,30.4,90,10.2,12.8,79.2,0,0.04,-0.04,0.54,4.57,0.65,0,3.53,Matches
25,Tony Alfaro/Tony-Alfaro,us USA,DF,Seattle,24,1993,2.4,31.7,42.1,75.2,667.5,316.7,0,0.83,0,23.3,27.9,83.6,8.33,13.3,62.5,0,0,0,0,3.33,0,0,4.58,Matches
26,Miguel Almirón/Miguel-Almiron,py PAR,MFFW,Atlanta,23,1994,30.6,41.7,54,77.3,793,210.1,0.52,1.83,28.6,31,37.7,82.3,10.1,14.4,70.5,0.36,0.33,0.03,2.32,4.58,2.39,0.52,7.25,Matches
27,Osvaldo Alonso/Osvaldo-Alonso,cu CUB,MF,Seattle,32,1985,20.4,61.8,67.6,91.4,1281.8,383.3,0.78,1.18,66.7,44.6,47.7,93.3,16.4,18.7,87.9,0,0.02,-0.02,0.64,9.56,0.64,0.1,7.5,Matches
28,Jozy Altidore/Jozy-Altidore,us USA,FW,Toronto FC,28,1989,9.7,24.1,33.2,72.7,385.4,70.5,0.72,1.34,53.8,20.4,27.3,74.7,2.99,4.54,65.9,0,0.04,-0.04,0.52,2.06,0.93,0.21,2.27,Matches
29,Arturo Alvarez/Arturo-Alvarez,sv SLV,FWMF,Houston,32,1985,3.9,35.4,50,70.8,684.9,187.7,0,0.51,0,26.2,34.6,75.6,9.23,14.9,62.1,0.26,0.21,0.05,3.59,3.33,2.05,0,5.64,Matches
30,Eloi Amagat/Eloi-Amagat,es ESP,MF,NYCFC,32,1985,4.8,56.9,68.1,83.5,1048.1,329.8,0.42,0.63,66.7,45.2,52.1,86.8,11.3,15.4,73,0,0.1,-0.1,1.67,9.17,2.08,0.21,11,Matches
31,Quincy Amarikwa/Quincy-Amarikwa,us USA,FW,Montreal,30,1987,7.1,11.5,16.9,68.3,199.2,31.4,0,1.27,0,9.44,12.4,76.1,2.11,3.24,65.2,0,0.04,-0.04,0.42,0.42,0.56,0.28,1.13,Matches
32,Quincy Amarikwa/Quincy-Amarikwa,us USA,FWMF,San Jose,30,1987,3.1,17.7,24.8,71.4,317.7,77.1,0.32,0.32,100,14.5,19.4,75,2.9,5.16,56.3,0.65,0.19,0.45,2.26,1.29,1.94,0,3.55,Matches
33,Mikey Ambrose/Mikey-Ambrose,us USA,DFMF,Atlanta,24,1993,8.1,44.7,54.4,82.1,756.8,290.2,0.12,0.74,16.7,38.8,43.6,89,5.8,10.1,57.3,0.12,0.09,0.04,0.99,3.58,1.36,0.49,6.3,Matches
34,Michael Amir Murillo/Michael-Amir-Murillo,pa PAN,DF,NY Red Bulls,21,1996,21.5,40.2,57,70.6,664,348,0.47,2,23.3,34.7,44.3,78.3,5.12,10.7,47.6,0.14,0.16,-0.02,0.98,3.21,1.16,0.56,9.77,Matches
35,Emiliano Amor/Emiliano-Amor,ar ARG,DF,Sporting KC,22,1995,3.7,40.8,50.5,80.7,931.1,310.5,0.27,0.27,100,26.5,30.5,86.7,14.1,19.7,71.2,0,0.08,-0.08,0.81,5.68,0.54,0,2.97,Matches
36,Vytas Andriuškevičius/Vytas-Andriuskevicius,lt LTU,DFFW,Portland,27,1990,0.3,46.7,63.3,73.7,813.3,250,0,0,,43.3,46.7,92.9,3.33,16.7,20,0,0,0,0,3.33,0,0,10,Matches
37,Isaac Angking/Isaac-Angking,us USA,MFFW,New England,18,2000,0.4,30,37.5,80,697.5,217.5,0,0,,22.5,27.5,81.8,7.5,10,75,0,1,-1,5,2.5,0,0,2.5,Matches
38,Jalil Anibaba/Jalil-Anibaba,us USA,DF,New England,29,1988,30.1,29,39.5,73.6,715.6,250.8,0.17,0.63,26.3,16.5,20.5,80.6,12.4,18.3,67.4,0.03,0.02,0.01,0.23,2.99,0.17,0.07,2.96,Matches
39,Pablo Aránguiz/Pablo-Aranguiz,cl CHI,FWMF,FC Dallas,20,1997,3.1,39,54.2,72,693.9,211.6,0.65,2.26,28.6,31,36.8,84.2,7.42,15.2,48.9,0,0.32,-0.32,1.94,6.45,1.94,0.32,4.84,Matches
40,Victor Arboleda/Victor-Arboleda,co COL,FW,Portland,21,1997,0.4,10,12.5,80,210,42.5,0,0,,7.5,10,75,2.5,2.5,100,0,0,0,2.5,0,2.5,2.5,2.5,Matches
41,Luis Argudo/Luis-Argudo,us USA,FWMF,Columbus,22,1995,7,37.1,46.6,79.8,694.6,159.9,1,3,33.3,27.7,31.6,87.8,8.43,12,70.2,0,0.13,-0.13,1.86,3.57,1.43,0,4.71,Matches
42,Samuel Armenteros/Samuel-Armenteros,se SWE,FW,Portland,27,1990,17.6,16.5,22.3,74,263,43.5,0.45,1.08,42.1,13.9,17.8,78,2.22,3.47,63.9,0.06,0.13,-0.07,1.02,0.85,0.68,0.17,1.36,Matches
43,Paul Arriola/Paul-Arriola,us USA,MFFW,D.C. United,22,1995,24.2,35.5,46.3,76.8,563.8,204.1,0.62,2.02,30.6,31.3,37.5,83.4,3.64,6.74,54,0.25,0.15,0.1,1.4,2.69,1.16,0.25,5.08,Matches
44,Artur/Artur,br BRA,MF,Columbus,21,1996,30.9,52,60.8,85.5,1040.1,297.9,0.52,1.1,47.1,38.8,43.6,88.9,12.7,16.1,78.9,0.03,0.04,0,0.55,6.02,0.49,0,5.57,Matches
45,Yamil Asad/Yamil-Asad,ar ARG,MFFW,D.C. United,23,1994,26.2,35.9,47.1,76.3,661.4,186.5,0.65,1.87,34.7,28.3,33.7,83.9,6.98,11.5,60.6,0.19,0.11,0.08,1.11,3.13,0.95,0.15,5.31,Matches
46,Carlos Ascues/Carlos-Ascues,pe PER,DFMF,Orlando City,25,1992,8.4,37,42.9,86.4,803,258.2,0.24,0.71,33.3,25,26.9,92.9,11.8,15.2,77.3,0,0.02,-0.02,0.48,3.1,0,0,2.62,Matches
47,Dairon Asprilla/Dairon-Asprilla,co COL,FWMF,Portland,25,1992,7.7,20.6,27.7,74.6,327.7,93.8,0.52,1.82,28.6,18.1,22.5,80.3,2.08,3.38,61.5,0,0.19,-0.19,0.91,1.95,0.65,0.13,3.38,Matches
48,Jeff Attinella/Jeff-Attinella,us USA,GK,Portland,29,1988,21.6,20.3,31.1,65.3,740.3,526.5,0,0.09,0,7.36,7.41,99.4,12.9,23.6,54.8,0,0,0,0.05,0.51,0,0,0,Matches
49,Eduard Atuesta/Eduard-Atuesta,co COL,MF,Los Angeles FC,20,1997,16.7,57.3,65.3,87.8,1068.1,327.7,0.36,1.14,31.6,45.6,49.9,91.4,11.4,14.3,79.8,0.12,0.09,0.03,0.84,6.59,0.9,0.06,6.59,Matches
50,Auro/Auro,br BRA,DFMF,Toronto FC,22,1996,15.8,56.1,70,80.2,966.5,372.6,0.89,2.97,29.8,46.3,53,87.5,8.92,14.1,63.5,0.19,0.13,0.06,1.01,4.49,1.39,0.76,6.71,Matches
51,Kwame Awuah/Kwame-Awuah,ca CAN,MFFW,NYCFC,22,1995,1.6,64.4,68.8,93.6,973.8,138.1,1.88,1.88,100,54.4,55.6,97.8,8.13,11.3,72.2,0,0.06,-0.06,1.88,3.13,0.63,0,3.13,Matches
52,Micheal Azira/Micheal-Azira,ug UGA,MF,Montreal,30,1987,8,42.8,49.5,86.4,804.9,262,0.63,1.25,50,32.9,35.8,92,9.25,12.5,74,0,0,0,0.25,7,0.25,0,4.88,Matches
53,Micheal Azira/Micheal-Azira,ug UGA,MF,Colorado,30,1987,3.1,29,35.8,81.1,577.4,127.4,0.65,0.65,100,21.3,22.6,94.3,7.1,12.6,56.4,0,0,0,0,1.61,0,0,2.9,Matches
54,Dominique Badji/Dominique-Badji,sn SEN,FW,Colorado,25,1992,14.9,13.2,18.3,71.8,190.7,20.4,0.2,0.94,21.4,11.7,15.3,76.3,1.28,2.08,61.3,0.07,0.05,0.02,0.47,0.54,0.34,0,0.81,Matches
55,Dominique Badji/Dominique-Badji,sn SEN,FW,FC Dallas,25,1992,6.8,11.5,16.3,70.3,163.1,28.4,0.59,0.88,66.7,10,14.1,70.8,0.88,1.32,66.7,0.15,0.15,0,0.88,1.03,0.29,0.15,1.03,Matches
56,Corey Baird/Corey-Baird,us USA,FW,Real Salt Lake,22,1996,21.1,15.6,20.7,75.5,222.7,37.1,0.43,1.66,25.7,13.7,16.8,81.6,1.52,2.27,66.7,0.24,0.15,0.09,1.09,0.76,0.57,0.09,1.14,Matches
57,Jon Bakero/Jon-Bakero,es ESP,FW,Toronto FC,21,1996,1.6,36.9,43.8,84.3,668.8,101.3,0,0,,29.4,33.8,87,7.5,10,75,0,0,0,0.63,5,1.25,0.63,3.75,Matches
58,Jon Bakero/Jon-Bakero,es ESP,MFFW,Chicago,21,1996,0.9,16.7,28.9,57.7,273.3,34.4,2.22,3.33,66.7,10,14.4,69.2,4.44,11.1,40,0,0.33,-0.33,1.11,0,0,0,1.11,Matches
59,Ezequiel Barco/Ezequiel-Barco,ar ARG,FWMF,Atlanta,18,1999,19.1,46.1,55.9,82.5,783.1,180.7,0.84,1.57,53.3,37.3,43,86.8,7.96,11.4,70,0.1,0.21,-0.11,2.88,2.72,2.36,0.21,6.39,Matches
60,Giles Barnes/Giles-Barnes,jm JAM,FWMF,Colorado,29,1988,6.1,26.9,30.7,87.7,426.6,80.8,0.49,0.49,100,22.6,24.8,91.4,3.77,5.41,69.7,0,0.1,-0.1,0.98,2.3,0.66,0.33,2.3,Matches
61,Michael Barrios/Michael-Barrios,co COL,FWMF,FC Dallas,26,1991,28.1,22.4,31,72.3,364,111.9,0.57,1.99,28.6,18.8,23.7,79.1,3.1,5.3,58.4,0.18,0.28,-0.1,2.14,1.32,1.49,0.39,3.91,Matches
62,Shawn Barry/Shawn-Barry,pr PUR,DF,Real Salt Lake,27,1990,2.2,33.2,41.4,80.2,643.6,229.5,0,0.91,0,24.5,27.3,90,8.64,13.2,65.5,0,0,0,0.45,0.91,0.45,0,3.18,Matches
63,Cole Bassett/Cole-Bassett,us USA,MF,Colorado,16,2001,3.4,50.3,58.2,86.4,936.2,167.9,0.59,1.18,50,37.1,40.6,91.3,12.6,16.5,76.8,0,0.06,-0.06,0.59,3.24,0.88,0,4.12,Matches
64,DaMarcus Beasley/DaMarcus-Beasley,us USA,DF,Houston,35,1982,24.5,50.7,59.3,85.4,942.4,341.6,0.37,1.43,25.7,40.8,45.1,90.5,9.47,12.8,73.9,0.08,0.08,0,0.69,4.78,0.65,0.29,6.82,Matches
65,Kyle Beckerman/Kyle-Beckerman,us USA,MF,Real Salt Lake,35,1982,29.1,54.4,64.2,84.7,1134.8,311.1,0.62,1.55,40,38.4,42.7,89.9,15.4,19.9,77.2,0,0.04,-0.04,0.76,6.19,0.38,0.03,4.6,Matches
66,Alejandro Bedoya/Alejandro-Bedoya,us USA,MF,Philadelphia,30,1987,30.9,48.6,54.9,88.7,866.6,256.1,0.45,1.26,35.9,39.6,42.9,92.3,8.58,10.7,80.3,0.16,0.18,-0.02,1.26,6.25,1.07,0.16,6.34,Matches
67,Steven Beitashour/Steven-Beitashour,ir IRN,DF,Los Angeles FC,30,1987,29.3,47.6,57.5,82.7,852.8,299,0.27,0.89,30.8,39,44.1,88.5,8.29,12.5,66.2,0.1,0.1,0,0.89,3,0.85,0.34,5.49,Matches
68,Louis Béland-Goyette/Louis-Beland-Goyette,ca CAN,MFFW,Montreal,22,1995,1.3,25.4,33.8,75,409.2,120,0.77,2.31,33.3,21.5,24.6,87.5,3.08,6.92,44.4,0,0,0,0.77,3.08,0.77,0,4.62,Matches
69,George Bello/George-Bello,us USA,MFDF,Atlanta,16,2002,2,30.5,41,74.4,503,159,1,2,50,26,32,81.3,3.5,7,50,0,0.15,-0.15,1,0,2,0,5,Matches
70,Kharlton Belmar/Kharlton-Belmar,us USA,FWMF,Sporting KC,25,1992,0.8,15,22.5,66.7,285,96.3,0,0,,12.5,17.5,71.4,2.5,5,50,0,0.13,-0.13,1.25,2.5,1.25,1.25,5,Matches
71,Joe Bendik/Joe-Bendik,us USA,GK,Orlando City,28,1989,24.7,18.6,28.8,64.7,632.5,405.9,0,0,,8.1,8.3,97.6,10.5,20.5,51.4,0,0.01,-0.01,0.04,0.45,0,0,0.04,Matches
72,Matt Besler/Matt-Besler,us USA,DF,Sporting KC,30,1987,30.5,59.8,68.4,87.5,1377.6,511.2,0.23,0.52,43.8,38.5,41.6,92.6,21.1,26.3,80.3,0.07,0.05,0.02,0.3,7.21,0.33,0.03,6.2,Matches
73,Nick Besler/Nick-Besler,us USA,DFMF,Real Salt Lake,24,1993,15.9,47.1,53.5,88.1,1027.4,347.4,0.25,1.01,25,32.3,34.8,92.6,14.6,17.6,82.9,0,0,0,0,2.33,0,0,2.45,Matches
74,Vincent Bezecourt/Vincent-Bezecourt,fr FRA,MFFW,NY Red Bulls,24,1993,4.4,20.7,37,55.8,372.5,175.2,0,1.82,0,15.7,23.6,66.3,5,11.6,43.1,0.23,0.16,0.07,1.59,1.82,0.68,0,5,Matches
75,David Bingham/David-Bingham,us USA,GK,LA Galaxy,28,1989,34,19.9,33.6,59.2,826.5,627.3,0,0.03,0,6.18,6.44,95.9,13.7,27.1,50.5,0,0,0,0,1.09,0.03,0,0.06,Matches
76,Eric Bird/Eric-Bird,us USA,MF,Houston,24,1993,3.8,32.4,44.2,73.2,642.1,163.9,0.79,2.11,37.5,23.2,27.9,83,8.42,14.2,59.3,0,0.03,-0.03,0.79,4.74,0.26,0,2.89,Matches
77,Steve Birnbaum/Steve-Birnbaum,us USA,DF,D.C. United,27,1991,34,31.4,39.1,80.2,647.4,248.1,0.26,0.76,34.6,22.4,25.9,86.5,8.74,12.5,69.9,0,0.01,-0.01,0.18,1.18,0.06,0.03,1.53,Matches
78,Tristan Blackmon/Tristan-Blackmon,us USA,DF,Los Angeles FC,21,1996,5.5,43.8,54.9,79.8,815.3,330,0.36,1.45,25,35.1,40.5,86.5,8.36,12.9,64.8,0,0.02,-0.02,0.55,2.73,0.18,0,3.82,Matches
79,Andre Blake/Andre-Blake,jm JAM,GK,Philadelphia,27,1990,33,20.7,29.8,69.6,759.5,555.4,0,0.03,0,7.58,7.73,98,13.2,22,59.7,0,0,0,0,0.27,0,0,0,Matches
80,Sebastián Blanco/Sebastian-Blanco,ar ARG,MFFW,Portland,29,1988,28.4,37,51.5,71.8,755.2,251.3,0.46,1.9,24.1,27,34.3,78.8,9.47,15.3,62,0.28,0.3,-0.01,1.97,5.28,2.5,0.46,7.92,Matches
