"Team","Season","Games","PassF","PctF","xPctF","ScoreF","Per100F","VertF","PassA","PctA","xPctA","VertA","ScoreA","Per100A","ScoreDiff","VertDiff","Gini18","Comp"
"NYC",2018,34,20164,0.812,0.803,186.773,0.926,2.983,13858,0.725,0.746,4.503,-297.378,-2.146,484.151,-1.52,0.585,14824390.78
"SKC",2018,34,18743,0.821,0.805,305.559,1.63,3.117,14246,0.763,0.772,4.015,-136.77,-0.96,442.329,-0.898,0.401,11883112.05
"CLB",2018,34,17977,0.82,0.804,284.066,1.58,3.616,16210,0.793,0.798,3.295,-81.615,-0.503,365.681,0.321,0.424,7715954.14
"LAFC",2018,34,17662,0.823,0.808,260.258,1.474,3.332,15664,0.785,0.785,3.549,-2.185,-0.014,262.443,-0.218,0.616,15395802.66
"NYRB",2018,34,15105,0.693,0.718,-388.234,-2.57,6.06,15715,0.708,0.745,4.821,-573.157,-3.647,184.923,1.239,0.487,8134914.02
"ATL",2018,34,17657,0.817,0.805,209.707,1.188,2.763,15013,0.791,0.786,4.046,81.975,0.546,127.731,-1.284,0.505,11606330.49
"TOR",2018,34,19202,0.817,0.803,272.782,1.421,3.443,16404,0.794,0.784,3.69,158.938,0.969,113.844,-0.247,0.703,26741007.07
"PHI",2018,34,17047,0.795,0.785,163.729,0.96,3.493,16946,0.8,0.795,3.797,95.725,0.565,68.005,-0.304,0.529,8983487.84
"RSL",2018,34,17531,0.816,0.809,117.208,0.669,3.124,14466,0.771,0.767,3.953,58.794,0.406,58.414,-0.829,0.383,9294915.56
"SEA",2018,34,17320,0.793,0.784,158.658,0.916,3.645,17095,0.798,0.79,3.515,135.247,0.791,23.411,0.13,0.478,12379964.96
"ORL",2018,34,16297,0.806,0.791,238.272,1.462,3.888,16543,0.807,0.793,3.936,226.462,1.369,11.809,-0.048,0.442,8873899.44
"FCD",2018,34,16030,0.792,0.78,186.998,1.167,3.638,16833,0.801,0.79,3.752,190.015,1.129,-3.017,-0.114,0.302,10476946.52
"LAG",2018,34,16089,0.779,0.768,184.759,1.148,3.836,16859,0.799,0.788,3.72,187.932,1.115,-3.173,0.116,0.631,17574508.3
"NER",2018,34,14673,0.721,0.738,-253.709,-1.729,5.422,15718,0.747,0.758,4.185,-171.83,-1.093,-81.879,1.237,0.436,7471669.49
"MTL",2018,34,16174,0.8,0.797,56.28,0.348,3.783,17790,0.813,0.804,3.481,175.266,0.985,-118.986,0.301,0.591,13023119.1
"HOU",2018,34,15489,0.787,0.779,129.552,0.836,3.93,16597,0.81,0.794,3.66,265.496,1.6,-135.944,0.271,0.229,6020471.67
"DCU",2018,34,16224,0.783,0.78,46.708,0.288,3.833,17905,0.799,0.786,3.285,233.845,1.306,-187.136,0.548,0.514,9689537.84
"POR",2018,34,15360,0.783,0.772,165.085,1.075,4.819,17614,0.804,0.783,4.113,359.102,2.039,-194.017,0.706,0.493,10994792.96
"VAN",2018,34,14113,0.763,0.759,61.35,0.435,4.178,18089,0.808,0.793,3.613,278.769,1.541,-217.419,0.566,0.352,8575278.29
"CHI",2018,34,16004,0.789,0.789,2.241,0.014,3.182,17686,0.806,0.794,3.458,219.931,1.244,-217.69,-0.276,0.696,15990696
"SJE",2018,34,15813,0.782,0.779,54.752,0.346,3.927,17439,0.8,0.782,3.996,310.124,1.778,-255.372,-0.068,0.385,8308343.41
"COL",2018,34,15428,0.782,0.782,3.937,0.026,3.671,18488,0.819,0.801,2.923,323.646,1.751,-319.71,0.748,0.513,11269956.46
"MIN",2018,34,15450,0.765,0.775,-163.178,-1.056,3.968,18374,0.806,0.793,3.48,245.22,1.335,-408.398,0.488,0.349,8736377.37
