"First","Last","Player","Season","Team","Min","Pos","Passes","PassPct","xPassPct","Score","Per100","Distance","Vertical","Comp ($K)","Passes/96","PassPct/96","xPassPct/96","Score/96","Per100/96","Distance/96","Vertical/96","extreme1","extreme2","plotnames"
"Alan","Gordon","Alan Gordon",2018,"CHI",919,"F",170,0.706,0.824,-20.0659924894571,-11.8035249937983,15.2005815995,-1.986625,155,17.7584330794342,0.705882352941177,0.82391760287916,-2.09612108703796,-11.8035249937983,15.2005815995,-1.986625,241,58,"Gordon"
"Julian","Gressel","Julian Gressel",2018,"ATL",3149,"FB/WB",801,0.815,0.84,-20.208354478702,-2.52289069646716,19.1297470958756,-2.69307810107198,111.25,24.4191806922833,0.815230961298377,0.840459868263049,-0.61606923783912,-2.52289069646716,19.1297470958756,-2.69307810107198,323,222,"Gressel"
"Pedro","Santos","Pedro Santos",2018,"CLB",2307,"Wing",398,0.754,0.806,-20.8418136537075,-5.23663659640892,20.9690241399992,1.79936666666667,794.6,16.5617685305592,0.753768844221106,0.806135210185195,-0.867279631883797,-5.23663659640892,20.9690241399992,1.79936666666667,164,100,"Santos"
"Wayne","Rooney","Wayne Rooney",2018,"DCU",1750,"F",465,0.802,0.848,-21.2324066609144,-4.56610895933644,20.6855451936369,2.08973190348525,2776.73088,25.5085714285714,0.802150537634409,0.847811627227773,-1.16474916539873,-4.56610895933644,20.6855451936369,2.08973190348525,360,191,"Rooney"
"Joao","Plata","Joao Plata",2018,"RSL",1830,"Wing",523,0.815,0.856,-21.8970491290092,-4.18681627705721,21.8060859314335,1.48582159624413,683.33333,27.4360655737705,0.81453154875717,0.856399711527742,-1.14869765922671,-4.18681627705721,21.8060859314335,1.48582159624413,397,216,"Plata"
"Ola","Kamara","Ola Kamara",2018,"LAG",2865,"F",383,0.775,0.837,-23.4874861761928,-6.132502918066,15.5657528744947,-2.72166666666667,925,12.8335078534031,0.775456919060052,0.836781948240712,-0.787015243600176,-6.132502918066,15.5657528744947,-2.72166666666667,309,134,"Kamara"
"Diego","Fagundez","Diego Fagundez",2018,"NER",2810,"CAM",430,0.763,0.819,-24.1622482985258,-5.61912751128507,19.9287603763883,2.98649390243902,190,14.6903914590747,0.762790697674419,0.818981972787269,-0.825471827992341,-5.61912751128507,19.9287603763883,2.98649390243902,225,115,"Fagundez"
"Romain","Alessandrini","Romain Alessandrini",2018,"LAG",2012,"Wing",324,0.753,0.828,-24.2905323803425,-7.49707789516744,16.1986772173387,0.917643442622951,1869.996,15.4592445328032,0.753086419753086,0.828057198704761,-1.15899160462867,-7.49707789516744,16.1986772173387,0.917643442622951,268,98,"Alessandrini"
"Aleksandar","Katai","Aleksandar Katai",2018,"CHI",2568,"Wing",434,0.806,0.863,-24.5163284987211,-5.64892361721685,16.9059489346595,-2.45344285714286,1320.33333,16.2242990654206,0.806451612903226,0.862940849075394,-0.916498261634435,-5.64892361721685,16.9059489346595,-2.45344285714286,422,201,"Katai"
"Christian","Ramirez","Christian Ramirez",2018,"MIN,LAFC",1698,"F",210,0.729,0.846,-24.5610899925232,-11.6957571392968,15.5642806730868,-4.09490196078431,641.25004,11.8727915194346,0.728571428571429,0.845528999964396,-1.3886128617681,-11.6957571392968,15.5642806730868,-4.09490196078431,354,78,"Ramirez"
"Sebastian","Giovinco","Sebastian Giovinco",2018,"TOR",2543,"F",411,0.796,0.855,-24.5773642212152,-5.97989397109859,19.8046858229895,0.915779816513762,7115.55567,15.515532835234,0.795620437956204,0.85541937766719,-0.927812412597979,-5.97989397109859,19.8046858229895,0.915779816513762,393,177,"Giovinco"
"Magnus","Eriksson","Magnus Eriksson",2018,"SJE",2624,"Wing",579,0.737,0.781,-24.9171358793974,-4.30347769937779,18.1948918030424,1.74573770491803,399.99996,21.1829268292683,0.737478411053541,0.780513188047319,-0.911602532173076,-4.30347769937779,18.1948918030424,1.74573770491803,87,82,"Eriksson"
