Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
68,Leonardo Bertone/Leonardo-Bertone,ch SUI,MF,FC Cincinnati,24,1994,22.8,0.04,0,0,1.27,0.18,0.31,13.8,0.06,0.01,0.03,0.25,0.04,0.04,0.03,0,0,Matches
69,Matt Besler/Matt-Besler,us USA,DF,Sporting KC,31,1987,23.5,0,0,0,0.09,0,0,0,0,0,0,,0,0,0.04,0,0,Matches
70,Nick Besler/Nick-Besler,us USA,MF,Real Salt Lake,25,1993,8.2,0.12,0,0,0.37,0.24,0,66.7,0.05,0.03,0.33,0.5,0.11,0.11,0.3,0.01,0.01,Matches
71,Vincent Bezecourt/Vincent-Bezecourt,fr FRA,MF,NY Red Bulls,25,1993,5,0,0,0,2,0.6,0,30,0.4,0.12,0,0,0.06,0.06,0.03,-0.06,-0.06,Matches
72,David Bingham/David-Bingham,us USA,GK,LA Galaxy,29,1989,33,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
73,Steve Birnbaum/Steve-Birnbaum,us USA,DF,D.C. United,28,1991,33.7,0.03,0,0,0.83,0.21,0,25,0.02,0.01,0.04,0.14,0.06,0.06,0.07,-0.03,-0.03,Matches
74,José Bizama/Jose-Bizama,cl CHI,DF,Houston,24,1994,3.9,0,0,0,0.51,0.26,0,50,0.13,0.06,0,0,0.03,0.03,0.04,-0.03,-0.03,Matches
75,Tristan Blackmon/Tristan-Blackmon,us USA,DF,Los Angeles FC,22,1996,15.3,0.07,0,0,0.59,0.13,0,22.2,0.04,0.01,0.11,0.5,0.05,0.05,0.08,0.02,0.02,Matches
76,Andre Blake/Andre-Blake,jm JAM,GK,Philadelphia,28,1990,25.6,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
77,Sebastián Blanco/Sebastian-Blanco,ar ARG,FWMF,Portland,30,1988,27.9,0.22,0,0,3.8,1.11,0.07,29.2,0.14,0.04,0.06,0.19,0.23,0.23,0.06,-0.02,-0.02,Matches
78,Latif Blessing/Latif-Blessing,gh GHA,MF,Los Angeles FC,22,1996,29.9,0.2,0,0,1.3,0.3,0,23.1,0.04,0.01,0.15,0.67,0.2,0.2,0.15,0,0,Matches
79,Johan Blomberg/Johan-Blomberg,se SWE,MFFW,Colorado,31,1987,1,0,0,0,2,0,0,0,2.05,0,0,,0.1,0.1,0.04,-0.1,-0.1,Matches
80,Emmanuel Boateng/Emmanuel-Boateng,gh GHA,FWMF,LA Galaxy,25,1994,9.9,0.1,0,0,1.21,0.51,0,41.7,0.12,0.05,0.08,0.2,0.18,0.18,0.15,-0.08,-0.08,Matches
81,Emmanuel Boateng/Emmanuel-Boateng,gh GHA,FWMF,D.C. United,25,1994,0.6,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
82,Corben Bone/Corben-Bone,us USA,MFFW,FC Cincinnati,30,1988,2.1,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
83,Alex Bono/Alex-Bono,us USA,GK,Toronto FC,24,1994,6.2,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
84,Jonathan Bornstein/Jonathan-Bornstein,us USA,DF,Chicago,34,1984,10.1,0,0,0,0.2,0,0,0,0.02,0,0,,0.01,0.01,0.03,-0.01,-0.01,Matches
85,Gustavo Bou/Gustavo-Bou,ar ARG,FWMF,New England,28,1990,12.8,0.7,0,0,4.61,1.88,0.31,40.7,0.36,0.15,0.15,0.38,0.32,0.32,0.07,0.38,0.38,Matches
86,Michael Boxall/Michael-Boxall,nz NZL,DF,Minnesota,30,1988,28.6,0.07,0,0,0.28,0.1,0,37.5,0.01,0,0.25,0.67,0.05,0.05,0.18,0.02,0.02,Matches
87,Terrence Boyd/Terrence-Boyd,us USA,FWMF,Toronto FC,27,1991,3.8,0,0,0,1.05,0.53,0,50,0.27,0.14,0,0,0.08,0.08,0.09,-0.08,-0.08,Matches
88,Michael Bradley/Michael-Bradley,us USA,MF,Toronto FC,31,1987,26.4,0.11,0,0,0.83,0.19,0,22.7,0.03,0.01,0.14,0.6,0.09,0.09,0.11,0.02,0.02,Matches
89,Zachary Brault-Guillard/Zachary-Brault-Guillard,ca CAN,DF,Montreal,20,1998,9.7,0,0,0,1.13,0.52,0,45.5,0.12,0.05,0,0,0.06,0.06,0.06,-0.06,-0.06,Matches
90,Bressan/Bressan,br BRA,DF,FC Dallas,26,1993,12.4,0.08,0,0,0.48,0.32,0,66.7,0.04,0.03,0.17,0.25,0.02,0.02,0.05,0.06,0.06,Matches
91,Shaft Brewer/Shaft-Brewer,us USA,DF,Los Angeles FC,19,1999,1,0,0,0,1,0,0,0,1,0,0,,0,0,0.02,0,0,Matches
92,Frédéric Brillant/Frederic-Brillant,fr FRA,DF,D.C. United,33,1985,32.9,0.06,0,0,0.76,0.18,0,24,0.02,0.01,0.08,0.33,0.09,0.09,0.12,-0.03,-0.03,Matches
93,Brandt Bronico/Brandt-Bronico,us USA,MFDF,Chicago,23,1995,20.7,0.05,0,0,0.72,0.24,0,33.3,0.03,0.01,0.07,0.2,0.03,0.03,0.04,0.02,0.02,Matches
94,Omar Browne/Omar-Browne,pa PAN,FWMF,Montreal,24,1994,6.3,0.32,0,0,2.54,0.63,0,25,0.4,0.1,0.13,0.5,0.21,0.21,0.08,0.11,0.11,Matches
95,Will Bruin/Will-Bruin,us USA,FW,Seattle,29,1989,4.8,0.42,0,0,1.67,1.04,0,62.5,0.35,0.22,0.25,0.4,0.31,0.31,0.18,0.1,0.1,Matches
96,Tajon Buchanan/Tajon-Buchanan,ca CAN,MF,New England,19,1999,4.4,0,0,0,2.5,0.45,0,18.2,0.57,0.1,0,0,0.18,0.18,0.07,-0.18,-0.18,Matches
97,Rece Buckmaster/Rece-Buckmaster,us USA,DF,NY Red Bulls,22,1996,6,0,0,0,0.33,0,0,0,0.06,0,0,,0.02,0.02,0.05,-0.02,-0.02,Matches
98,Teal Bunbury/Teal-Bunbury,us USA,FWMF,New England,28,1990,24.3,0.25,0,0,2.39,0.78,0,32.8,0.1,0.03,0.1,0.32,0.29,0.29,0.12,-0.04,-0.04,Matches
99,Cory Burke/Cory-Burke,jm JAM,FW,Philadelphia,27,1991,5.4,0.37,0,0,2.59,0.93,0,35.7,0.48,0.17,0.14,0.4,0.33,0.22,0.08,0.04,0.15,Matches
100,Evan Bush/Evan-Bush,us USA,GK,Montreal,32,1986,32,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
101,Gianluca Busio/Gianluca-Busio,us USA,MF,Sporting KC,16,2002,10.3,0.29,0,0,2.52,0.87,0.1,34.6,0.24,0.08,0.12,0.33,0.41,0.39,0.15,-0.12,-0.1,Matches
102,Handwalla Bwana/Handwalla-Bwana,ae UAE,FW,Seattle,21,1997,6.4,0.16,0,0,1.41,0.63,0,44.4,0.22,0.1,0.11,0.25,0.13,0.13,0.09,0.03,0.03,Matches
103,Brandon Bye/Brandon-Bye,us USA,DF,New England,23,1995,29.5,0.07,0,0,0.71,0.2,0,28.6,0.02,0.01,0.1,0.33,0.05,0.05,0.07,0.02,0.02,Matches
104,Víctor Cabrera/Victor-Cabrera,ar ARG,DF,Montreal,25,1993,13.1,0,0,0,0.61,0.08,0,12.5,0.05,0.01,0,0,0.02,0.02,0.03,-0.02,-0.02,Matches
105,Luís Caicedo/Luis-Caicedo,co COL,MF,New England,22,1996,26.2,0,0.04,0.04,0.84,0.08,0,9.1,0.03,0,-0.05,-0.5,0.06,0.03,0.03,-0.06,-0.03,Matches
106,Scott Caldwell/Scott-Caldwell,us USA,MF,New England,27,1991,12,0,0,0,0.17,0.08,0,50,0.01,0.01,0,0,0.01,0.01,0.03,-0.01,-0.01,Matches
107,Alexander Callens/Alexander-Callens,pe PER,DF,NYCFC,26,1992,24,0,0,0,0.67,0.04,0.04,6.3,0.03,0,0,0,0.03,0.03,0.05,-0.03,-0.03,Matches
108,Eric Calvillo/Eric-Calvillo,us USA,MFDF,San Jose,21,1998,0.8,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
109,Francisco Calvo/Francisco-Calvo,cr CRC,DF,Chicago,26,1992,21.5,0.14,0,0,1.35,0.28,0,20.7,0.06,0.01,0.1,0.5,0.14,0.14,0.1,0,0,Matches
110,Francisco Calvo/Francisco-Calvo,cr CRC,DF,Minnesota,26,1992,7,0.14,0,0,1.57,0.57,0,36.4,0.22,0.08,0.09,0.25,0.13,0.13,0.08,0.01,0.01,Matches
111,Rudy Camacho/Rudy-Camacho,fr FRA,DF,Montreal,27,1991,16.3,0.06,0,0,0.49,0.18,0,37.5,0.03,0.01,0.13,0.33,0.06,0.06,0.13,0,0,Matches
112,Jonathan Campbell/Jonathan-Campbell,us USA,DF,Seattle,25,1993,4,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
113,Diego Campos/Diego-Campos,cr CRC,DF,Chicago,23,1995,4.9,0,0,0,0.61,0.2,0,33.3,0.12,0.04,0,0,0,0,0,0,0,Matches
114,Reggie Cannon/Reggie-Cannon,us USA,DF,FC Dallas,20,1998,25.2,0.04,0,0,0.48,0.08,0.04,16.7,0.02,0,0.08,0.5,0.02,0.02,0.05,0.02,0.02,Matches
115,Russell Canouse/Russell-Canouse,us USA,MFDF,D.C. United,23,1995,23.8,0,0,0,0.34,0,0,0,0.01,0,0,,0.02,0.02,0.06,-0.02,-0.02,Matches
116,Andrew Carleton/Andrew-Carleton,us USA,MFFW,Atlanta,18,2000,0.7,0,0,0,1.43,0,0,0,1.91,0,0,,0,0,0.02,0,0,Matches
117,Servando Carrasco/Servando-Carrasco,us USA,MF,LA Galaxy,30,1988,4.4,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
118,Julio Cascante/Julio-Cascante,cr CRC,DF,Portland,25,1993,16,0,0,0,0.63,0.19,0,30,0.04,0.01,0,0,0.06,0.06,0.09,-0.06,-0.06,Matches
119,Cristian Cásseres/Cristian-Casseres,ve VEN,MF,NY Red Bulls,19,2000,20,0.15,0,0,1.3,0.3,0,23.1,0.07,0.01,0.12,0.5,0.08,0.08,0.06,0.07,0.07,Matches
120,Valentín Castellanos/Valentin-Castellanos,ar ARG,FW,NYCFC,20,1998,22.8,0.48,0,0,3.29,1.18,0.04,36,0.14,0.05,0.15,0.41,0.31,0.31,0.1,0.13,0.13,Matches
121,Edgar Castillo/Edgar-Castillo,us USA,DF,New England,32,1986,18.8,0,0,0,0.85,0.05,0,6.3,0.05,0,0,0,0.03,0.03,0.04,-0.03,-0.03,Matches
122,Emanuel Cecchini/Emanuel-Cecchini,ar ARG,MF,Seattle,22,1996,1.7,0,0,0,1.18,0,0,0,0.68,0,0,,0.06,0.06,0.05,-0.06,-0.06,Matches
123,Darwin Cerén/Darwin-Ceren,sv SLV,MF,Houston,29,1989,6,0.17,0,0,0.67,0.33,0,50,0.11,0.06,0.25,0.5,0.03,0.03,0.06,0.13,0.13,Matches
124,Edwin Cerrillo/Edwin-Cerrillo,us USA,MF,FC Dallas,18,2000,10.2,0,0,0,0.49,0,0,0,0.05,0,0,,0.01,0.01,0.03,-0.01,-0.01,Matches
125,Thomás Chacón/Thomas-Chacon,uy URU,FW,Minnesota,18,2000,0.9,0,0,0,2.22,1.11,0,50,2.36,1.18,0,0,0.22,0.22,0.09,-0.22,-0.22,Matches
126,Maxime Chanot/Maxime-Chanot,lu LUX,DF,NYCFC,29,1989,31,0,0,0,0.42,0.03,0,7.7,0.01,0,0,0,0.02,0.02,0.05,-0.02,-0.02,Matches
127,Jay Chapman/Jay-Chapman,ca CAN,MFFW,Toronto FC,25,1994,5.9,0.34,0,0,1.19,0.34,0,28.6,0.2,0.06,0.29,1,0.1,0.1,0.08,0.24,0.24,Matches
128,Diego Chará/Diego-Chara,co COL,MF,Portland,32,1986,29,0,0,0,0.24,0.03,0,14.3,0.01,0,0,0,0.04,0.04,0.18,-0.04,-0.04,Matches
129,Michaell Chirinos/Michaell-Chirinos,hn HON,MFFW,Vancouver,23,1995,4.6,0.22,0,0,1.96,1.3,0,66.7,0.43,0.28,0.11,0.17,0.35,0.35,0.17,-0.13,-0.13,Matches
130,Mathieu Choiniere/Mathieu-Choiniere,ca CAN,FWMF,Montreal,19,1999,7.6,0,0,0,0.92,0,0,0,0.12,0,0,,0.07,0.07,0.07,-0.07,-0.07,Matches
131,Laurent Ciman/Laurent-Ciman,be BEL,DF,Toronto FC,33,1985,14,0,0,0,0.79,0.21,0.14,27.3,0.06,0.01,0,0,0.04,0.04,0.04,-0.04,-0.04,Matches
132,Ricardo Clark/Ricardo-Clark,us USA,MF,Columbus,35,1983,4,0,0,0,1.5,0,0,0,0.38,0,0,,0.05,0.05,0.03,-0.05,-0.05,Matches
133,Steve Clark/Steve-Clark,us USA,GK,Portland,32,1986,24,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
134,Aurélien Collin/Aurelien-Collin,fr FRA,DF,Philadelphia,32,1986,5.9,0,0,0,0.68,0,0,0,0.12,0,0,,0.12,0.12,0.18,-0.12,-0.12,Matches
135,Josué Colmán/Josue-Colman,py PAR,FWMF,Orlando City,20,1998,1.8,0,0,0,2.78,0.56,0,20,1.56,0.31,0,0,0.06,0.06,0.02,-0.06,-0.06,Matches
136,Tomás Conechny/Tomas-Conechny,ar ARG,FWMF,Portland,20,1998,4,0.25,0,0,2.25,1.25,0,55.6,0.57,0.32,0.11,0.2,0.3,0.3,0.13,-0.05,-0.05,Matches
137,Derek Cornelius/Derek-Cornelius,ca CAN,DF,Vancouver,21,1997,15.8,0.06,0,0,0.38,0.13,0,33.3,0.02,0.01,0.17,0.5,0.04,0.04,0.11,0.02,0.02,Matches
138,Joe Corona/Joe-Corona,us USA,MF,LA Galaxy,28,1990,25.8,0.04,0,0,0.78,0.12,0,15,0.03,0,0.05,0.33,0.05,0.05,0.06,-0.01,-0.01,Matches
139,Carlos Coronel/Carlos-Coronel,br BRA,GK,Philadelphia,22,1996,3.6,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
140,Warren Creavalle/Warren-Creavalle,us USA,MF,Philadelphia,28,1990,4.1,0,0,0,0.24,0,0,0,0.06,0,0,,0,0,0.03,0,0,Matches
141,Maxime Crépeau/Maxime-Crepeau,ca CAN,GK,Vancouver,24,1994,26,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
142,Alex Crognale/Alex-Crognale,us USA,DF,Columbus,24,1994,9.8,0,0,0,0.41,0,0,0,0.04,0,0,,0.1,0.1,0.26,-0.1,-0.1,Matches
143,Yohan Croizet/Yohan-Croizet,fr FRA,FWDF,Sporting KC,26,1992,12.1,0.25,0,0,2.07,0.99,0.08,48,0.17,0.08,0.12,0.25,0.17,0.17,0.09,0.07,0.07,Matches
144,Cody Cropper/Cody-Cropper,us USA,GK,New England,25,1993,7,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
145,Allan Cruz/Allan-Cruz,cr CRC,MFFW,FC Cincinnati,22,1996,19.3,0.36,0,0,1.81,1.04,0.1,57.1,0.09,0.05,0.2,0.35,0.25,0.25,0.14,0.11,0.11,Matches
146,Emil Cuello/Emil-Cuello,us USA,MFFW,LA Galaxy,21,1997,2.2,0,0,0,0.91,0,0,0,0.42,0,0,,0.14,0.14,0.15,-0.14,-0.14,Matches
147,Harold Cummings/Harold-Cummings,pa PAN,DF,San Jose,26,1992,15.4,0,0,0,0.06,0.06,0,100,0,0,0,0,0.01,0.01,0.06,-0.01,-0.01,Matches
148,Rashawn Dally/Rashawn-Dally,jm JAM,FW,FC Cincinnati,22,1997,6,0.17,0,0,1.67,0.67,0,40,0.27,0.11,0.1,0.25,0.22,0.22,0.13,-0.05,-0.05,Matches
149,Mario Daniel Vega/Mario-Daniel-Vega,ar ARG,GK,San Jose,34,1984,34,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
150,Abu Danladi/Abu-Danladi,gh GHA,FWMF,Minnesota,23,1995,8,0.25,0,0,2.75,0.75,0,27.3,0.34,0.09,0.09,0.33,0.29,0.29,0.1,-0.04,-0.04,Matches
151,Juan David Cabezas/Juan-David-Cabezas,co COL,MF,Houston,27,1991,6,0.17,0,0,0.67,0.17,0,25,0.11,0.03,0.25,1,0.03,0.03,0.06,0.13,0.13,Matches
152,Sean Davis/Sean-Davis,us USA,MF,NY Red Bulls,25,1993,28.4,0,0,0,0.46,0.14,0,30.8,0.02,0,0,0,0.02,0.02,0.05,-0.02,-0.02,Matches
153,Alex DeJohn/Alex-DeJohn,us USA,DF,Orlando City,27,1991,4.5,0,0,0,0.22,0,0,0,0.05,0,0,,0.02,0.02,0.09,-0.02,-0.02,Matches
154,A.J. DeLaGarza/AJ-DeLaGarza,gu GUM,DF,Houston,31,1987,22.1,0,0,0,0.27,0.05,0,16.7,0.01,0,0,0,0.01,0.01,0.04,-0.01,-0.01,Matches
