"First","Last","Player","Season","Team","Min","Pos","Passes","PassPct","xPassPct","Score","Per100","Distance","Vertical","Comp ($K)","Passes/96","PassPct/96","xPassPct/96","Score/96","Per100/96","Distance/96","Vertical/96","extreme1","extreme2","plotnames"
"Dairon","Asprilla","Dairon Asprilla",2019,"POR",572,"Wing",12,0.583,0.753,-2.03140792250633,-16.9283993542194,17.100582525816,5.71714285714286,213.75,2.01398601398601,0.583333333333333,0.752617326875528,-0.340935595385678,-16.9283993542194,17.100582525816,5.71714285714286,158,61,"Asprilla"
"Alejandro","Fuenmayor","Alejandro Fuenmayor",2019,"HOU",753,"CB",224,0.817,0.826,-2.0345023199916,-0.908259964281966,22.7835686120419,2.38734972677596,172.508,28.5577689243028,0.816964285714286,0.826046885357105,-0.259378781831599,-0.908259964281966,22.7835686120419,2.38734972677596,348,357,"Fuenmayor"
"Tesho","Akindele","Tesho Akindele",2019,"ORL",1699,"F",51,0.804,0.844,-2.03670273721218,-3.99353477884741,14.3324078821043,-1.34073170731707,150,2.8816951147734,0.803921568627451,0.843856916415925,-0.115081496628822,-3.99353477884741,14.3324078821043,-1.34073170731707,415,326,"Akindele"
"Warren","Creavalle","Warren Creavalle",2019,"PHI",350,"CM",24,0.625,0.711,-2.05880258977413,-8.57834412405888,21.1870399424494,12.558,175.3,6.58285714285714,0.625,0.710783441240589,-0.564700138909476,-8.57834412405888,21.1870399424494,12.558,80,82,"Creavalle"
"A.J.","DeLaGarza","A.J. DeLaGarza",2019,"HOU",1172,"FB/WB",131,0.687,0.703,-2.0815010741353,-1.58893211766054,17.099323564196,2.29872222222222,253.75,10.7303754266212,0.687022900763359,0.702912221939964,-0.170498381499137,-1.58893211766054,17.099323564196,2.29872222222222,70,135,"DeLaGarza"
"Nicolas","Benezet","Nicolas Benezet",2019,"TOR",461,"Wing",26,0.731,0.812,-2.11108124256134,-8.11954324062054,13.4369390089698,3.54684210526316,NA,5.41431670281996,0.730769230769231,0.811964663175436,-0.439617785869607,-8.11954324062054,13.4369390089698,3.54684210526316,307,188,"Benezet"
"Ken","Krolicki","Ken Krolicki",2019,"MTL",576,"CM",45,0.822,0.87,-2.14439399540424,-4.76531998978721,13.664670698108,2.4927027027027,59.95,7.5,0.822222222222222,0.869875422120094,-0.357398999234041,-4.76531998978721,13.664670698108,2.4927027027027,474,371,"Krolicki"
"Chris","Wondolowski","Chris Wondolowski",2019,"SJE",688,"F",13,0.692,0.858,-2.15045323967934,-16.5419479975334,17.9468242093862,2.03166666666667,800,1.81395348837209,0.692307692307692,0.857727172283026,-0.300063242745954,-16.5419479975334,17.9468242093862,2.03166666666667,448,140,"Wondolowski"
"Carles","Gil","Carles Gil",2019,"NER",2993,"CM",115,0.817,0.836,-2.16406798362732,-1.88179824663245,18.0557146365643,3.63473404255319,2337.5,3.68860674908119,0.817391304347826,0.836209286814151,-0.069412137129376,-1.88179824663245,18.0557146365643,3.63473404255319,388,358,"Gil"
"Memo","Rodriguez","Memo Rodriguez",2019,"HOU",1393,"Wing",51,0.725,0.769,-2.20160881336779,-4.31688002621134,18.7516258974793,6.64202702702703,82.75,3.51471643933955,0.725490196078431,0.768658996340545,-0.151726091947816,-4.31688002621134,18.7516258974793,6.64202702702703,192,177,"Rodriguez"
"Joao","Moutinho","Joao Moutinho",2019,"ORL",1321,"FB/WB",179,0.682,0.694,-2.21938054636121,-1.23987740020179,17.183152014342,6.53897540983607,203,13.0083270249811,0.681564245810056,0.693963019812074,-0.161287306927083,-1.23987740020179,17.183152014342,6.53897540983607,59,125,"Moutinho"
"Gyasi","Zardes","Gyasi Zardes",2019,"CLB",1592,"F",35,0.743,0.808,-2.26689007878304,-6.47682879652296,11.8868097337004,1.08807692307692,1471.667,2.1105527638191,0.742857142857143,0.807625430822372,-0.136696889172846,-6.47682879652296,11.8868097337004,1.08807692307692,295,205,"Zardes"
"David","Accam","David Accam",2019,"PHI,CLB",676,"Wing",26,0.538,0.626,-2.2849489711225,-8.78826527354809,13.1630996483946,4.79714285714286,1137.92,3.69230769230769,0.538461538461538,0.626344191197019,-0.324489794715622,-8.78826527354809,13.1630996483946,4.79714285714286,26,41,"Accam"
"Nemanja","Nikolic","Nemanja Nikolic",2019,"CHI",1248,"F",29,0.759,0.838,-2.29228740930557,-7.90443934243301,10.7725106001429,-1.55772727272727,1913.333,2.23076923076923,0.758620689655172,0.837665083079502,-0.176329800715813,-7.90443934243301,10.7725106001429,-1.55772727272727,395,231,"Nikolic"
"Everton","Luiz","Everton Luiz",2019,"RSL",2158,"CDM",139,0.813,0.83,-2.31033693999051,-1.66211290646799,16.90612554298,3.30853982300885,1100,6.18350324374421,0.81294964028777,0.82957076935245,-0.10277680548614,-1.66211290646799,16.90612554298,3.30853982300885,363,348,"Luiz"
"Victor","Giro","Victor Giro",2019,"VAN",858,"FB/WB",86,0.802,0.829,-2.31132553517819,-2.68758783160254,13.3277088988317,2.845,112.438,9.62237762237762,0.802325581395349,0.829201459711374,-0.258609850089867,-2.68758783160254,13.3277088988317,2.845,361,320,"Giro"
"Maximiliano","Urruti","Maximiliano Urruti",2019,"MTL",1654,"F",25,0.76,0.855,-2.37473002076149,-9.49892008304596,16.581254191927,4.88447368421053,1071,1.45102781136638,0.76,0.85498920083046,-0.137831972184464,-9.49892008304596,16.581254191927,4.88447368421053,442,233,"Urruti"
"Jamiro","Monteiro","Jamiro Monteiro",2019,"PHI",1948,"CAM",72,0.875,0.908,-2.39381331205368,-3.32474071118567,16.8008995035949,1.04230158730159,569.2,3.5482546201232,0.875,0.908247407111857,-0.117970265891763,-3.32474071118567,16.8008995035949,1.04230158730159,526,482,"Monteiro"
"Bryan","Reynolds","Bryan Reynolds",2019,"FCD",114,"Wing",9,0.556,0.827,-2.44497364759445,-27.1663738621606,18.2336120570097,8.372,70.25,7.57894736842105,0.555555555555556,0.827219294177161,-2.05892517692164,-27.1663738621606,18.2336120570097,8.372,355,50,"Reynolds"
"Oriol","Rosell","Oriol Rosell",2019,"ORL",1594,"CM",193,0.834,0.847,-2.45623856782914,-1.27266247037779,18.7006882186915,5.50785714285714,522.5,11.6235884567127,0.83419689119171,0.846923515895488,-0.147929047999748,-1.27266247037779,18.7006882186915,5.50785714285714,424,407,"Rosell"
"Shane","O'Neill","Shane O'Neill",2019,"ORL",918,"CB",135,0.696,0.715,-2.4687342569232,-1.82869204216534,19.9999778839024,5.55425531914894,139.5,14.1176470588235,0.696296296296296,0.71458321671795,-0.258168288305695,-1.82869204216534,19.9999778839024,5.55425531914894,84,145,"O'Neill"
