Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
24,Osvaldo Alonso/Osvaldo-Alonso,cu CUB,MF,Minnesota,33,1985,26.3,56.9,54.4,2.55,2.17,0.08,7.26,2.59,0.27,0.11,0.04,0.08,0,45.4,6.08,5.4,7.3,47.2,1.79,0.19,0.15,52.5,0,0.34,0.95,0.57,Matches
25,Jozy Altidore/Jozy-Altidore,us USA,FW,Toronto FC,29,1989,18.8,26,24.8,1.22,0.11,0.11,5.85,0.8,0.27,0.05,0,0,0,15.8,6.01,4.2,3.4,18.9,1.76,0.21,0.59,20.2,0.11,0.37,0.64,0.96,Matches
26,Efrain Alvarez/Efrain-Alvarez,mx MEX,MFFW,LA Galaxy,16,2002,5.8,46.6,41.7,4.83,1.21,0.52,5,4.48,5.86,3.45,1.9,0.69,0.34,27.4,5.86,13.3,42.2,3.28,0.86,0.17,0,34,0.17,1.38,1.03,1.03,Matches
27,Fabio Álvarez/Fabio-Alvarez,ar ARG,MFFW,LA Galaxy,26,1993,14,48.5,47.9,0.64,0.29,0.21,9.14,0.93,0.36,0.14,0,0,0,35.1,7.36,6.07,6.93,39.1,1.14,0.07,0.57,39.6,0.36,0.79,1,1.21,Matches
28,Quincy Amarikwa/Quincy-Amarikwa,us USA,FW,D.C. United,31,1987,4.8,22.7,21,1.67,0,0.42,6.67,0.21,0.21,0,0,0,0,11.3,5,6.46,2.92,11.5,4.38,0.83,0.42,15,0.21,0,0.83,0.63,Matches
29,Frankie Amaya/Frankie-Amaya,us USA,MF,FC Cincinnati,18,2000,13.8,41.4,36.8,4.57,1.96,0.07,6.81,2.25,2.54,1.74,0.94,0.43,0.22,29.4,4.64,7.32,5.07,34.6,0.65,0.36,0.36,35.2,0.22,0.87,0.22,0.43,Matches
30,Mikey Ambrose/Mikey-Ambrose,us USA,DF,Atlanta,25,1993,3,54.7,45,9.67,0.33,0,8.33,0.33,2,0,0,0,0,28.3,16.3,10,37.7,3.67,2.67,9.33,0,40.3,0.67,1.33,1,2.33,Matches
31,Michael Amir Murillo/Michael-Amir-Murillo,pa PAN,DF,NY Red Bulls,22,1996,18.8,51.9,39,12.9,0.9,0.05,10.1,0.69,2.77,0.11,0,0.11,0,24.9,12.2,14.7,2.29,33.6,2.55,11.9,0.27,35.6,0.05,1.49,1.86,2.61,Matches
32,Sebastian Anderson/Sebastian-Anderson,us USA,DFFW,Colorado,16,2002,3.5,36.9,30.3,6.57,0,0,4.57,0.29,3.43,0,0,0,0,12.9,9.71,14.3,2.57,22.6,4.86,6.57,0.29,21.4,0.29,2.57,0.57,0.86,Matches
33,Jalil Anibaba/Jalil-Anibaba,us USA,DF,New England,30,1988,19.6,30.2,27.7,2.5,1.58,0,3.11,1.43,0.46,0,0,0,0,14.8,5.41,9.95,9.18,16,3.11,0.92,0,22.1,0.1,1.68,0.26,0.46,Matches
