Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
93,Brandt Bronico/Brandt-Bronico,us USA,MFDF,Chicago,23,1995,20.7,45.5,41.3,4.2,0.39,0,5.41,1.11,1.3,0.34,0.05,0.1,0,29.4,7.78,8.31,6.28,32.9,2.22,3.48,0.19,36.4,0.14,0.87,1.06,0.77,Matches
94,Omar Browne/Omar-Browne,pa PAN,FWMF,Montreal,24,1994,6.3,40,35.4,4.6,0.95,0,6.83,2.22,3.97,2.7,2.06,0.16,0.48,26.2,5.71,8.1,34.3,3.97,1.11,0.32,0.16,27.3,0.48,0.95,1.11,2.06,Matches
95,Will Bruin/Will-Bruin,us USA,FW,Seattle,29,1989,4.8,20.4,19.8,0.63,0,0,6.25,0,0,0,0,0,0,12.1,6.04,2.29,2.5,14.6,1.46,0,0.63,15.4,0,0.21,0.21,1.25,Matches
96,Tajon Buchanan/Tajon-Buchanan,ca CAN,MF,New England,19,1999,4.4,16.8,15.7,1.14,0,0,2.27,0.68,1.59,0,0,0,0,9.77,3.41,3.64,1.82,12.3,1.14,1.14,0.23,11.4,0.23,0.45,0,2.05,Matches
97,Rece Buckmaster/Rece-Buckmaster,us USA,DF,NY Red Bulls,22,1996,6,46.7,35.8,10.8,1,0,8.5,0.67,0.83,0.33,0,0.17,0,26.2,7.83,12.7,4,29.3,3,9.5,0.17,37.2,0,1.33,1.67,1.17,Matches
98,Teal Bunbury/Teal-Bunbury,us USA,FWMF,New England,28,1990,24.3,24.6,23.8,0.82,0,0.04,5.1,0.45,0.82,0,0,0,0,16.1,4.9,3.58,1.77,19.3,1.69,0.12,0.74,18.1,0.04,0.78,0.86,0.82,Matches
99,Cory Burke/Cory-Burke,jm JAM,FW,Philadelphia,27,1991,5.4,17,16.3,0.74,0,0.37,3.7,0.74,0.93,0,0,0,0,10.7,3.52,2.78,2.96,10.9,1.48,0.19,0.19,10.2,0,0.37,0.37,0.93,Matches
100,Evan Bush/Evan-Bush,us USA,GK,Montreal,32,1986,32,30.1,20.6,9.47,2.63,0,1.91,0.91,0,0,0,0,0,12.5,1.94,15.7,2.34,20.9,0,0,5.5,20.1,0.09,1.06,0.13,0.09,Matches
101,Gianluca Busio/Gianluca-Busio,us USA,MF,Sporting KC,16,2002,10.3,38.4,36.2,2.23,0.49,0,8.54,0.97,1.46,1.17,0.78,0.1,0.1,28.3,5.53,4.66,3.5,32.6,0.78,0.29,0.19,32.7,0.1,0.58,0.78,0.58,Matches
102,Handwalla Bwana/Handwalla-Bwana,ae UAE,FW,Seattle,21,1997,6.4,32.8,30.9,1.88,0,0.16,8.75,0.63,3.44,1.09,0.31,0.31,0.47,22.8,5.31,4.69,5.47,23.8,1.72,0.78,0.47,22,0,0.63,1.56,2.19,Matches
103,Brandon Bye/Brandon-Bye,us USA,DF,New England,23,1995,29.5,44.9,34.6,10.3,0.14,0.1,7.25,0.71,3.63,0,0,0,0,18.8,13.3,12.8,1.32,27.4,3.66,10.1,0.14,31.2,0.2,1.36,0.68,1.97,Matches
104,Víctor Cabrera/Victor-Cabrera,ar ARG,DF,Montreal,25,1993,13.1,60.4,57.1,3.28,1.45,0.15,5.11,1.98,0,0,0,0,0,42.1,6.26,12.1,6.87,48.5,1.68,1.83,0.38,52.3,0.15,1.83,0.31,0.61,Matches
105,Luís Caicedo/Luis-Caicedo,co COL,MF,New England,22,1996,26.2,37.1,35.2,1.83,1.07,0.04,4.69,0.73,0.19,0,0,0,0,24.6,5.31,7.14,4.43,28.1,2.9,0.69,0.11,30.5,0,0.65,0.73,0.31,Matches
106,Scott Caldwell/Scott-Caldwell,us USA,MF,New England,27,1991,12,44.9,42.3,2.58,1.58,0.08,6.83,1,0.17,0.08,0,0,0,30.2,7.33,7.42,16.4,24.8,2.33,0.5,0.17,37.3,0,0.83,0.92,1,Matches
107,Alexander Callens/Alexander-Callens,pe PER,DF,NYCFC,26,1992,24,56.6,53.7,2.92,2.04,0,5.67,1.46,0.17,0.04,0,0,0,43.5,4.5,8.54,44.3,9.17,1.58,0.83,0.17,48.9,0.21,1,0.33,0.92,Matches
108,Eric Calvillo/Eric-Calvillo,us USA,MFDF,San Jose,21,1998,0.8,51.3,47.5,3.75,0,0,3.75,1.25,2.5,0,0,0,0,35,7.5,8.75,10,36.3,1.25,3.75,0,40,0,1.25,0,2.5,Matches
109,Francisco Calvo/Francisco-Calvo,cr CRC,DF,Chicago,26,1992,21.5,57.6,54.1,3.49,1.77,0,5.58,2.88,0.65,0,0,0,0,39.2,6.05,12.3,48.6,5.4,1.3,1.72,0.23,46.9,0.28,0.56,0.84,0.98,Matches
110,Francisco Calvo/Francisco-Calvo,cr CRC,DF,Minnesota,26,1992,7,42.4,33,9.43,1.57,0.14,6.14,0.86,0.57,0,0,0,0,19.6,8.86,14,29,3.14,2.29,7.86,0,28.6,0.14,0.43,1.43,1.14,Matches
111,Rudy Camacho/Rudy-Camacho,fr FRA,DF,Montreal,27,1991,16.3,59.9,58.3,1.6,1.35,0,5.89,1.6,0.18,0,0,0,0,46.1,5.77,8.1,2.15,54.4,2.21,0.25,0.18,53.4,0,0.49,0.67,0.61,Matches
112,Jonathan Campbell/Jonathan-Campbell,us USA,DF,Seattle,25,1993,4,49.5,48.8,0.75,0.75,0,10.5,2.75,0,0,0,0,0,38,5,6.5,15.3,32.5,1.5,0,0,43.3,0,1.5,0.5,0.5,Matches
113,Diego Campos/Diego-Campos,cr CRC,DF,Chicago,23,1995,4.9,39.8,31,8.78,0.82,0,5.51,1.63,5.71,1.22,0.82,0.41,0,21.2,7.76,10.8,2.45,29.2,1.43,6.73,0,28.6,0.2,1.02,0.2,1.22,Matches
114,Reggie Cannon/Reggie-Cannon,us USA,DF,FC Dallas,20,1998,25.2,52.9,43.6,9.29,0.99,0.08,7.18,0.44,1.75,0,0,0,0,35.8,9.25,7.9,4.84,37,2.26,8.29,0.16,44.4,0.12,0.83,0.6,1.31,Matches
115,Russell Canouse/Russell-Canouse,us USA,MFDF,D.C. United,23,1995,23.8,50.6,47.4,3.24,1.09,0.04,7.65,1.18,0.21,0,0,0,0,36.3,7.23,7.02,7.44,37.8,2.39,2.14,0.21,43.8,0.21,0.71,0.63,0.76,Matches
116,Andrew Carleton/Andrew-Carleton,us USA,MFFW,Atlanta,18,2000,0.7,52.9,45.7,7.14,0,0,8.57,4.29,5.71,2.86,0,2.86,0,18.6,8.57,25.7,15.7,28.6,1.43,4.29,0,31.4,0,1.43,0,4.29,Matches
117,Servando Carrasco/Servando-Carrasco,us USA,MF,LA Galaxy,30,1988,4.4,35.9,35,0.91,0.68,0,7.27,2.05,0.23,0.23,0.23,0,0,25.2,3.64,7.05,3.86,29.3,1.82,0,0,31.8,0,0.68,0.45,0.23,Matches
118,Julio Cascante/Julio-Cascante,cr CRC,DF,Portland,25,1993,16,39.6,37.9,1.69,1.19,0.06,4.19,1,0,0,0,0,0,28.4,5.44,5.75,2.19,33.4,1.94,0.5,0.31,34.7,0,0.69,0.13,0.44,Matches
119,Cristian Cásseres/Cristian-Casseres,ve VEN,MF,NY Red Bulls,19,2000,20,42.9,41.4,1.5,1,0.2,8.6,0.6,0.75,0.05,0,0.05,0,27.1,6.65,9.2,6.3,32.3,2.55,0.45,0.15,31.3,0,0.8,1.15,2.05,Matches
120,Valentín Castellanos/Valentin-Castellanos,ar ARG,FW,NYCFC,20,1998,22.8,23.4,21.7,1.67,0,0.09,5.83,0.44,0.79,0,0,0,0,15,4.08,4.25,1.27,18.8,1.18,0.26,0.57,16.1,0.13,0.39,0.83,0.79,Matches
121,Edgar Castillo/Edgar-Castillo,us USA,DF,New England,32,1986,18.8,50.3,39.8,10.5,1.01,0.16,6.44,0.69,0.96,0,0,0,0,26.9,10.8,12.6,33.6,5.11,1.7,9.52,0.11,38.1,0.37,1.06,0.85,1.06,Matches
122,Emanuel Cecchini/Emanuel-Cecchini,ar ARG,MF,Seattle,22,1996,1.7,56.5,55.9,0.59,0,0,8.82,2.94,0.59,0,0,0,0,44.7,4.12,7.65,4.12,50,1.18,0.59,0,47.1,0,2.35,1.18,1.76,Matches
123,Darwin Cerén/Darwin-Ceren,sv SLV,MF,Houston,29,1989,6,52.3,50.3,2,1.83,0.5,7.5,3.5,0.17,0,0,0,0,35,8.33,9,8.33,42,1.33,0.17,0.17,46.8,0,0.17,0,1,Matches
124,Edwin Cerrillo/Edwin-Cerrillo,us USA,MF,FC Dallas,18,2000,10.2,57.5,55.3,2.16,1.76,0,5.49,2.25,0.2,0,0,0,0,47.5,4.9,5,6.67,47.6,2.25,0.2,0.29,52.5,0,0.98,0.59,0.2,Matches
125,Thomás Chacón/Thomas-Chacon,uy URU,FW,Minnesota,18,2000,0.9,24.4,24.4,0,0,0,4.44,0,2.22,0,0,0,0,17.8,3.33,3.33,6.67,16.7,1.11,0,0,22.2,0,0,0,1.11,Matches
126,Maxime Chanot/Maxime-Chanot,lu LUX,DF,NYCFC,29,1989,31,50.8,48.8,2,1.84,0.06,5,1.74,0.06,0,0,0,0,37.4,3.61,9.84,2.94,42.8,3.45,0.16,0.26,44.2,0.1,1.03,0.32,0.16,Matches
127,Jay Chapman/Jay-Chapman,ca CAN,MFFW,Toronto FC,25,1994,5.9,48.8,47.3,1.53,0.51,0,9.83,1.86,1.86,0.34,0,0.34,0,36.9,7.29,4.58,10.3,34.9,1.53,0.68,0.34,39.8,0.51,0.68,1.02,1.36,Matches
128,Diego Chará/Diego-Chara,co COL,MF,Portland,32,1986,29,60.7,59.1,1.55,1.21,0,8.31,2,0.14,0.03,0,0,0,47.2,6.79,6.69,12.6,45.9,1.45,0.28,0.31,55,0.14,0.41,1.07,0.9,Matches
129,Michaell Chirinos/Michaell-Chirinos,hn HON,MFFW,Vancouver,23,1995,4.6,31.3,30.2,1.09,0.22,0,7.61,0.22,0.43,0,0,0,0,23.7,4.78,2.83,5.43,24.3,0.43,0.87,0.22,26.7,0,0.65,0.43,0.87,Matches
130,Mathieu Choiniere/Mathieu-Choiniere,ca CAN,FWMF,Montreal,19,1999,7.6,30.8,30.3,0.53,0,0,4.87,0.92,0.92,0.26,0,0.13,0,22.5,4.08,4.21,5,24.5,0.79,0.13,0,25.4,0.13,0.26,0.53,0.53,Matches
131,Laurent Ciman/Laurent-Ciman,be BEL,DF,Toronto FC,33,1985,14,58.1,55.4,2.71,2,0.07,6.07,3.29,0.21,0,0,0,0,40.9,6.21,11,13.6,40.4,2.5,0.71,0.36,51.4,0.14,1.21,0.29,0.21,Matches
132,Ricardo Clark/Ricardo-Clark,us USA,MF,Columbus,35,1983,4,49,48.3,0.75,0.5,0,7.5,1,0.25,0,0,0,0,35,7.5,6.5,4.25,42,1.5,0.25,0,40.8,0.25,0.5,1.5,1,Matches
133,Steve Clark/Steve-Clark,us USA,GK,Portland,32,1986,24,34.1,22.7,11.5,2.42,0,2.25,1.33,0,0.04,0.04,0,0,17.1,2.33,14.7,4.67,21.7,0.08,0,6.46,25.4,0.08,0.92,0.08,0.04,Matches
134,Aurélien Collin/Aurelien-Collin,fr FRA,DF,Philadelphia,32,1986,5.9,52.7,51.9,0.85,0.68,0,3.56,0.34,0,0,0,0,0,37.3,5.59,9.83,10.3,37.6,3.56,0.17,0,45.9,0,1.69,0.34,0.17,Matches
135,Josué Colmán/Josue-Colman,py PAR,FWMF,Orlando City,20,1998,1.8,54.4,48.9,5.56,0.56,1.11,10.6,3.33,6.11,3.89,0,2.78,0.56,35.6,7.78,11.1,10,43.3,0,1.11,0,41.1,0,0.56,1.67,4.44,Matches
136,Tomás Conechny/Tomas-Conechny,ar ARG,FWMF,Portland,20,1998,4,55.8,53.8,2,0,0.25,7,1.5,1,0.5,0.25,0,0,35.5,8.75,11.5,45,4.75,3.75,1,0.25,42.3,0.5,1.25,1,2,Matches
137,Derek Cornelius/Derek-Cornelius,ca CAN,DF,Vancouver,21,1997,15.8,42.8,41.7,1.14,0.89,0,5.19,0.57,0,0,0,0,0,31.8,3.86,7.15,34.7,6.27,1.01,0.25,0.13,36.1,0,1.14,0.51,0.57,Matches
138,Joe Corona/Joe-Corona,us USA,MF,LA Galaxy,28,1990,25.8,62.5,61.3,1.2,0.54,0.12,9.07,1.78,1.01,0.39,0.04,0.27,0.04,47.4,5.78,9.26,8.29,51.4,1.28,0.27,0.27,54.7,0.43,0.35,0.93,1.24,Matches
139,Carlos Coronel/Carlos-Coronel,br BRA,GK,Philadelphia,22,1996,3.6,28.1,19.2,8.89,2.5,0,1.94,0.56,0,0,0,0,0,9.44,0.56,18.1,0.28,20.8,0,0,5.56,16.4,0,1.11,0,0,Matches
140,Warren Creavalle/Warren-Creavalle,us USA,MF,Philadelphia,28,1990,4.1,36.6,36.6,0,0,0.24,7.32,0.49,0.49,0,0,0,0,25.4,5.85,5.37,9.51,25.6,0.49,0,0.24,29.3,0,0.24,1.22,0.49,Matches
141,Maxime Crépeau/Maxime-Crepeau,ca CAN,GK,Vancouver,24,1994,26,36.5,22,14.5,2.46,0,3.12,1.5,0,0.04,0,0,0.04,15.8,2,18.7,4.5,24.9,0.04,0,4.73,25.4,0.15,1.42,0.08,0.04,Matches
142,Alex Crognale/Alex-Crognale,us USA,DF,Columbus,24,1994,9.8,39.7,38.5,1.22,1.22,0.1,3.27,1.33,0,0,0,0,0,26.1,3.67,9.9,3.88,32.3,2.76,0,0,32.8,0.2,0.71,0.41,0.41,Matches
143,Yohan Croizet/Yohan-Croizet,fr FRA,FWDF,Sporting KC,26,1992,12.1,36.4,31,5.45,0.5,0.17,6.12,1.07,2.07,0.25,0.17,0,0,24.1,5.45,6.86,24.8,5.62,1.24,3.88,0.08,29.4,0.17,0.41,0.33,0.66,Matches
144,Cody Cropper/Cody-Cropper,us USA,GK,New England,25,1993,7,26.3,16,10.3,2.86,0,1.14,0.43,0,0,0,0,0,12.7,1.43,12.1,2.43,17.6,0,0,5.57,19.1,0,0.71,0,0,Matches
145,Allan Cruz/Allan-Cruz,cr CRC,MFFW,FC Cincinnati,22,1996,19.3,26,24.8,1.24,0.67,0.16,6.37,0.57,0.67,0,0,0,0,16.1,5.28,4.61,3.26,19.9,1.45,0.41,0.1,19.1,0.1,0.73,0.52,1.04,Matches
146,Emil Cuello/Emil-Cuello,us USA,MFFW,LA Galaxy,21,1997,2.2,28.2,27.7,0.45,0,0.45,6.36,1.82,2.27,0.45,0,0.45,0,18.6,5,4.55,22.7,3.18,1.36,0,0,20.5,0.45,1.82,0.91,0.45,Matches
147,Harold Cummings/Harold-Cummings,pa PAN,DF,San Jose,26,1992,15.4,59.3,57.5,1.75,1.56,0.06,8.64,2.6,0,0,0,0,0,47.9,4.68,6.69,8.44,48.3,1.82,0.19,0.06,51.7,0.06,0.91,0.65,0.39,Matches
148,Rashawn Dally/Rashawn-Dally,jm JAM,FW,FC Cincinnati,22,1997,6,22.8,19.5,3.33,0,0.17,5.33,0.33,0.17,0,0,0,0,16.2,4.5,2.17,3.33,17.2,1,0,0.5,17.5,0,0.67,0.33,1.5,Matches
149,Mario Daniel Vega/Mario-Daniel-Vega,ar ARG,GK,San Jose,34,1984,34,34.7,24.7,10,1.47,0,3.06,0.68,0.06,0,0,0,0,18,2.21,14.5,24.3,5.44,0,0,3.24,25.6,0.15,1.03,0.09,0.15,Matches
150,Abu Danladi/Abu-Danladi,gh GHA,FWMF,Minnesota,23,1995,8,26,25.5,0.5,0.13,0,3.5,0.5,2.38,0,0,0,0,18.6,4.5,2.88,1.88,22.3,1,0.38,0.38,17.9,0,1,0.88,1.63,Matches
151,Juan David Cabezas/Juan-David-Cabezas,co COL,MF,Houston,27,1991,6,39.7,38.8,0.83,0.83,0.17,6.67,1,0.17,0,0,0,0,26.5,8.17,5,5.17,30.8,1.83,0,0.67,34.2,0,0.67,0.17,0.67,Matches
152,Sean Davis/Sean-Davis,us USA,MF,NY Red Bulls,25,1993,28.4,55.1,52.3,2.89,1.65,0.11,11.2,0.56,1.8,1.09,0.14,0.77,0.07,36.3,6.3,12.5,13.9,36.4,3.27,0.14,0.11,42.4,0.11,1.23,1.27,0.88,Matches
153,Alex DeJohn/Alex-DeJohn,us USA,DF,Orlando City,27,1991,4.5,27.3,25.3,2,0.89,0.22,2.67,1.56,0.22,0,0,0,0,16,4,7.33,5.56,17.3,2.67,1.11,0.22,21.6,0.22,1.33,0,0,Matches
154,A.J. DeLaGarza/AJ-DeLaGarza,gu GUM,DF,Houston,31,1987,22.1,46.2,36.1,10.1,1.22,0.05,5.88,0.81,0.86,0,0,0,0,26.2,9.46,10.5,4.3,29.4,2.81,8.87,0.23,38.1,0.14,0.81,0.72,0.5,Matches
155,Antonio Delamea Mlinar/Antonio-Delamea-Mlinar,si SVN,DF,New England,27,1991,15.2,38.4,36.8,1.51,1.18,0,3.36,0.92,0.07,0,0,0,0,28,4.87,5.46,2.17,30.8,3.88,0.33,0.2,34.4,0,0.59,0.13,0.2,Matches
156,Jordy Delem/Jordy-Delem,mq MTQ,MF,Seattle,25,1993,16,42.5,41.3,1.25,1,0,7,0.94,0.19,0,0,0,0,31,5.25,6.25,4.69,33.3,3.13,0.25,0.19,35.6,0,0.56,0.75,0.69,Matches
157,Nick DeLeon/Nick-DeLeon,us USA,MFFW,Toronto FC,28,1990,20.6,44,41.4,2.67,0.34,0.05,8.11,1.41,1.75,0.19,0,0.1,0,31.8,7.18,5,4.32,35.7,0.87,2.04,0.34,36.8,0.15,0.87,0.78,1.65,Matches
158,Marky Delgado/Marky-Delgado,us USA,MF,Toronto FC,23,1995,28.3,65.9,65.2,0.67,0.32,0.11,12.7,1.45,1.1,0,0,0,0,51.3,8.09,6.5,8.87,54.3,1.77,0.35,0.39,56.6,0.18,0.95,1.34,1.41,Matches
159,Mathieu Deplagne/Mathieu-Deplagne,fr FRA,DF,FC Cincinnati,27,1991,31.9,48.1,39.2,8.87,0.82,0.03,6.46,1.35,1.25,0,0,0,0,28.5,8.78,10.8,4.23,32.2,2.1,8.06,0.16,38.8,0.09,1.03,0.69,1.13,Matches
160,Maikel van der Werff/Maikel-van-der-Werff,nl NED,DF,FC Cincinnati,29,1989,11,41,38.5,2.55,2.18,0,5.27,2,0.09,0,0,0,0,24.8,6,10.2,2.45,34,2.91,0.36,0.27,34.7,0.09,0.18,0.27,0.27,Matches
161,Tyler Deric/Tyler-Deric,us USA,GK,Houston,30,1988,7,32.3,19.1,13.1,2.57,0,2,0.86,0,0,0,0,0,11.1,1,20.1,2.43,22.4,0,0,4.14,17,0.29,1,0.14,0.14,Matches
162,Justin Dhillon/Justin-Dhillon,us USA,FW,Seattle,23,1995,2.9,15.2,13.1,2.07,0,0,4.48,0.34,0,0,0,0,0,9.66,2.41,3.1,2.76,8.28,1.03,0,0.34,10.7,0,0.69,0.34,0,Matches
163,Zakaria Diallo/Zakaria-Diallo,fr FRA,DF,Montreal,32,1986,22.6,58.2,55.4,2.79,2.52,0.09,7.08,2.08,0.18,0,0,0,0,41.9,6.77,9.51,10.3,44.4,2.43,0.27,0.22,49,0.27,1.28,1.42,0.8,Matches
164,Luis Díaz/Luis-Diaz,cr CRC,FWMF,Columbus,20,1998,8.8,22.3,21.3,1.02,0,0.23,3.3,1.14,4.32,0.11,0,0,0,13,4.55,4.77,2.84,17.3,0.91,0.91,0.23,15,0,0.34,0.34,1.59,Matches
165,Eric Dick/Eric-Dick,us USA,GK,Sporting KC,24,1994,1,28,19,9,2,0,3,3,0,0,0,0,0,11,3,14,2,15,0,1,5,18,0,1,0,0,Matches
166,Claude Dielna/Claude-Dielna,GPE,DF,Portland,31,1987,12.1,50.6,48.9,1.65,1.4,0,4.46,1.49,0.58,0,0,0,0,35.6,5.37,9.59,39.5,7.44,2.15,0.25,0,42.6,0.25,1.07,0.17,0.41,Matches
167,Adama Diomande/Adama-Diomande,no NOR,FW,Los Angeles FC,28,1990,16,21.1,19,2.06,0,0.44,5,0.19,0.31,0,0,0,0,16.5,2.94,1.63,4.19,14.9,0.75,0.13,0.19,15.5,0.19,0.25,0.75,0.63,Matches
168,Clément Diop/Clement-Diop,sn SEN,GK,Montreal,25,1993,2,28,16.5,11.5,4,0,0.5,0,0,0,0,0,0,9.5,2.5,16,0,23.5,0,0,4.5,15.5,0,2,0,0,Matches
169,Griffin Dorsey/Griffin-Dorsey,us USA,DF,Toronto FC,19,1999,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Matches
170,Jonathan dos Santos/Jonathan-dos-Santos,mx MEX,MF,LA Galaxy,28,1990,28.2,75.1,69,6.06,2.84,0.07,9.72,4.15,3.72,2.87,1.1,1.21,0.43,57.3,6.6,11.2,3.76,69.6,0.82,0.32,0.32,67.1,0.18,0.5,0.82,0.82,Matches
171,Hassani Dotson/Hassani-Dotson,us USA,DFMF,Minnesota,21,1997,15.7,43,39.9,3.06,0.19,0.06,7.13,0.83,1.91,0,0,0,0,29.3,5.61,8.09,4.84,32,2.1,2.87,0.19,32.5,0.06,0.57,1.08,1.91,Matches
172,Kyle Duncan/Kyle-Duncan,us USA,DF,NY Red Bulls,21,1997,12,47.4,33.8,13.7,0.83,0.17,7.08,0.42,1.5,0,0,0,0,21.6,10.1,15.8,1.92,29.7,2,12.8,0,32.7,0.17,1.67,1.25,1.67,Matches
173,Chris Durkin/Chris-Durkin,us USA,MF,D.C. United,18,2000,7.1,53.1,51.8,1.27,1.13,0.14,11.3,2.11,0.7,0.14,0.14,0,0,36.8,5.35,11,5.07,44.1,2.39,0,0.14,42,0,1.69,0.7,1.55,Matches
174,Chris Duvall/Chris-Duvall,us USA,DF,Houston,27,1991,1,58,51,7,2,0,6,1,2,0,0,0,0,35,13,10,6,43,2,5,0,45,0,2,0,1,Matches
175,Dom Dwyer/Dom-Dwyer,us USA,FW,Orlando City,28,1990,18,12.9,11.1,1.89,0,0.06,3,0.33,0.89,0,0,0,0,7.83,2.94,2.17,7.06,3.94,0.94,0,0.11,9.39,0.17,0.28,0.39,0.39,Matches
176,Jeremy Ebobisse/Jeremy-Ebobisse,us USA,FW,Portland,21,1997,25.6,22.6,22.1,0.47,0,0,5.94,0.7,0.78,0,0,0,0,14.2,4.14,4.26,15.2,4.1,0.98,0.08,0.55,17,0.04,0.31,0.47,0.43,Matches
177,Raheem Edwards/Raheem-Edwards,ca CAN,DF,Chicago,23,1995,2.7,48.1,42.2,5.93,0.37,0,4.81,1.48,0.74,0,0,0,0,34.4,4.81,8.89,34.4,5.19,2.96,5.56,0,39.3,0,0.37,1.85,1.85,Matches
178,Alberth Elis/Alberth-Elis,hn HON,FWMF,Houston,22,1996,21.4,27.2,25.6,1.64,0.19,0.23,7.29,0.61,1.54,0,0,0,0,18.5,5.05,3.64,0.93,22.4,0.84,1.31,0.47,19.3,0.19,0.33,0.61,1.92,Matches
179,Jack Elliott/Jack-Elliott,eng ENG,DF,Philadelphia,23,1995,34,48.6,47.2,1.38,1.06,0,5.94,2.15,0.15,0.03,0,0.03,0,35.1,4.38,9.12,5.76,39.3,2.12,0.29,0.32,40.9,0.15,1.15,0.53,0.53,Matches
180,Tsubasa Endoh/Tsubasa-Endoh,jp JPN,FWMF,Toronto FC,25,1993,9.7,36.2,33.7,2.47,0.1,0,6.08,1.55,3.71,1.86,0.1,1.03,0.41,26.2,3.61,6.39,6.6,28.1,0.82,0.52,0.1,28.8,0,0.31,0.72,1.34,Matches
181,Marcus Epps/Marcus-Epps,us USA,MFDF,NY Red Bulls,24,1995,1.2,45,40,5,0,0,14.2,0,3.33,0,0,0,0,29.2,9.17,6.67,1.67,34.2,0.83,5,0,26.7,0,2.5,0.83,4.17,Matches
182,Jon Erice/Jon-Erice,es ESP,MF,Vancouver,32,1986,19.4,59.1,57.1,2.01,1.96,0,7.99,1.65,0.26,0,0,0,0,42.5,7.73,8.92,40.4,16.4,1.86,0,0.1,51.7,0.15,0.67,1.08,0.41,Matches
183,Magnus Eriksson/Magnus-Eriksson,se SWE,MF,San Jose,28,1990,31.1,57.8,51.7,6.14,1.86,0.48,9.52,2.6,4.69,2.99,0.64,0.96,0.32,40.2,8.01,9.61,44.3,10.6,1.25,1,0.39,45.3,0.26,1.25,1.09,1.7,Matches
184,Franco Escobar/Franco-Escobar,ar ARG,DF,Atlanta,23,1995,22.4,52.3,43.8,8.57,0.94,0.04,6.56,1.03,1.12,0.04,0,0,0,33.7,9.69,8.97,5.67,35.6,2.54,7.59,0.09,43.9,0,0.8,0.98,1.12,Matches
185,Cristian Espinoza/Cristian-Espinoza,ar ARG,FWMF,San Jose,23,1995,28,50.3,44.3,5.96,0.79,0.07,9.57,2.79,7.46,3.18,0.57,0.82,0.29,34,8.04,8.25,6.64,41.3,0.25,1.96,0.07,36.1,0.18,0.93,1.11,3.54,Matches
186,Roger Espinoza/Roger-Espinoza,hn HON,MF,Sporting KC,32,1986,12.7,41.6,40.8,0.79,0.47,0.16,9.61,1.42,0.79,0.08,0,0.08,0,22.8,8.82,9.92,30.1,6.38,2.91,0.08,0.24,31.2,0,1.34,1.1,1.26,Matches
187,Derrick Etienne/Derrick-Etienne,ht HAI,FW,FC Cincinnati,22,1996,2.4,27.5,25,2.5,0.83,0,5.42,0.83,1.67,0,0,0,0,17.1,3.33,7.08,2.08,22.5,0.42,1.25,0.83,21.7,0,0.83,0.42,0.42,Matches
188,Derrick Etienne/Derrick-Etienne,ht HAI,FWMF,NY Red Bulls,22,1996,5.2,33.1,31.7,1.35,0.38,0.38,6.73,1.15,2.88,0.19,0,0,0.19,22.1,5.38,5.58,5,25.8,0.58,0.58,0.38,23.3,0.38,0.38,0.58,1.54,Matches
189,Marco Fabián/Marco-Fabian,mx MEX,MFFW,Philadelphia,29,1989,13.8,56.7,53.3,3.41,0.51,0.07,11.5,2.54,2.75,1.96,0.43,0.87,0.07,43.2,5.94,7.54,4.78,49.8,1.45,0.29,0.14,47.1,0.14,0.58,0.8,1.09,Matches
190,Fabinho/Fabinho,br BRA,DF,Philadelphia,33,1985,1,37,23,14,2,0,6,1,2,0,0,0,0,18,3,16,21,3,1,12,0,29,0,1,1,0,Matches
191,Diego Fagúndez/Diego-Fagundez,uy URU,MFFW,New England,23,1995,13.1,42.9,40.5,2.44,0.61,0.08,5.88,0.46,1.76,0.92,0.53,0.08,0.08,30.8,5.73,6.41,1.76,39.2,0.84,0.61,0.46,33.9,0.31,0.84,0.99,1.15,Matches
192,Rod Fanni/Rod-Fanni,fr FRA,DF,Montreal,37,1981,3,44.3,43,1.33,1.33,0,8,2.33,0,0,0,0,0,28.3,7.33,8.67,1,39.7,2.33,0,0.33,37.3,0.33,1.33,0,0.67,Matches
193,Marco Farfan/Marco-Farfan,us USA,DF,Portland,20,1998,2.1,39,28.1,11,0.48,0,3.33,0.48,0.48,0,0,0,0,20,4.76,14.3,21.4,4.76,1.43,10.5,0,30,0,1.9,1.43,0.48,Matches
194,Andrew Farrell/Andrew-Farrell,us USA,DF,New England,26,1992,28.9,41,37.2,3.81,1.59,0.1,4.95,1.45,0.48,0,0,0,0,24.7,5.78,10.5,2.25,33.5,2.42,2.21,0.17,31.4,0.14,1.14,0.59,0.69,Matches
195,Benny Feilhaber/Benny-Feilhaber,us USA,MF,Sporting KC,34,1985,12.2,47.5,44,3.44,1.07,0.33,7.62,2.05,1.15,1.31,0.66,0.16,0.08,33.6,7.7,6.15,2.54,42.6,1.07,0.66,0.25,40.3,0.16,0.49,0.82,0.49,Matches
