"First","Last","Player","Season","Team","Games","Minutes","Pos","NumChains/96","TeamChain%","ChainShot%","PlayerShot%","PlayerKP%","xB/96","xGChain/96","xB%","xB% (0)","Comp ($K)"
"Jackson","Yueill","Jackson Yueill",2019,"SJE",32,2894,"CDM",35.9585348997927,0.243322714483689,0.251845018450184,0.0304428044280443,0.0415129151291513,0.929672891531872,1.05446368927096,0.881654722671988,0.886484715095696,190
"Haris","Medunjanin","Haris Medunjanin",2019,"PHI",34,3310,"CDM",41.2422960725075,0.25375281694992,0.187060478199719,0.0239099859353024,0.0457102672292546,0.921317307970235,1.01481420632115,0.907867964629849,0.923205085595899,595.008
"Ema","Twumasi","Ema Twumasi",2019,"FCD",2,38,"Wing",25.2631578947368,0.30622009569378,0.3,0.1,0,0.905752672369762,0.905752672369762,1,1,196.9
"Chris","Pontius","Chris Pontius",2019,"LAG",17,768,"Wing",24.5,0.198711832061069,0.336734693877551,0.0918367346938776,0.0561224489795918,0.903452605573754,1.18592876664899,0.761810178638797,0.864977126881527,190
"Brian","Rodriguez","Brian Rodriguez",2019,"LAFC",7,403,"Wing",28.1091811414392,0.191965139502512,0.423728813559322,0.144067796610169,0.0932203389830508,0.898810640571027,1.15154565441914,0.780525406979548,0.735008938548084,NA
"Nicolas","Lodeiro","Nicolas Lodeiro",2019,"SEA",28,2699,"CAM",35.8532789922193,0.233680589334763,0.25,0.0525793650793651,0.0813492063492064,0.89612933773506,1.20358792691557,0.744548294059052,0.759640046310561,2502.5
"Emanuel","Cecchini","Emanuel Cecchini",2019,"SEA",4,174,"CDM",32.551724137931,0.271264367816092,0.220338983050847,0.0338983050847458,0.0169491525423729,0.893741383090305,1.06705863315798,0.837574764233209,0.975432094039018,NA
"Jhegson","Mendez","Jhegson Mendez",2019,"ORL",3,195,"CM",31.5076923076923,0.264030941125913,0.203125,0.046875,0.03125,0.885775809604927,0.917996125818124,0.964901468201207,0.948109142995901,NA
"Shea","Salinas","Shea Salinas",2019,"SJE",28,1471,"Wing",28.0625424881033,0.236174087666635,0.286046511627907,0.0488372093023256,0.0883720930232558,0.882595128540924,1.17618199813279,0.75038993110085,0.730230926033126,250
"Jordan","Harvey","Jordan Harvey",2019,"LAFC",30,2510,"FB/WB",34.0398406374502,0.206761534546164,0.189887640449438,0.0101123595505618,0.0213483146067416,0.87913600187629,0.945404352340887,0.92990475419273,0.94784316487718,165
"Alejandro","Pozuelo","Alejandro Pozuelo",2019,"TOR",30,2679,"CAM",35.3325867861142,0.227903161381085,0.252535496957404,0.0760649087221095,0.0791075050709939,0.867195595839288,1.14400544108548,0.758034502892276,0.772279302082857,3800
"Marco","Delgado","Marco Delgado",2019,"TOR",30,2717,"CM",35.2624217887376,0.225559201207277,0.219438877755511,0.0400801603206413,0.0380761523046092,0.864200102979954,0.973967205804924,0.887298974574555,0.885017950708237,253
"Emerson","Hyndman","Emerson Hyndman",2019,"ATL",15,1059,"CM",26.1076487252125,0.196495098283084,0.28125,0.0520833333333333,0.0381944444444444,0.863685256236745,0.976185374129153,0.884755374466894,0.907650838925647,NA
"Anthony","Fontana","Anthony Fontana",2019,"PHI",8,156,"CAM",25.8461538461538,0.288783841856468,0.285714285714286,0.0714285714285714,0,0.860807185493179,0.868952946672986,0.990625774144624,1,70.26
"Fabian","Herbers","Fabian Herbers",2019,"CHI",17,849,"Wing",25.1024734982332,0.194592817815761,0.337837837837838,0.0720720720720721,0.0540540540540541,0.85612438164627,1.10803153776571,0.772653442132705,0.825094492375475,135
"Latif","Blessing","Latif Blessing",2019,"LAFC",34,2900,"CM",33.4013793103448,0.205695869688775,0.246778989098117,0.0426164519326065,0.0396432111000991,0.84729692367223,1.12681636129406,0.75193878326294,0.754492814538592,103.125
"Jonathan","Osorio","Jonathan Osorio",2019,"TOR",24,1884,"CM",31.1337579617834,0.222781810102207,0.230769230769231,0.044189852700491,0.0245499181669394,0.844669953935667,0.995289559927877,0.848667551578533,0.904700866996373,776.25
"Liam","Fraser","Liam Fraser",2019,"TOR",9,869,"CM",41.8688147295742,0.274649659304787,0.174142480211082,0.0184696569920844,0.0211081794195251,0.844649430606019,0.876240622754967,0.963946898456245,0.921054185908662,75.875
"Dax","McCarty","Dax McCarty",2019,"CHI",32,3037,"CDM",37.0154757984853,0.235065533945531,0.183603757472246,0.017933390264731,0.0256191289496157,0.841874575735305,0.930356617615442,0.904894488624242,0.958982868067468,700
"Auro","Auro","Auro",2019,"TOR",23,2000,"FB/WB",35.904,0.227867549668874,0.18048128342246,0.0106951871657754,0.0240641711229947,0.838735437054124,0.939709522008358,0.892547555825091,0.909716490821152,276.667
"Diego","Chara","Diego Chara",2019,"POR",30,2853,"CDM",37.5856992639327,0.23778384182159,0.223813786929275,0.0062667860340197,0.0223813786929275,0.83537104610421,0.934512447610646,0.893911095823368,0.939876004418769,572
"Cristian","Pavon","Cristian Pavon",2019,"LAG",11,1032,"Wing",26.4186046511628,0.177197958026092,0.366197183098592,0.116197183098592,0.0915492957746479,0.825333360648855,1.28629487069432,0.641636206014996,0.677584397293453,NA
"Raheem","Edwards","Raheem Edwards",2019,"CHI",4,262,"FB/WB",32.2442748091603,0.27039224158625,0.238636363636364,0.0795454545454545,0.0454545454545455,0.824513175400586,1.2784661523844,0.644923742300747,0.97831966836717,70.25
"Emil","Cuello","Emil Cuello",2019,"LAG",9,233,"Wing",17.3047210300429,0.16983913769944,0.357142857142857,0.0476190476190476,0.0476190476190476,0.823715304245069,1.06244168771701,0.775304013169021,1,70.25
"Joe","Corona","Joe Corona",2019,"LAG",31,2488,"CM",34.9967845659164,0.240128446556753,0.206174200661522,0.019845644983462,0.0209481808158765,0.820566157302421,0.911285815859741,0.900448731914332,0.871920694053766,550
"Magnus","Eriksson","Magnus Eriksson",2019,"SJE",32,3006,"CAM",32.063872255489,0.206032914091496,0.316733067729084,0.0876494023904383,0.099601593625498,0.814285806600543,1.14268495763623,0.712607443686828,0.765305946031714,450
"Andreu","Fontas","Andreu Fontas",2019,"SKC",13,1051,"CB",38.2721217887726,0.255409436988729,0.181384248210024,0.00715990453460621,0.00715990453460621,0.811094019019527,0.831149050665626,0.975870715811997,0.991411232314219,1050
"Nicolas","Benezet","Nicolas Benezet",2019,"TOR",8,461,"Wing",31.8611713665944,0.236886032465386,0.228758169934641,0.0915032679738562,0.0326797385620915,0.80288777697412,1.07795304423564,0.744826299501233,0.718567237506378,NA
"Tommy","Thompson","Tommy Thompson",2019,"SJE",30,2424,"FB/WB",36.2376237623762,0.245734338352461,0.210928961748634,0.014207650273224,0.0229508196721311,0.800941469684038,0.853778984901653,0.938113357025647,0.918064233719867,175
"Diego","Campos","Diego Campos",2019,"CHI",9,471,"FB/WB",27.1082802547771,0.214955526249334,0.180451127819549,0.0150375939849624,0.0150375939849624,0.797195738574,0.816798198247167,0.976000853435728,0.98435048829136,72.825
"Tomas","Conechny","Tomas Conechny",2019,"POR",16,410,"Wing",31.8439024390244,0.30219598993143,0.294117647058824,0.0735294117647059,0.0441176470588235,0.793668038127751,1.23628016622176,0.641980725577203,0.719948133103176,403.5
"Brett","Levis","Brett Levis",2019,"VAN",9,369,"FB/WB",22.3739837398374,0.182066775459798,0.232558139534884,0.0116279069767442,0.0581395348837209,0.787194406936102,0.871323980938887,0.903446277339765,0.917015508538116,74.163
"Walker","Zimmerman","Walker Zimmerman",2019,"LAFC",25,2325,"CB",32.578064516129,0.197251541027664,0.192648922686946,0.026615969581749,0.00506970849176172,0.78495228680551,0.84335563044152,0.930748854305467,0.918751052748401,600
"Rece","Buckmaster","Rece Buckmaster",2019,"NYRB",6,588,"FB/WB",25.6326530612245,0.135383730957172,0.222929936305732,0.0127388535031847,0.0382165605095541,0.78422866761871,0.847636079573761,0.925195005872171,0.795496104442736,NA
"Andres","Rios","Andres Rios",2019,"SJE",10,316,"F",32.2025316455696,0.28959111192059,0.311320754716981,0.0283018867924528,0.0849056603773585,0.781904963180085,1.24013294009119,0.6305009228467,0.862292725675418,NA
"Maximiliano","Moralez","Maximiliano Moralez",2019,"NYC",29,2652,"Wing",33.2669683257919,0.190321973061346,0.278563656147987,0.0544069640914037,0.100108813928183,0.777219375316187,1.15228914519466,0.674500301037626,0.625190038147451,2000
"Jose","Bizama","Jose Bizama",2019,"HOU",5,380,"FB/WB",28.0421052631579,0.214389183969097,0.171171171171171,0.00900900900900901,0,0.77363019983881,0.844236168505296,0.916367041237415,0.908032235846169,NA
"Diego","Valeri","Diego Valeri",2019,"POR",31,2810,"CAM",30.0640569395018,0.18707060721087,0.340909090909091,0.0931818181818182,0.129545454545455,0.769564596593988,1.15491790501016,0.66633705586824,0.677226189076111,2420
"Cristian","Espinoza","Cristian Espinoza",2019,"SJE",30,2691,"Wing",28.396878483835,0.183997052811026,0.368090452261307,0.116834170854271,0.0979899497487437,0.766993404792644,1.1816888374568,0.649065456557371,0.667705992696244,550
"Jorge","Corrales","Jorge Corrales",2019,"CHI,MTL",19,1214,"FB/WB",29.9703459637562,0.214477052094677,0.184696569920844,0.00527704485488127,0.0211081794195251,0.764664395582886,0.81826307426305,0.934497009133113,0.941142982863428,70.875
"Cristian","Higuita","Cristian Higuita",2019,"ORL",9,686,"CM",31.9067055393586,0.243976507947517,0.197368421052632,0.0263157894736842,0.0087719298245614,0.763945721632149,0.810184982070669,0.942927527093452,0.932697125143762,611.663
"Ilie","Sanchez","Ilie Sanchez",2019,"SKC",32,2713,"CM",34.7836343531146,0.227809312177583,0.188199389623601,0.0203458799593082,0.0193285859613428,0.763698664707302,0.88341593883329,0.864483683321249,0.842292813515956,900
"Andy","Polo","Andy Polo",2019,"POR",19,1161,"CM",29.0232558139535,0.215659702958591,0.293447293447293,0.0427350427350427,0.0455840455840456,0.763493088435499,0.89511566574705,0.852954671280722,0.828961336778327,150
"Cristian","Roldan","Cristian Roldan",2019,"SEA",29,2733,"CDM",33.2645444566411,0.226874832841625,0.209081309398099,0.0316789862724393,0.0337909186906019,0.755185030017352,0.91044060456962,0.829472044883522,0.824829995931548,596.542
"Siad","Haji","Siad Haji",2019,"SJE",3,61,"sub",25.1803278688525,0.308330545332887,0.25,0,0,0.753395445362933,0.753395445362933,1,NA,104
"Derrick","Jones","Derrick Jones",2019,"PHI",2,64,"CDM",18,0.157894736842105,0.166666666666667,0,0,0.749309700320584,0.749309700320584,1,1,80.9
"Sebastian","Lletget","Sebastian Lletget",2019,"LAG",29,2472,"CM",30.7961165048544,0.213453006367298,0.238335435056747,0.0365699873896595,0.042875157629256,0.745634873144048,0.90902206856227,0.820260474339596,0.890996339401578,312.667
"Djordje","Mihailovic","Djordje Mihailovic",2019,"CHI",27,1558,"CAM",29.1450577663671,0.201308917802996,0.234672304439746,0.0486257928118393,0.0676532769556025,0.742471370673615,0.896526942227196,0.828164035794765,0.819544761524297,111
"Przemyslaw","Frankowski","Przemyslaw Frankowski",2019,"CHI",31,2478,"Wing",24.8716707021792,0.17603237254967,0.317757009345794,0.0841121495327103,0.073208722741433,0.740504488446088,1.21235050351095,0.610800660618855,0.539430138960227,661.688
"Bastian","Schweinsteiger","Bastian Schweinsteiger",2019,"CHI",30,2870,"CB",37.0285714285714,0.238534924384184,0.165311653116531,0.020776874435411,0.014453477868112,0.739581000860685,0.804869923706736,0.918882640631706,0.911489250928512,5600
"Jamiro","Monteiro","Jamiro Monteiro",2019,"PHI",26,2207,"CAM",33.7979157227005,0.213287817667527,0.22007722007722,0.0643500643500644,0.0437580437580438,0.735058889136391,1.02356829661172,0.718133701062872,0.760145649411613,569.2
"Michaell","Chirinos","Michaell Chirinos",2019,"VAN",7,431,"Wing",23.8329466357309,0.201974124031617,0.345794392523364,0.0934579439252336,0.0467289719626168,0.730051055446171,1.15632070262535,0.631356901064417,0.568188042360918,NA
"Felipe","Gutierrez","Felipe Gutierrez",2019,"SKC",32,2902,"CM",31.65816678153,0.202693344739688,0.252873563218391,0.06478578892372,0.0512016718913271,0.729966301422354,0.910476747028388,0.801740740556874,0.76059273852614,1650
"Justin","Portillo","Justin Portillo",2019,"RSL",3,194,"CDM",36.6185567010309,0.36255996733694,0.135135135135135,0.0135135135135135,0,0.724901981544066,0.724901981544066,1,1,70.25
